"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C6,C9,C11,C13,C14","6","1u","","","","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"C2,C5,C10,C12,C16","5","0.1u","","","","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"C15","1","100u","","","","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"C17","1","10u","","","","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"C18,C19,C20,C21","4","4.7n","","","","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"C22","1","1.5n","","","","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"D1","1","LED","","","","LED_THT:LED_D3.0mm","~"
"J1","1","Conn_01x12_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","~"
"J2","1","Conn_01x11_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical","~"
"J3","1","Conn_01x05_Pin","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-5_1x05_P5.00mm_Horizontal","~"
"R1,R2,R3,R4,R5","5","4.99k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R6","1","1M","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R7","1","100k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R8,R9,R10,R11,R12","5","10k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R13","1","300","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"U1","1","ADS1299-8CHANNEL","","","","Package_QFP:TQFP-64_10x10mm_P0.5mm",""
