t_s,sinal_filtrado,janela
0.0,-7.389748786416835e-05,1
0.002,-8.338939836524323e-05,1
0.004,-9.232143313952253e-05,1
0.006,-0.00010064310165249304,1
0.008,-0.00010831369591949397,1
0.01,-0.00011530363760296692,1
0.012,-0.00012159538576741354,1
0.014,-0.0001271836587278279,1
0.016,-0.00013207482244991325,1
0.018,-0.0001362854855071191,1
0.02,-0.00013984053513667596,1
0.022,-0.00014277096168569423,1
0.024,-0.00014511180034422063,1
0.026,-0.0001469003834582946,1
0.028,-0.0001481749153967995,1
0.03,-0.00014897324965274872,1
0.032,-0.000149331732085686,1
0.034,-0.00014928407622728245,1
0.036,-0.0001488603911338577,1
0.038,-0.0001480865962330403,1
0.04,-0.00014698445970453042,1
0.042,-0.00014557237223887057,1
0.044,-0.00014386676621755713,1
0.046,-0.00014188390365764907,1
0.048,-0.00013964167201512213,1
0.05,-0.0001371610782221798,1
0.052,-0.0001344672774502278,1
0.054,-0.0001315901250808903,1
0.056,-0.0001285643167692564,1
0.058,-0.00012542916124483523,1
0.06,-0.00012222796623824329,1
0.062,-0.00011900699223180677,1
0.064,-0.0001158139864111007,1
0.066,-0.00011269642602597029,1
0.068,-0.00010969970912512484,1
0.07,-0.00010686557065114168,1
0.072,-0.00010423095280621248,1
0.07399999999999998,-0.00010182744437508756,1
0.076,-9.96812714454842e-05,1
0.078,-9.781371464038694e-05,1
0.08,-9.624177300615427e-05,1
0.082,-9.497890121135424e-05,1
0.084,-9.403569339499624e-05,1
0.08599999999999998,-9.342042556423776e-05,1
0.08799999999999998,-9.313936761997644e-05,1
0.08999999999999998,-9.319675892803392e-05,1
0.092,-9.359435803422057e-05,1
0.094,-9.433054750788668e-05,1
0.096,-9.539907662730132e-05,1
0.098,-9.678762524778987e-05,1
0.1,-9.847644687827144e-05,1
0.102,-0.00010043737275339164,1
0.104,-0.00010263341059787642,1
0.106,-0.0001050190582589372,1
0.108,-0.00010754131534799651,1
0.11,-0.00011014127132346803,1
0.112,-0.00011275611607559808,1
0.114,-0.00011532145892214438,1
0.116,-0.00011777390131422167,1
0.118,-0.0001200538095073357,1
0.12,-0.0001221081414955469,1
0.122,-0.00012389305053031824,1
0.124,-0.00012537591884799536,1
0.126,-0.00012653653920310486,1
0.128,-0.0001273673410562405,1
0.13,-0.00012787276714499828,1
0.132,-0.00012806805024980083,1
0.134,-0.0001279776630784332,1
0.136,-0.00012763362141044674,1
0.138,-0.0001270736784539065,1
0.14,-0.00012633934468531927,1
0.142,-0.000125473654121006,1
0.144,-0.00012451867086111867,1
0.146,-0.0001235128503256975,1
0.148,-0.00012248848887301208,1
0.15,-0.0001214695641590928,1
0.152,-0.00012047025099954635,1
0.154,-0.00011949429514002468,1
0.156,-0.00011853528174018172,1
0.158,-0.0001175776988774673,1
0.16,-0.0001165986077038892,1
0.162,-0.00011556970862486654,1
0.164,-0.00011445962672418313,1
0.166,-0.00011323629207189064,1
0.168,-0.0001118693226306001,1
0.17,-0.00011033231056801152,1
0.172,-0.0001086048738255652,1
0.174,-0.000106674298911711,1
0.176,-0.00010453661502344,1
0.178,-0.0001021970204003338,1
0.18,-9.966969690738995e-05,1
0.182,-9.697715078229129e-05,1
0.184,-9.414928097947991e-05,1
0.186,-9.122239264072213e-05,1
0.188,-8.823833255442567e-05,1
0.19,-8.524382773219509e-05,1
0.192,-8.228998553053421e-05,1
0.194,-7.943180920651098e-05,1
0.196,-7.672753667601489e-05,1
0.198,-7.423763827493795e-05,1
0.2,-7.202339221274805e-05,1
0.202,-7.014504975007126e-05,1
0.204,-6.865966592182702e-05,1
0.206,-6.761870070397476e-05,1
0.208,-6.706552415562007e-05,1
0.21,-6.703302213771071e-05,1
0.212,-6.754157920021261e-05,1
0.214,-6.85977408233806e-05,1
0.216,-7.019376841769457e-05,1
0.218,-7.230810995901155e-05,1
0.22,-7.490659443828342e-05,1
0.222,-7.794400789063316e-05,1
0.224,-8.136568074854252e-05,1
0.226,-8.510881926276506e-05,1
0.228,-8.910349624485364e-05,1
0.23,-9.327338920178721e-05,1
0.232,-9.753645270446868e-05,1
0.234,-0.00010180573485533312,1
0.236,-0.00010599052404565184,1
0.238,-0.00010999795253950796,1
0.24,-0.00011373508329358645,1
0.242,-0.00011711138601139124,1
0.244,-0.000120041417946726,1
0.246,-0.00012244750039967406,1
0.248,-0.0001242622145069431,1
0.25,-0.00012543059370489647,1
0.252,-0.00012591192893614107,1
0.254,-0.000125681106276453,1
0.256,-0.00012472938047296923,1
0.258,-0.00012306450081355495,1
0.26,-0.00012071018023806068,1
0.262,-0.00011770500602132676,1
0.264,-0.00011410096651040624,1
0.266,-0.00010996177540630716,1
0.268,-0.00010536112399214873,1
0.27,-0.0001003809142982117,1
0.272,-9.51094455909133e-05,1
0.274,-8.963946109846486e-05,1
0.276,-8.406593572532126e-05,1
0.278,-7.848351411627566e-05,1
0.28,-7.29835830436968e-05,1
0.282,-6.765106155267137e-05,1
0.284,-6.256109792890996e-05,1
0.286,-5.777595196482883e-05,1
0.288,-5.334238226882673e-05,1
0.29,-4.9289827022773407e-05,1
0.292,-4.5629569762978896e-05,1
0.294,-4.235496014257385e-05,1
0.296,-3.9442659451850975e-05,1
0.298,-3.685481780556224e-05,1
0.3,-3.454204227540958e-05,1
0.302,-3.244695459772301e-05,1
0.304,-3.050806662804037e-05,1
0.306,-2.8663659963906342e-05,1
0.308,-2.685538435781448e-05,1
0.31,-2.5031389387820888e-05,1
0.312,-2.3148922708476617e-05,1
0.314,-2.1176399025483728e-05,1
0.316,-1.909494879957521e-05,1
0.318,-1.689943585658034e-05,1
0.32,-1.459893039220902e-05,1
0.322,-1.2216632130743076e-05,1
0.324,-9.789227740419283e-06,1
0.326,-7.365641310438656e-06,1
0.328,-5.0051400802184314e-06,1
0.33,-2.7748142525710706e-06,1
0.332,-7.465309019557839e-07,1
0.334,1.0064780277979089e-06,1
0.336,2.413212222548739e-06,1
0.338,3.4085105166656206e-06,1
0.34,3.9365148495665535e-06,1
0.342,3.953838081701907e-06,1
0.344,3.432244456352757e-06,1
0.346,2.360592438746076e-06,1
0.348,7.457765674550767e-07,1
0.35,-1.38751428955963e-06,1
0.352,-3.998253348783566e-06,1
0.354,-7.031623402594123e-06,1
0.356,-1.042242026969981e-05,1
0.358,-1.4099004052475716e-05,1
0.36,-1.7987430687171567e-05,1
0.362,-2.201535422016993e-05,1
0.364,-2.6115303820249544e-05,1
0.366,-3.0227038624047625e-05,1
0.368,-3.429885018445017e-05,1
0.37,-3.828785833199817e-05,1
0.372,-4.21594766747751e-05,1
0.374,-4.588629415778185e-05,1
0.376,-4.944665229307456e-05,1
0.378,-5.282321605967312e-05,1
0.38,-5.600182414941276e-05,1
0.382,-5.897081507496272e-05,1
0.384,-6.172084570963062e-05,1
0.386,-6.424501904965867e-05,1
0.388,-6.653903187548521e-05,1
0.39,-6.860109085863345e-05,1
0.392,-7.0431473984168e-05,1
0.394,-7.203173927842788e-05,1
0.396,-7.340365184058669e-05,1
0.398,-7.454792319043328e-05,1
0.4,-7.546287390316434e-05,1
0.402,-7.614316275698147e-05,1
0.404,-7.657875374510759e-05,1
0.406,-7.675428190544861e-05,1
0.408,-7.66489263814703e-05,1
0.41,-7.623683920877479e-05,1
0.412,-7.548814387304929e-05,1
0.414,-7.43705048371412e-05,1
0.416,-7.285124573795526e-05,1
0.418,-7.089993156715637e-05,1
0.42,-6.849122997059714e-05,1
0.422,-6.560776716294642e-05,1
0.424,-6.22426511999404e-05,1
0.426,-5.840137752561815e-05,1
0.428,-5.4102931847151496e-05,1
0.43,-4.9380015864753824e-05,1
0.432,-4.427842490849008e-05,1
0.434,-3.8855711664306925e-05,1
0.436,-3.317936538206185e-05,1
0.438,-2.7324778067800423e-05,1
0.44,-2.1373223692006057e-05,1
0.442,-1.5409951178569828e-05,1
0.444,-9.522332899573328e-06,1
0.446,-3.797885311358585e-06,1
0.448,1.6780470920638208e-06,1
0.45,6.825055040446628e-06,1
0.452,1.1570805086374983e-05,1
0.454,1.5854311448329116e-05,1
0.456,1.9629001652160303e-05,1
0.458,2.286525922540669e-05,1
0.46,2.555221763568168e-05,1
0.462,2.769867085474183e-05,1
0.464,2.933302529750917e-05,1
0.466,3.0502263952689486e-05,1
0.468,3.126994677553501e-05,1
0.47,3.171332566057222e-05,1
0.472,3.19196975912654e-05,1
0.474,3.198216350252312e-05,1
0.476,3.199501522914186e-05,1
0.478,3.204902983325996e-05,1
0.48,3.222697579986789e-05,1
0.482,3.25995991995551e-05,1
0.484,3.3222263694506526e-05,1
0.486,3.413230179379173e-05,1
0.488,3.534704630543786e-05,1
0.49,3.6862499211730073e-05,1
0.492,3.865267809221599e-05,1
0.494,4.066981496917626e-05,1
0.496,4.2845678413790565e-05,1
0.498,4.509427008081622e-05,1
0.5,4.731600924252613e-05,2
0.502,4.940333243998285e-05,2
0.504,5.1247466629989706e-05,2
0.506,5.274598579066082e-05,2
0.508,5.381060326184123e-05,2
0.51,5.4374505752841135e-05,2
0.512,5.43984848079308e-05,2
0.514,5.38752323578517e-05,2
0.516,5.2831406479404975e-05,2
0.518,5.1327338785703645e-05,2
0.52,4.945446403215241e-05,2
0.522,4.7330697945285526e-05,2
0.524,4.5094115329889016e-05,2
0.526,4.2895421560806576e-05,2
0.528,4.088984439880945e-05,2
0.53,3.922912899107811e-05,2
0.532,3.8054236554482544e-05,2
0.534,3.748913416890168e-05,2
0.536,3.763580234931054e-05,2
0.538,3.857039229895358e-05,2
0.54,4.034041195583869e-05,2
0.542,4.296289452431614e-05,2
0.544,4.642360872728356e-05,2
0.546,5.067740614749796e-05,2
0.548,5.5649739150468434e-05,2
0.55,6.123926821654648e-05,2
0.552,6.732137764317189e-05,2
0.554,7.375238035898382e-05,2
0.556,8.037422499958862e-05,2
0.558,8.701959097100782e-05,2
0.56,9.351731556269134e-05,2
0.562,9.969809756219225e-05,2
0.564,0.00010540036455405293,2
0.566,0.00011047611650431732,2
0.568,0.00011479650407255621,2
0.57,0.00011825687388843888,2
0.572,0.00012078101197195596,2
0.574,0.0001223243511533329,2
0.576,0.00012287598499396963,2
0.578,0.00012245942104054612,2
0.58,0.00012113206374752812,2
0.582,0.0001189834289281984,2
0.584,0.00011613208892154187,2
0.586,0.00011272136542929732,2
0.588,0.00010891383536672904,2
0.59,0.00010488479087268122,2
0.592,0.00010081489046804872,2
0.594,9.68823381313454e-05,2
0.596,9.325500686953005e-05,2
0.598,9.008296116785907e-05,2
0.6,8.749181753250573e-05,2
0.602,8.55773188253331e-05,2
0.604,8.440140533794758e-05,2
0.606,8.398996708914723e-05,2
0.608,8.433237027377681e-05,2
0.61,8.538276415253951e-05,2
0.612,8.706309165546718e-05,2
0.614,8.92676615904894e-05,2
0.616,9.18691084229642e-05,2
0.618,9.472554439978638e-05,2
0.62,9.768862420445396e-05,2
0.622,0.00010061203977744912,2
0.624,0.00010335970694116792,2
0.626,0.00010581276618003508,2
0.628,0.00010787462776312226,2
0.63,0.00010947362424769017,2
0.632,0.00011056325414225556,2
0.634,0.00011112037005298296,2
0.636,0.00011114190812188418,2
0.638,0.00011064085566569624,2
0.64,0.00010964211844817993,2
0.642,0.00010817880189128446,2
0.644,0.00010628921265042238,2
0.646,0.0001040146846820116,2
0.648,0.00010139818550051476,2
0.65,9.848357956703897e-05,2
0.652,9.531540886584922e-05,2
0.654,9.193907120402912e-05,2
0.656,8.840129813718544e-05,2
0.658,8.475082374929309e-05,2
0.66,8.103908566618478e-05,2
0.662,7.732074022191645e-05,2
0.664,7.365375003108988e-05,2
0.666,7.009883284660576e-05,2
0.668,6.67181268420812e-05,2
0.67,6.357301286743444e-05,2
0.672,6.0721144320850006e-05,2
0.674,5.821286164897296e-05,2
0.676,5.608727091059832e-05,2
