t_s,sinal_filtrado,janela,classificacao
0.0,-5.9875043362296906e-05,1,0
0.002,-8.043283169253725e-05,1,0
0.004,-0.0001000682245036,1,0
0.006,-0.0001185404806044,1,0
0.008,-0.0001356343595599,1,0
0.01,-0.0001511673852809,1,0
0.012,-0.0001649956276275,1,0
0.014,-0.0001770175684654,1,0
0.016,-0.000187175852759,1,0
0.018,-0.0001954570301475,1,0
0.02,-0.0002018896523013,1,0
0.022,-0.0002065412044999,1,0
0.024,-0.000209514284059,1,0
0.026,-0.0002109422470129,1,0
0.028,-0.0002109843403961,1,0
0.03,-0.0002098202354378,1,0
0.032,-0.000207643933601,1,0
0.034,-0.0002046571992365,1,0
0.036,-0.0002010628744636,1,0
0.038,-0.0001970585360409,1,0
0.04,-0.0001928308964096,1,0
0.042,-0.000188551161236,1,0
0.044,-0.0001843713485324,1,0
0.046,-0.0001804214804979,1,0
0.048,-0.0001768076231989,1,0
0.05,-0.0001736108839819,1,0
0.052,-0.0001708875349888,1,0
0.054,-0.0001686703317954,1,0
0.056,-0.0001669708818656,1,0
0.058,-0.0001657827139073,1,0
0.06,-0.0001650846292671,1,0
0.062,-0.0001648440225932,1,0
0.064,-0.0001650200719088,1,0
0.066,-0.000165566883361,1,0
0.068,-0.000166436724406,1,0
0.07,-0.0001675833697613,1,0
0.072,-0.0001689653849297,1,0
0.0739999999999999,-0.0001705489971798,1,0
0.076,-0.000172310152843,1,0
0.078,-0.0001742354642921,1,0
0.08,-0.0001763219650676,1,0
0.082,-0.0001785758337137,1,0
0.084,-0.0001810104368596,1,0
0.0859999999999999,-0.0001836441200164,1,0
0.0879999999999999,-0.0001864981088899,1,0
0.0899999999999999,-0.0001895947020924,1,0
0.092,-0.0001929557400902,1,0
0.094,-0.0001966012487307,1,0
0.096,-0.0002005482249519,1,0
0.098,-0.0002048096814467,1,0
0.1,-0.000209394160583,1,0
0.102,-0.0002143058749091,1,0
0.104,-0.0002195454441382,1,0
0.106,-0.0002251109828524,1,0
0.108,-0.0002309991837724,1,0
0.11,-0.000237206105074,1,0
0.112,-0.0002437275582729,1,0
0.114,-0.0002505591924417,1,0
0.116,-0.0002576964858104,1,0
0.118,-0.0002651348427452,1,0
0.12,-0.0002728698578081,1,0
0.122,-0.0002808976054264,1,0
0.124,-0.0002892146377086,1,0
0.126,-0.0002978173137917,1,0
0.128,-0.0003067001829183,1,0
0.13,-0.0003158533701641,1,0
0.132,-0.0003252591731246,1,0
0.134,-0.0003348882561785,1,0
0.136,-0.0003446958766195,1,0
0.138,-0.0003546185535324,1,0
0.14,-0.0003645715876799,1,0
0.142,-0.0003744478580191,1,0
0.144,-0.000384118264269,1,0
0.146,-0.0003934339913886,1,0
0.148,-0.0004022304836983,1,0
0.15,-0.0004103327545908,1,0
0.152,-0.000417561548262,1,0
0.154,-0.0004237399563801,1,0
0.156,-0.0004287002767819,1,0
0.158,-0.0004322910038213,1,0
0.16,-0.0004343837639325,1,0
0.162,-0.0004348798300941,1,0
0.164,-0.0004337157320027,1,0
0.166,-0.0004308675398528,1,0
0.168,-0.0004263536287979,1,0
0.17,-0.000420236015842,1,0
0.172,-0.0004126205561721,1,0
0.174,-0.0004036562887231,1,0
0.176,-0.0003935340236743,1,0
0.178,-0.0003824839665815,1,0
0.18,-0.0003707719319399,1,0
0.182,-0.0003586936457061,1,0
0.184,-0.0003465668178543,1,0
0.186,-0.0003347210299734,1,0
0.188,-0.0003234859023168,1,0
0.19,-0.0003131783236463,1,0
0.192,-0.0003040896297717,1,0
0.194,-0.0002964734997623,1,0
0.196,-0.0002905351220126,1,0
0.198,-0.0002864220169881,1,0
0.2,-0.0002842168539042,1,0
0.202,-0.0002839326118113,1,0
0.204,-0.0002855104085362,1,0
0.206,-0.0002888201872705,1,0
0.208,-0.000293664233747,1,0
0.21,-0.0002997833005234,1,0
0.212,-0.0003068650361011,1,0
0.214,-0.0003145544519266,1,0
0.216,-0.0003224662047062,1,0
0.218,-0.0003301984155164,1,0
0.22,-0.0003373475784622,1,0
0.222,-0.0003435239217177,1,0
0.224,-0.0003483664733333,1,0
0.226,-0.0003515570738907,1,0
0.228,-0.000352832621528,1,0
0.23,-0.0003519948936571,1,0
0.232,-0.0003489173719562,1,0
0.234,-0.0003435486362056,1,0
0.236,-0.0003359121087328,1,0
0.238,-0.0003261022114416,1,0
0.24,-0.0003142772950075,1,0
0.242,-0.0003006499525676,1,0
0.244,-0.0002854754895953,1,0
0.246,-0.0002690393773849,1,0
0.248,-0.0002516444968963,1,0
0.25,-0.000233598915557,1,0
0.252,-0.0002152048347432,1,0
0.254,-0.0001967491799164,1,0
0.256,-0.0001784960886295,1,0
0.258,-0.0001606813491329,1,0
0.26,-0.0001435087258555,1,0
0.262,-0.0001271480882492,1,0
0.264,-0.0001117352750853,1,0
0.266,-9.737359654446812e-05,1,0
0.268,-8.413676487376096e-05,1,0
0.27,-7.207287983850854e-05,1,0
0.272,-6.120894365306155e-05,1,0
0.274,-5.155530405641286e-05,1,0
0.276,-4.310945966409392e-05,1,0
0.278,-3.585880882892729e-05,1,0
0.28,-2.9782142058293897e-05,1,0
0.282,-2.4849902183931408e-05,1,0
