t_s,sinal_filtrado,janela
0.0,-5.9875043362296906e-05,1
0.002,-8.043283169253725e-05,1
0.004,-0.0001000682245036929,1
0.006,-0.00011854048060443376,1
0.008,-0.00013563435955996013,1
0.01,-0.00015116738528099137,1
0.012,-0.00016499562762753946,1
0.014,-0.0001770175684654135,1
0.016,-0.00018717585275901088,1
0.018,-0.00019545703014750568,1
0.02,-0.00020188965230134864,1
0.022,-0.00020654120449995145,1
0.024,-0.00020951428405905417,1
0.026,-0.00021094224701298064,1
0.028,-0.00021098434039611047,1
0.03,-0.0002098202354378601,1
0.032,-0.00020764393360108,1
0.034,-0.0002046571992365556,1
0.036,-0.00020106287446360017,1
0.038,-0.00019705853604097735,1
0.04,-0.00019283089640961487,1
0.042,-0.00018855116123606916,1
0.044,-0.00018437134853243017,1
0.046,-0.00018042148049794143,1
0.048,-0.00017680762319895163,1
0.05,-0.00017361088398196005,1
0.052,-0.000170887534988866,1
0.054,-0.00016867033179547366,1
0.056,-0.00016697088186562104,1
0.058,-0.0001657827139073879,1
0.06,-0.00016508462926717593,1
0.062,-0.00016484402259320726,1
0.064,-0.000165020071908879,1
0.066,-0.0001655668833610316,1
0.068,-0.0001664367244060134,1
0.07,-0.0001675833697613547,1
0.072,-0.00016896538492973916,1
0.07399999999999998,-0.00017054899717984515,1
0.076,-0.0001723101528430435,1
0.078,-0.00017423546429211223,1
0.08,-0.00017632196506765053,1
0.082,-0.0001785758337137638,1
0.084,-0.0001810104368596984,1
0.08599999999999998,-0.0001836441200164016,1
0.08799999999999998,-0.00018649810888997145,1
0.08999999999999998,-0.0001895947020924108,1
0.092,-0.00019295574009022497,1
0.094,-0.00019660124873071487,1
0.096,-0.000200548224951936,1
0.098,-0.000204809681446734,1
0.1,-0.00020939416058304844,1
0.102,-0.000214305874909116,1
0.104,-0.000219545444138216,1
0.106,-0.00022511098285244195,1
0.108,-0.0002309991837724291,1
0.11,-0.00023720610507401433,1
0.112,-0.00024372755827298384,1
0.114,-0.0002505591924417856,1
0.116,-0.0002576964858104496,1
0.118,-0.0002651348427452187,1
0.12,-0.0002728698578081551,1
0.122,-0.000280897605426437,1
0.124,-0.0002892146377086629,1
0.126,-0.0002978173137917533,1
0.128,-0.0003067001829183223,1
0.13,-0.00031585337016414944,1
0.132,-0.00032525917312467133,1
0.134,-0.0003348882561785075,1
0.136,-0.0003446958766195963,1
0.138,-0.0003546185535324588,1
