t_s,sinal_filtrado,janela,classificacao
0.0,-0.0001971034854769,1,0
0.002,-0.0001865471400605,1,0
0.004,-0.0001755328445329,1,0
0.006,-0.000164533524659,1,0
0.008,-0.0001539904676223,1,0
0.01,-0.0001442971529983,1,0
0.012,-0.000135785895217,1,0
0.014,-0.0001287175448593,1,0
0.016,-0.0001232742800723,1,0
0.018,-0.0001195554745576,1,0
0.02,-0.0001175767076242,1,0
0.022,-0.0001172720717396,1,0
0.024,-0.000118499900724,1,0
0.026,-0.000121051823512,1,0
0.028,-0.000124664716521,1,0
0.03,-0.0001290348390561,1,0
0.032,-0.000133833317465,1,0
0.034,-0.0001387222172249,1,0
0.036,-0.0001433706057557,1,0
0.038,-0.0001474700822999,1,0
0.04,-0.0001507491248396,1,0
0.042,-0.0001529853811559,1,0
0.044,-0.0001540149696888,1,0
0.046,-0.0001537381314559,1,0
0.048,-0.0001521211181696,1,0
0.05,-0.0001491947491253,1,0
0.052,-0.0001450503390499,1,0
0.054,-0.0001398335856728,1,0
0.056,-0.0001337366666713,1,0
0.058,-0.0001269885393248,1,0
0.06,-0.0001198434895007,1,0
0.062,-0.0001125683214464,1,0
0.064,-0.0001054289811704,1,0
0.066,-9.86776030174349e-05,1,0
0.068,-9.25408647386034e-05,1,0
0.07,-8.721022978204457e-05,1,0
0.072,-8.283432625148893e-05,1,0
0.0739999999999999,-7.951349413568706e-05,1,0
0.076,-7.729646903665275e-05,1,0
0.078,-7.617922933414989e-05,1,0
0.08,-7.610612262224331e-05,1,0
0.082,-7.697338404828632e-05,1,0
0.084,-7.863499543062366e-05,1,0
0.0859999999999999,-8.091056463480534e-05,1,0
0.0879999999999999,-8.359466760176822e-05,1,0
0.0899999999999999,-8.646700975920767e-05,1,0
0.092,-8.930286011437924e-05,1,0
0.094,-9.188340526441716e-05,1,0
0.096,-9.400579591751108e-05,1,0
0.098,-9.549260796788007e-05,1,0
0.1,-9.620029944915312e-05,1,0
0.102,-9.60262199584102e-05,1,0
0.104,-9.49139116970766e-05,1,0
0.106,-9.285670412968715e-05,1,0
0.108,-8.989974244719854e-05,1,0
0.11,-8.614049761988167e-05,1,0
0.112,-8.172752585569037e-05,1,0
0.114,-7.685693725165862e-05,1,0
0.116,-7.17659053490393e-05,1,0
0.118,-6.672274986972785e-05,1,0
0.12,-6.201365016249602e-05,1,0
0.122,-5.7926723142902e-05,1,0
0.124,-5.473475606546768e-05,1,0
0.126,-5.267811208567724e-05,1,0
0.128,-5.19492220951861e-05,1,0
0.13,-5.267980751824412e-05,1,0
0.132,-5.4931700057551967e-05,1,0
0.134,-5.869186535766193e-05,1,0
0.136,-6.387195173978041e-05,1,0
0.138,-7.031234308824125e-05,1,0
0.14,-7.779032193356595e-05,1,0
0.142,-8.603161016875973e-05,1,0
0.144,-9.472432226962008e-05,1,0
0.146,-0.0001035342897744,1,0
0.148,-0.0001121208135598,1,0
0.15,-0.0001201521395902,1,0
0.152,-0.0001273202204914,1,0
0.154,-0.00013335444579,1,0
0.156,-0.0001380339002968,1,0
0.158,-0.0001411974581198,1,0
0.16,-0.0001427509055643,1,0
0.162,-0.000142670492602,1,0
0.164,-0.0001410027810316,1,0
0.166,-0.0001378611383125,1,0
0.168,-0.0001334194603466,1,0
0.17,-0.0001279036153337,1,0
0.172,-0.0001215808469093,1,0
0.174,-0.0001147472256155,1,0
0.176,-0.0001077133578827,1,0
0.178,-0.0001007889076544,1,0
0.18,-9.426684975518132e-05,1,0
0.182,-8.840853800120611e-05,1,0
0.184,-8.343056175507431e-05,1,0
0.186,-7.949407568164386e-05,1,0
0.188,-7.66969730342128e-05,1,0
0.19,-7.5069044707604e-05,1,0
0.192,-7.457016848998137e-05,1,0
0.194,-7.509159132617787e-05,1,0
0.196,-7.64604245594054e-05,1,0
0.198,-7.844744510436309e-05,1,0
0.2,-8.077810361366733e-05,1,0
0.202,-8.314632598399841e-05,1,0
0.204,-8.523039189968227e-05,1,0
0.206,-8.671001015694659e-05,1,0
0.208,-8.728372570011184e-05,1,0
0.21,-8.668590750361817e-05,1,0
0.212,-8.470261373629166e-05,1,0
0.214,-8.118550429578166e-05,1,0
0.216,-7.60627678835519e-05,1,0
0.218,-6.9345996649365e-05,1,0
0.22,-6.113224107986807e-05,1,0
0.222,-5.160104993729909e-05,1,0
0.224,-4.1006913152514615e-05,1,0
0.226,-2.966793039210906e-05,1,0
0.228,-1.7951608538188893e-05,1,0
0.23,-6.25854649359124e-06,1,0
0.232,4.99537504704609e-06,1,0
0.234,1.539766057341237e-05,1,0
0.236,2.455792893978837e-05,1,0
0.238,3.2125761520526835e-05,1,0
0.24,3.780671018178793e-05,1,0
0.242,4.137563901759836e-05,1,0
0.244,4.268677234858439e-05,1,0
0.246,4.167999901535176e-05,1,0
0.248,3.838312774956233e-05,1,0
0.25,3.2909944445306384e-05,1,0
0.252,2.545413018290048e-05,1,0
0.254,1.6279368620897147e-05,1,0
0.256,5.706280327786772e-06,1,0
0.258,-5.902884500386072e-06,1,0
0.26,-1.816066488201572e-05,1,0
0.262,-3.06707660040369e-05,1,0
0.264,-4.304341819745357e-05,1,0
0.266,-5.490903807729414e-05,1,0
0.268,-6.592977438503457e-05,1,0
0.27,-7.580867594098191e-05,1,0
0.272,-8.429635264328544e-05,1,0
0.274,-9.119522345651284e-05,1,0
0.276,-9.63617292114092e-05,1,0
0.278,-9.970709634374091e-05,1,0
0.28,-0.0001011972556333,1,0
0.282,-0.0001008523125723,1,0
0.284,-9.874558504900144e-05,1,0
0.286,-9.500180944714922e-05,1,0
0.288,-8.979385395963118e-05,1,0
0.29,-8.333731040731731e-05,1,0
0.292,-7.588268216395789e-05,1,0
0.294,-6.770540973714039e-05,1,0
0.296,-5.9094430085012336e-05,1,0
0.298,-5.0340139803055365e-05,1,0
0.3,-4.172250771481889e-05,1,0
0.302,-3.3499826943491045e-05,1,0
0.304,-2.5898403353541605e-05,1,0
0.306,-1.910344202909897e-05,1,0
0.308,-1.3251505394763844e-05,1,0
0.31,-8.425083180544446e-06,1,0
0.312,-4.649901124210246e-06,1,0
0.314,-1.8955136298979044e-06,1,0
0.316,-7.949605750162074e-08,1,0
0.318,9.247422202813144e-07,1,0
0.32,1.2768037374878108e-06,1,0
0.322,1.155387309988454e-06,1,0
0.324,7.425096383041111e-07,1,0
0.326,2.0710898158367057e-07,1,0
0.328,-3.1041422104831693e-07,1,0
0.33,-7.110387138635008e-07,1,0
0.332,-9.458675131395564e-07,1,0
0.334,-1.01985174527359e-06,1,0
0.336,-9.903330878733362e-07,1,0
0.338,-9.609753641658075e-07,1,0
0.34,-1.0721137004801455e-06,1,0
0.342,-1.4886576835184625e-06,1,0
0.344,-2.3865863986018607e-06,1,0
0.346,-3.938978715806536e-06,1,0
0.348,-6.302509275324263e-06,1,0
0.35,-9.605332656448185e-06,1,0
0.352,-1.3937167243123036e-05,1,0
0.354,-1.9342137041596e-05,1,0
0.356,-2.581458253287102e-05,1,0
0.358,-3.3297711372828255e-05,1,0
0.36,-4.1684721375830255e-05,1,0
0.362,-5.082194065495566e-05,1,0
0.364,-6.0513596011850376e-05,1,0
0.366,-7.05280009671569e-05,1,0
0.368,-8.060514777473386e-05,1,0
0.37,-9.04657526026086e-05,1,0
0.372,-9.98216660716184e-05,1,0
0.374,-0.0001083872960757,1,0
0.376,-0.0001158914591676,1,0
0.378,-0.0001220890103041,1,0
0.38,-0.0001267717222834,1,0
0.382,-0.0001297780926129,1,0
0.384,-0.0001310018565711,1,0
0.386,-0.0001303988546894,1,0
0.388,-0.0001279916331072,1,0
0.39,-0.0001238710064873,1,0
0.392,-0.0001181939820228,1,0
0.394,-0.000111177904595,1,0
0.396,-0.0001030912286189,1,0
0.398,-9.424170376054515e-05,1,0
0.4,-8.496285195728833e-05,1,0
0.402,-7.559948734663437e-05,1,0
0.404,-6.649287796433165e-05,1,0
0.406,-5.7966096150918506e-05,1,0
0.408,-5.031015453960885e-05,1,0
0.41,-4.3771607221957325e-05,1,0
0.412,-3.854232252931293e-05,1,0
0.414,-3.475202485217062e-05,1,0
0.416,-3.246394627918106e-05,1,0
0.418,-3.167361529835339e-05,1,0
0.42,-3.231056946806151e-05,1,0
0.422,-3.424268932278469e-05,1,0
0.424,-3.728290188629248e-05,1,0
0.426,-4.1198101292716417e-05,1,0
0.428,-4.572014526628757e-05,1,0
0.43,-5.055863228579374e-05,1,0
0.432,-5.541490678579693e-05,1,0
0.434,-5.999652966897815e-05,1,0
0.436,-6.403140872221689e-05,1,0
0.438,-6.72809241905811e-05,1,0
0.44,-6.955160427194152e-05,1,0
0.442,-7.070502151387362e-05,1,0
0.444,-7.066547668019964e-05,1,0
0.446,-6.942480430221675e-05,1,0
0.448,-6.70435297225492e-05,1,0
0.45,-6.364782732978273e-05,1,0
0.452,-5.942225168665909e-05,1,0
0.454,-5.459882428384361e-05,1,0
0.456,-4.944349085199097e-05,1,0
0.458,-4.424105957471432e-05,1,0
0.46,-3.927955173169913e-05,1,0
0.462,-3.4834662721932344e-05,1,0
0.464,-3.115492336217785e-05,1,0
0.466,-2.8448190348194447e-05,1,0
0.468,-2.687018012968488e-05,1,0
0.47,-2.6515761169653016e-05,1,0
