t_s,sinal_filtrado,janela
0.0,-0.00021445753612259747,1
0.002,-0.0003616732302201955,1
0.004,-0.0005075830773485492,1
0.006,-0.0006505719553232822,1
0.008,-0.0007890581839186363,1
0.01,-0.0009215350863220456,1
0.012,-0.0010466051892104287,1
0.014,-0.0011630061239915987,1
0.016,-0.0012696290476844115,1
0.018,-0.0013655317403843924,1
0.02,-0.0014499489957528265,1
0.022,-0.0015223024279090555,1
0.024,-0.0015822107025459423,1
0.026,-0.0016294999967144967,1
0.028,-0.0016642136280028167,1
0.03,-0.0016866193777644307,1
0.032,-0.0016972128985258048,1
0.034,-0.0016967155654960212,1
0.036,-0.0016860652408683047,1
0.038,-0.0016663988335698552,1
0.04,-0.001639026284784541,1
0.042,-0.0016053964908672132,1
0.044,-0.00156705641886844,1
0.046,-0.0015256051090961488,1
0.048,-0.0014826443998265054,1
0.05,-0.0014397281932243065,1
0.052,-0.0013983120652204988,1
0.054,-0.0013597050679488984,1
0.056,-0.0013250256542534442,1
0.058,-0.0012951637218607,1
0.06,-0.0012707507708255535,1
0.062,-0.0012521399743126783,1
0.064,-0.0012393974583426066,1
0.066,-0.0012323053324564163,1
0.068,-0.00123037630214057,1
0.07,-0.0012328792906760755,1
0.072,-0.0012388753802706131,1
0.07399999999999998,-0.0012472632955735344,1
0.076,-0.0012568333649095671,1
0.078,-0.0012663283536060363,1
0.08,-0.0012745088778257187,1
0.082,-0.0012802204382288884,1
0.084,-0.0012824585814895872,1
0.08599999999999998,-0.0012804283685216983,1
0.08799999999999998,-0.001273594268908884,1
0.08999999999999998,-0.001261716919115196,1
0.092,-0.0012448739519393519,1
0.094,-0.001223463257150986,1
0.096,-0.0011981883596207568,1
0.098,-0.0011700268657703415,1
0.1,-0.0011401839563530327,1
0.102,-0.0011100336075322119,1
0.104,-0.0010810506231274716,1
0.106,-0.0010547367695424522,1
0.108,-0.0010325444562227263,1
0.11,-0.001015801588008633,1
0.112,-0.001005641420465526,1
0.114,-0.0010029413200844223,1
0.116,-0.0010082740312228596,1
0.118,-0.0010218742675489768,1
0.12,-0.0010436223159236888,1
0.122,-0.0010730451340140537,1
0.124,-0.0011093343497889164,1
0.126,-0.0011513797316235956,1
0.128,-0.0011978161030206755,1
0.13,-0.0012470812509211252,1
0.132,-0.0012974820188432052,1
0.134,-0.001347265468376409,1
0.136,-0.0013946917892093788,1
0.138,-0.0014381055420732483,1
0.14,-0.001476001815311069,1
0.142,-0.0015070840640324038,1
0.144,-0.0015303109136498092,1
0.146,-0.0015449300143467587,1
0.148,-0.001550497952268009,1
0.15,-0.0015468861055423595,1
0.152,-0.0015342731176603086,1
0.154,-0.001513125330273148,1
0.156,-0.0014841670454911495,1
0.158,-0.0014483428050763851,1
0.16,-0.0014067738961816936,1
0.162,-0.0013607110301635413,1
0.164,-0.00131148477035484,1
0.166,-0.0012604550670897714,1
0.168,-0.001208961352678126,1
0.17,-0.0011582749911901351,1
0.172,-0.0011095562218226519,1
0.174,-0.0010638178129269951,1
0.176,-0.0010218972831176445,1
0.178,-0.0009844387058511137,1
0.18,-0.0009518839750368432,1
0.182,-0.0009244724108616165,1
0.184,-0.0009022471833164232,1
0.186,-0.000885067327454674,1
0.188,-0.0008726247702911051,1
0.19,-0.0008644662731438269,1
0.192,-0.0008600202159901355,1
0.194,-0.0008586277582290653,1
0.196,-0.000859577350929868,1
0.198,-0.0008621410810815242,1
0.2,-0.0008656110021004685,1
0.202,-0.0008693334471868817,1
0.204,-0.0008727393343374029,1
0.206,-0.0008753687237683774,1
0.208,-0.0008768884295089402,1
0.21,-0.0008771021908390748,1
0.212,-0.0008759535162497539,1
0.214,-0.0008735216579740124,1
0.216,-0.0008700112939817573,1
0.218,-0.0008657365081703346,1
0.22,-0.000861099668011719,1
0.222,-0.0008565659012287268,1
0.224,-0.0008526341803900999,1
0.226,-0.000849806529406447,1
0.228,-0.0008485573105891699,1
0.23,-0.0008493045658085283,1
0.232,-0.0008523848604053819,1
0.234,-0.0008580323530233342,1
0.236,-0.000866362408551418,1
0.238,-0.0008773601985687158,1
0.24,-0.0008908751168729189,1
0.242,-0.0009066220149047149,1
0.244,-0.000924189993120514,1
0.246,-0.0009430588431805064,1
0.248,-0.0009626224485264382,1
0.25,-0.0009822177418471367,1
0.252,-0.0010011573342242662,1
0.254,-0.0010187637089121547,1
0.256,-0.0010344028404315067,1
0.258,-0.0010475151444043153,1
0.26,-0.0010576417547668688,1
0.262,-0.001064444358593068,1
0.264,-0.0010677173018066846,1
0.266,-0.00106739139751062,1
0.268,-0.0010635296965406816,1
0.27,-0.0010563162638041038,1
0.272,-0.001046039592510501,1
0.274,-0.001033072541579849,1
0.276,-0.0010178505457184843,1
0.278,-0.0010008494301473995,1
0.28,-0.0009825637024344282,1
0.282,-0.0009634859441998272,1
0.284,-0.0009440879843317,1
0.286,-0.0009248047227655686,1
0.288,-0.0009060214197827747,1
0.29,-0.0008880647460862976,1
0.292,-0.0008711971057655861,1
0.294,-0.0008556132021066699,1
0.296,-0.0008414378771723699,1
0.298,-0.000828724847871915,1
0.3,-0.0008174567054302413,1
0.302,-0.0008075470693314566,1
0.304,-0.0007988458909926275,1
0.306,-0.0007911485679851321,1
0.308,-0.0007842089005393442,1
0.31,-0.0007777552477398605,1
0.312,-0.0007715087479356678,1
0.314,-0.000765202247111087,1
0.316,-0.0007585985578820654,1
0.318,-0.0007515066879025605,1
0.32,-0.0007437946463133598,1
0.322,-0.0007353974812146471,1
0.324,-0.000726319537758881,1
0.326,-0.0007166306309109567,1
0.328,-0.0007064567480225153,1
0.33,-0.0006959667590951402,1
0.332,-0.0006853571231003031,1
0.334,-0.0006748365041834856,1
0.336,-0.0006646115497809788,1
0.338,-0.0006548742064564143,1
0.34,-0.0006457904137273933,1
0.342,-0.0006374900990236155,1
0.344,-0.0006300588875312321,1
0.346,-0.0006235323775421417,1
0.348,-0.0006178938444406697,1
0.35,-0.0006130757269046713,1
0.352,-0.0006089644429727094,1
0.354,-0.0006054074285873438,1
0.356,-0.0006022211627516336,1
0.358,-0.0005991993611118037,1
0.36,-0.0005961211490922726,1
0.362,-0.000592759475639645,1
0.364,-0.0005888901414571704,1
0.366,-0.0005843016770931908,1
0.368,-0.0005788060621703103,1
0.37,-0.0005722500123996555,1
0.372,-0.0005645263014130368,1
0.374,-0.0005555843256176124,1
0.376,-0.0005454388578679688,1
0.378,-0.0005341757209449498,1
0.38,-0.0005219530829969246,1
0.382,-0.0005089973824365903,1
0.384,-0.0004955935546288321,1
0.386,-0.0004820701187402788,1
0.388,-0.0004687805485538742,1
0.39,-0.00045608291067733846,1
0.392,-0.00044431975696321513,1
0.394,-0.0004337996769439768,1
0.396,-0.0004247811043563836,1
