t_s,sinal_filtrado,janela,classificacao
0.0,0.0002800558888605,1,0
0.002,0.0003777270888605,1,0
0.004,0.0003199253888605,1,0
0.006,0.0001543610888605,1,0
0.008,-3.966241113949548e-05,1,0
0.01,-0.0001733311111394,1,0
0.012,-0.0001123350111394,1,0
0.014,4.788108886050538e-05,1,0
0.016,0.0002198220888605,1,0
0.018,0.0003603272888605,1,0
0.02,0.0003537932888605,1,0
0.022,0.0002149578888605,1,0
0.024,2.780718886050528e-05,1,0
0.026,-0.0001604688111394,1,0
0.028,-0.0001513333111394,1,0
0.03,-1.7918711139494527e-05,1,0
0.032,0.0001539254888605,1,0
0.034,0.0003227204888605,1,0
0.036,0.0003759120888605,1,0
0.038,0.0002783255888605,1,0
0.04,0.0001004555888605,1,0
0.042,-0.0001078338111394,1,0
0.044,-0.0001794658111394,1,0
0.046,-8.311351113949499e-05,1,0
0.048,8.928728886050493e-05,1,0
0.05,0.0002693352888605,1,0
0.052,0.0003756458888605,1,0
0.054,0.0001536834888605,1,0
0.056,-1.177191113949528e-05,1,0
0.058,-0.0001772273111394,1,0
0.06,-0.0001172960111394,1,0
0.062,3.687008886050537e-05,1,0
0.064,0.0002019140888605,1,0
0.066,0.0003669580888605,1,0
0.068,0.0003605934888605,1,0
0.07,0.0002248072888605,1,0
0.072,0.0001340270388605,1,0
0.0739999999999999,4.324678886050539e-05,1,0
0.076,-0.0001459609111394,1,0
0.078,2.8690888605050705e-06,1,0
0.08,0.0001516990888605,1,0
0.082,0.0003827485888605,1,0
0.084,0.0002449719388605,1,0
0.0859999999999999,0.0001071952888605,1,0
0.0879999999999999,3.987088886050561e-05,1,0
0.0899999999999999,-2.745351113949508e-05,1,0
0.092,-9.477791113949577e-05,1,0
0.094,-7.306611394953655e-07,1,0
0.096,9.331658886050503e-05,1,0
0.098,0.0003878789888605,1,0
0.1,0.0003595407888605,1,0
0.102,0.0003312025888605,1,0
0.104,0.0001679009888605,1,0
0.106,-2.3775111139494928e-05,1,0
0.108,-0.0001688541111394,1,0
0.11,-0.0001179615111394,1,0
0.112,0.0002099968888605,1,0
0.114,0.0003741696888605,1,0
0.116,0.0003066214388605,1,0
0.118,0.0002390731888605,1,0
0.12,-0.0001384468111394,1,0
0.122,-0.0001424156111394,1,0
0.124,-0.0001463844111394,1,0
0.126,-0.0001503532111394,1,0
0.128,0.0001470526888605,1,0
0.13,0.0003282017888605,1,0
0.132,0.0002933053888605,1,0
0.134,0.0002059675888605,1,0
0.136,0.0001186297888605,1,0
0.138,-8.448081113949591e-05,1,0
0.14,-0.0001237634611394,1,0
0.142,-0.0001630461111394,1,0
0.144,-7.944721113949548e-05,1,0
0.146,0.0002668668888605,1,0
0.148,0.0003025195388605,1,0
0.15,0.0003381721888605,1,0
0.152,0.0002576345888605,1,0
0.154,0.0001770969888605,1,0
0.156,-0.0001675594111394,1,0
0.158,-0.0001283191111394,1,0
0.16,-5.197416113949496e-05,1,0
0.162,2.4370788860505248e-05,1,0
0.164,0.0002034870888605,1,0
0.166,0.0003644896888605,1,0
0.168,0.0002364958888605,1,0
0.17,5.284208886050532e-05,1,0
0.172,-0.0001565121111394,1,0
0.174,-0.0001160134111394,1,0
0.176,-7.5514711139495e-05,1,0
0.178,-3.501601113949527e-05,1,0
0.18,0.0001401435888605,1,0
0.182,0.0003874796888605,1,0
0.184,0.0003406345388605,1,0
