t_s,sinal_filtrado
0.000000000000000000e+00,2.800558888605051387e-04
2.000000000000000042e-03,3.777270888605049025e-04
4.000000000000000083e-03,3.199253888605054115e-04
6.000000000000000125e-03,1.543610888605048866e-04
8.000000000000000167e-03,-3.966241113949548272e-05
1.000000000000000021e-02,-1.733311111394952690e-04
1.200000000000000025e-02,-1.123350111394954415e-04
1.400000000000000029e-02,4.788108886050537749e-05
1.600000000000000033e-02,2.198220888605050514e-04
1.799999999999999864e-02,3.603272888605050898e-04
2.000000000000000042e-02,3.537932888605060770e-04
2.199999999999999872e-02,2.149578888605064610e-04
2.400000000000000050e-02,2.780718886050527819e-05
2.599999999999999881e-02,-1.604688111394949636e-04
2.800000000000000058e-02,-1.513333111394952676e-04
2.999999999999999889e-02,-1.791871113949452740e-05
3.200000000000000067e-02,1.539254888605055306e-04
3.400000000000000244e-02,3.227204888605048928e-04
3.599999999999999728e-02,3.759120888605052731e-04
3.799999999999999906e-02,2.783255888605053359e-04
4.000000000000000083e-02,1.004555888605052245e-04
4.200000000000000261e-02,-1.078338111394953024e-04
4.399999999999999745e-02,-1.794658111394947277e-04
4.599999999999999922e-02,-8.311351113949498950e-05
4.800000000000000100e-02,8.928728886050492017e-05
5.000000000000000278e-02,2.693352888605052807e-04
5.199999999999999761e-02,3.756458888605047029e-04
5.399999999999999939e-02,1.536834888605045392e-04
5.600000000000000117e-02,-1.177191113949527940e-05
5.800000000000000294e-02,-1.772273111394950980e-04
5.999999999999999778e-02,-1.172960111394945153e-04
6.199999999999999956e-02,3.687008886050537060e-05
6.400000000000000133e-02,2.019140888605051951e-04
6.600000000000000311e-02,3.669580888605050197e-04
6.800000000000000488e-02,3.605934888605047926e-04
7.000000000000000666e-02,2.248072888605041376e-04
7.199999999999999456e-02,1.340270388605047623e-04
7.399999999999999634e-02,4.324678886050538698e-05
7.599999999999999811e-02,-1.459609111394951156e-04
7.799999999999999989e-02,2.869088860505070518e-06
8.000000000000000167e-02,1.516990888605052566e-04
8.200000000000000344e-02,3.827485888605055252e-04
8.400000000000000522e-02,2.449719388605059098e-04
