t_s,sinal_filtrado,janela,classificacao
0.0,-5.739675314797837e-05,1,0
0.002,2.6395746852022305e-05,1,0
0.004,-5.449275314797688e-05,1,0
0.006,-0.0002288295531479,1,0
0.008,-0.0004191746531479,1,0
0.01,-0.0005445064531479,1,0
0.012,-0.0004694501531479,1,0
0.014,-0.0002994935531479,1,0
0.016,-0.0001240556531479,1,0
0.018,7.265646852021821e-06,1,0
0.02,-1.972945314797792e-05,1,0
0.022,-0.0001701687531479,1,0
0.024,-0.0003598483531479,1,0
0.026,-0.0005292120531479,1,0
0.028,-0.0005125019531479,1,0
0.03,-0.0003680763531479,1,0
0.032,-0.0001825228531479,1,0
0.034,-8.86365314797799e-06,1,0
0.036,1.49975468520221e-05,1,0
0.038,-0.0001029895531479,1,0
0.04,-0.0004746410531479,1,0
0.042,-0.0005351410531479,1,0
0.044,-0.0004259506531479,1,0
0.046,-6.24424531479777e-05,1,0
0.048,3.115104685202149e-05,1,0
0.05,-5.772103147978248e-06,1,0
0.052,-4.269525314797799e-05,1,0
0.054,-0.0004168151531479,1,0
0.056,-0.0005501087531479,1,0
0.058,-0.0004779685531479,1,0
0.06,-0.0003053620531479,1,0
0.062,-0.0001192640531479,1,0
0.064,2.6964446852021512e-05,1,0
0.066,5.220746852022291e-06,1,0
0.068,-0.0001467431531479,1,0
0.07,-0.0003418556531479,1,0
0.072,-0.0005206089531479,1,0
0.0739999999999999,-0.0004714708531479,1,0
0.076,-0.0004223327531479,1,0
0.078,-0.0003731946531479,1,0
0.08,-0.0001902850031479,1,0
0.082,-7.3753531479783105e-06,1,0
0.084,3.32201468520232e-05,1,0
0.0859999999999999,-8.307295314797809e-05,1,0
0.0879999999999999,-0.0004775450531479,1,0
0.0899999999999999,-0.0005601275531479,1,0
0.092,-0.0004451170531479,1,0
0.094,-0.0002497867531479,1,0
0.096,-7.624855314797761e-05,1,0
0.098,2.0769246852021805e-05,1,0
0.1,-3.848445314797756e-05,1,0
0.102,-0.0004307906531479,1,0
0.104,-0.0005835652531479,1,0
0.106,-0.0005166482198146,1,0
0.108,-0.0004497311864813,1,0
0.11,-0.0003828141531479,1,0
0.112,-0.0002142067031479,1,0
0.114,-4.559925314797775e-05,1,0
0.116,-0.0001418547531479,1,0
0.118,-0.0002381102531479,1,0
0.12,-0.0004442579531479,1,0
0.122,-0.0006593354531479,1,0
0.124,-0.0006696628031479,1,0
0.126,-0.0006799901531479,1,0
0.128,-0.0003585173531479,1,0
0.13,-0.0001556487531479,1,0
0.132,-0.0002890270531479,1,0
0.134,-0.0007319233531479,1,0
0.136,-0.0003608768531479,1,0
0.138,-0.0003221044198146,1,0
0.14,-0.0002833319864813,1,0
0.142,-0.0002445595531479,1,0
0.144,-0.0003739932531479,1,0
0.146,-0.0005034269531479,1,0
0.148,-0.0008785390531479,1,0
0.15,-0.0006432666531479,1,0
