t_s,sinal_filtrado,janela
0.0,-5.739675314797837e-05,1
0.002,2.6395746852022305e-05,1
0.004,-5.449275314797688e-05,1
0.006,-0.00022882955314797775,1
0.008,-0.00041917465314797713,1
0.01,-0.0005445064531479776,1
0.012,-0.00046945015314797753,1
0.014,-0.0002994935531479776,1
0.016,-0.00012405565314797806,1
0.018,7.265646852021821e-06,1
0.02,-1.972945314797792e-05,1
0.022,-0.0001701687531479772,1
0.024,-0.00035984835314797816,1
0.026,-0.0005292120531479785,1
0.028,-0.0005125019531479784,1
0.03,-0.0003680763531479776,1
0.032,-0.00018252285314797808,1
0.034,-8.86365314797799e-06,1
0.036,1.49975468520221e-05,1
0.038,-0.00010298955314797744,1
0.04,-0.0004746410531479786,1
0.042,-0.0005351410531479776,1
0.044,-0.000425950653147978,1
0.046,-6.24424531479777e-05,1
0.048,3.115104685202149e-05,1
0.05,-5.772103147978248e-06,1
0.052,-4.269525314797799e-05,1
0.054,-0.00041681515314797874,1
0.056,-0.0005501087531479777,1
0.058,-0.0004779685531479776,1
0.06,-0.00030536205314797777,1
0.062,-0.00011926405314797776,1
0.064,2.6964446852021512e-05,1
0.066,5.220746852022291e-06,1
0.068,-0.00014674315314797733,1
0.07,-0.0003418556531479778,1
0.072,-0.0005206089531479769,1
0.07399999999999998,-0.0004714708531479772,1
0.076,-0.0004223327531479775,1
0.078,-0.00037319465314797774,1
0.08,-0.00019028500314797808,1
0.082,-7.3753531479783105e-06,1
0.084,3.32201468520232e-05,1
0.08599999999999998,-8.307295314797809e-05,1
0.08799999999999998,-0.0004775450531479784,1
0.08999999999999998,-0.0005601275531479776,1
0.092,-0.0004451170531479774,1
0.094,-0.0002497867531479777,1
0.096,-7.624855314797761e-05,1
0.098,2.0769246852021805e-05,1
0.1,-3.848445314797756e-05,1
0.102,-0.00043079065314797783,1
0.104,-0.0005835652531479777,1
0.106,-0.0005166482198146444,1
0.108,-0.0004497311864813111,1
0.11,-0.00038281415314797774,1
0.112,-0.00021420670314797777,1
0.114,-4.559925314797775e-05,1
0.116,-0.00014185475314797743,1
0.118,-0.00023811025314797712,1
0.12,-0.00044425795314797806,1
0.122,-0.0006593354531479771,1
0.124,-0.0006696628031479775,1
0.126,-0.0006799901531479779,1
0.128,-0.00035851735314797835,1
0.13,-0.00015564875314797756,1
0.132,-0.0002890270531479772,1
0.134,-0.0007319233531479776,1
0.136,-0.0003608768531479776,1
0.138,-0.0003221044198146444,1
0.14,-0.00028333198648131124,1
0.142,-0.00024455955314797804,1
0.144,-0.00037399325314797777,1
0.146,-0.0005034269531479776,1
0.148,-0.0008785390531479784,1
0.15,-0.000643266653147978,1
0.152,-0.0002787178531479771,1
0.154,-0.00028878505314797794,1
0.156,-0.0004389218531479786,1
0.158,-0.0006467272531479789,1
0.16,-0.0008516770531479785,1
0.162,-0.0007764574031479783,1
0.164,-0.000701237753147978,1
0.166,-0.0004949932531479783,1
0.168,-0.00029248765314797767,1
0.17,-0.0002237112531479771,1
0.172,-0.00032696055314797735,1
0.174,-0.0005265924031479774,1
0.176,-0.0007262242531479774,1
0.178,-0.0007717384031479779,1
0.18,-0.0008172525531479779,1
0.182,-0.0007081468531479784,1
0.184,-0.0005001599531479777,1
0.186,-0.0002858205531479775,1
0.188,-0.00013759555314797785,1
0.19,-0.00037124655314797663,1
0.192,-0.0005741030531479776,1
0.194,-0.0004989499531479779,1
0.196,-0.00038844065314797807,1
0.198,-0.00027793135314797823,1
0.2,-9.576585314797788e-05,1
0.202,-9.645555314797757e-05,1
0.204,-0.00044783955314797817,1
0.206,-0.0006587546531479777,1
0.208,-0.000585991303147978,1
0.21,-0.0005132279531479783,1
0.212,-9.802855314797793e-05,1
0.214,-0.00012116375314797766,1
0.216,-0.00032105575314797773,1
0.218,-0.0005333623531479778,1
0.22,-0.0005463819531479777,1
0.222,-0.0005594015531479778,1
0.224,-0.000572421153147978,1
0.226,-0.000585440753147978,1
0.228,-0.0005984603531479781,1
0.23,-0.000611479953147978,1
0.232,-0.0006244995531479782,1
0.234,-0.0006375191531479784,1
0.236,-0.0005870682031479779,1
0.238,-0.0005366172531479775,1
0.24,-0.0004860059781479776,1
0.242,-0.00043539470314797775,1
0.244,-0.0003847834281479778,1
0.246,-0.000334172153147978,1
0.248,1.177894685202175e-05,1
0.25,-0.00013345331981464475,1
0.252,-0.0002786855864813113,1
0.254,-0.0004239178531479778,1
0.256,-0.0005584577531479781,1
0.258,-0.00036591045314797774,1
0.26,-0.0001733631531479775,1
0.262,-7.610335314797777e-05,1
0.264,2.1156446852022004e-05,1
0.266,-0.0001211395531479772,1
0.268,-0.00022450380314797784,1
0.27,-0.00032786805314797846,1
0.272,-0.0005752283531479784,1
0.274,-0.00043243625314797786,1
0.276,-0.00032812820314797805,1
0.278,-0.00022382015314797825,1
0.28,-2.3686153147978e-05,1
0.282,-3.144225314797872e-05,1
0.284,-0.00044603665314797697,1
0.286,-0.000280484453147978,1
0.288,-6.650805314797762e-05,1
0.29,7.944214685202174e-05,1
0.292,4.0516446852022395e-05,1
0.294,4.9569668520222835e-06,1
0.296,-3.060251314797782e-05,1
0.298,-6.616199314797793e-05,1
0.3,-0.00010172147314797802,1
0.302,-0.00013728095314797812,1
0.304,-0.0005381902531479774,1
0.306,-0.0005079281531479773,1
0.308,-0.00042264735314797734,1
0.31,-0.0003373665531479775,1
0.312,9.163894685202192e-05,1
0.314,-2.3895886481311156e-05,1
0.316,-0.00013943071981464424,1
0.318,-0.0002549655531479773,1
0.32,-0.0005293814531479781,1
0.322,-0.0004012303531479777,1
0.324,-0.00026137451981464443,1
0.326,-0.00012151868648131117,1
0.328,1.833714685202208e-05,1
0.33,6.603534685202224e-05,1
0.332,0.0001137335468520224,1
0.334,1.9038946852023737e-05,1
0.336,-0.00018172425314797857,1
0.338,-0.000397672953147978,1
0.34,-0.0005300106531479784,1
0.342,-0.0004512154531479775,1
0.344,-0.000258861753147978,1
0.346,-4.91566531479774e-05,1
0.348,0.00010928074685202271,1
0.35,8.060374685202234e-05,1
0.352,-0.0005042255531479776,1
0.354,-0.0004957011031479774,1
0.356,-0.0004871766531479773,1
0.358,-0.00040879285314797766,1
0.36,-0.00033040905314797803,1
0.362,-0.000123958853147978,1
0.364,0.00011086584685202244,1
0.366,-0.00017223785314797804,1
0.368,-0.00045534155314797854,1
0.37,-0.0005225449531479779,1
0.372,-0.00040695365314797824,1
0.374,-0.00030315985314797794,1
0.376,-0.00019936605314797764,1
0.378,-9.753850314797759e-05,1
0.38,4.289046852022464e-06,1
0.382,0.00010986154685202216,1
0.384,3.1356746852021805e-05,1
0.386,-0.00016292085314797717,1
0.388,-0.000537657853147978,1
0.39,-0.0002755960531479777,1
0.392,0.0001091839468520218,1
0.394,-0.0002974607531479782,1
0.396,-0.00036662435314797816,1
0.398,-0.00043578795314797806,1
0.4,-0.000504951553147978,1
0.402,-0.0005021504031479779,1
0.404,-0.0004993492531479779,1
0.406,-0.00034488065314797764,1
0.408,-0.00013523605314797816,1
0.41,0.00011272924685202296,1
0.412,5.03355968520221e-05,1
0.414,-1.205805314797876e-05,1
0.416,-0.00044479035314797834,1
0.418,-0.00048043090314797834,1
