t_s,sinal_filtrado
0.000000000000000000e+00,-5.739675314797836742e-05
2.000000000000000042e-03,2.639574685202230458e-05
4.000000000000000083e-03,-5.449275314797687869e-05
6.000000000000000125e-03,-2.288295531479777808e-04
8.000000000000000167e-03,-4.191746531479771318e-04
1.000000000000000021e-02,-5.445064531479776315e-04
1.200000000000000025e-02,-4.694501531479775350e-04
1.400000000000000029e-02,-2.994935531479775773e-04
1.600000000000000033e-02,-1.240556531479780622e-04
1.799999999999999864e-02,7.265646852021821755e-06
2.000000000000000042e-02,-1.972945314797792254e-05
2.199999999999999872e-02,-1.701687531479771989e-04
2.400000000000000050e-02,-3.598483531479781602e-04
2.599999999999999881e-02,-5.292120531479784645e-04
2.800000000000000058e-02,-5.125019531479783549e-04
2.999999999999999889e-02,-3.680763531479776078e-04
3.200000000000000067e-02,-1.825228531479781112e-04
3.400000000000000244e-02,-8.863653147977990088e-06
3.599999999999999728e-02,1.499754685202209920e-05
3.799999999999999906e-02,-1.029895531479774543e-04
4.000000000000000083e-02,-4.746410531479786782e-04
4.200000000000000261e-02,-5.351410531479776009e-04
4.399999999999999745e-02,-4.259506531479780034e-04
4.599999999999999922e-02,-6.244245314797770147e-05
4.800000000000000100e-02,3.115104685202148976e-05
5.000000000000000278e-02,-5.772103147978248361e-06
5.199999999999999761e-02,-4.269525314797798649e-05
5.399999999999999939e-02,-4.168151531479787411e-04
5.600000000000000117e-02,-5.501087531479776846e-04
5.800000000000000294e-02,-4.779685531479775651e-04
5.999999999999999778e-02,-3.053620531479777668e-04
6.199999999999999956e-02,-1.192640531479777742e-04
6.400000000000000133e-02,2.696444685202151192e-05
6.600000000000000311e-02,5.220746852022291329e-06
6.800000000000000488e-02,-1.467431531479773330e-04
7.000000000000000666e-02,-3.418556531479778268e-04
7.199999999999999456e-02,-5.206089531479768731e-04
7.399999999999999634e-02,-4.714708531479772156e-04
7.599999999999999811e-02,-4.223327531479775039e-04
7.799999999999999989e-02,-3.731946531479778464e-04
8.000000000000000167e-02,-1.902850031479780789e-04
8.200000000000000344e-02,-7.375353147978311319e-06
8.400000000000000522e-02,3.322014685202320100e-05
8.599999999999999312e-02,-8.307295314797808611e-05
8.799999999999999489e-02,-4.775450531479784322e-04
8.999999999999999667e-02,-5.601275531479776165e-04
9.199999999999999845e-02,-4.451170531479774206e-04
9.400000000000000022e-02,-2.497867531479776824e-04
9.600000000000000200e-02,-7.624855314797762337e-05
9.800000000000000377e-02,2.076924685202180543e-05
1.000000000000000056e-01,-3.848445314797756256e-05
1.019999999999999934e-01,-4.307906531479778825e-04
1.039999999999999952e-01,-5.835652531479777055e-04
1.059999999999999970e-01,-5.166482198146444367e-04
1.079999999999999988e-01,-4.497311864813110594e-04
1.100000000000000006e-01,-3.828141531479777905e-04
1.120000000000000023e-01,-2.142067031479777655e-04
1.140000000000000041e-01,-4.559925314797774049e-05
1.160000000000000059e-01,-1.418547531479774290e-04
1.179999999999999938e-01,-2.381102531479771175e-04
1.199999999999999956e-01,-4.442579531479780644e-04
1.219999999999999973e-01,-6.593354531479770839e-04
