t_s,sinal_filtrado,janela,classificacao
0.0,-0.0013546744725955,1,0
0.002,-0.0013546744725955,1,0
0.004,-0.0009264917725956,1,0
0.006,-0.0009422459725955,1,0
0.008,-0.0012278543725955,1,0
0.01,-0.0012981795725955,1,0
0.012,-0.0013685047725955,1,0
0.014,-0.0014388299725955,1,0
0.016,-0.0015091551725955,1,0
0.018,-0.0009725685725955,1,0
0.02,-0.0009294078725955,1,0
0.022,-0.0010383683725956,1,0
0.024,-0.0011927764725956,1,0
0.026,-0.0013471845725955,1,0
0.028,-0.0015015926725955,1,0
0.03,-0.0016560007725955,1,0
0.032,-0.0010516299725955,1,0
0.034,-0.0009164850725955,1,0
0.036,-0.0009374543725955,1,0
0.038,-0.0017926702725956,1,0
0.04,-0.0018041773725956,1,0
0.042,-0.0018156844725955,1,0
0.044,-0.0018271915725955,1,0
0.046,-0.0008742681725955,1,0
0.048,-0.0008901433725955,1,0
0.05,-0.0009060185725955,1,0
0.052,-0.0014346796725955,1,0
0.054,-0.0017087265225955,1,0
0.056,-0.0019827733725955,1,0
0.058,-0.0013381942725955,1,0
0.06,-0.0011187607725955,1,0
0.062,-0.0008993272725955,1,0
0.064,-0.0009518049725955,1,0
0.066,-0.0011958619725955,1,0
0.068,-0.0012665622725955,1,0
0.07,-0.0013372625725955,1,0
0.072,-0.0014079628725955,1,0
0.0739999999999999,-0.0014786631725955,1,0
0.076,-0.0009528576725955,1,0
0.078,-0.0009331346725955,1,0
0.08,-0.0010313745725956,1,0
0.082,-0.0011923862475956,1,0
0.084,-0.0013533979225955,1,0
0.0859999999999999,-0.0015144095975955,1,0
0.0879999999999999,-0.0016754212725955,1,0
0.0899999999999999,-0.0010621569725955,1,0
0.092,-0.0009128913725955,1,0
0.094,-0.0009357966725956,1,0
0.096,-0.0017943642725955,1,0
0.098,-0.0015974085392622,1,0
0.1,-0.0014004528059289,1,0
0.102,-0.0012034970725955,1,0
0.104,-0.0010516662725955,1,0
0.106,-0.0008998354725955,1,0
0.108,-0.0009585930725956,1,0
0.11,-0.0014850640725955,1,0
0.112,-0.0016559080059289,1,0
0.114,-0.0018267519392622,1,0
0.116,-0.0019975958725955,1,0
0.118,-0.0013517462725955,1,0
0.12,-0.0009059096725955,1,0
0.122,-0.0009391483725956,1,0
0.124,-0.0011669429725955,1,0
0.126,-0.0011144834225955,1,0
0.128,-0.0010620238725955,1,0
0.13,-0.0010095643225955,1,0
0.132,-0.0009571047725955,1,0
0.134,-0.0009994305725955,1,0
0.136,-0.0011102020392622,1,0
0.138,-0.0012209735059289,1,0
0.14,-0.0013317449725955,1,0
0.142,-0.0014425164392622,1,0
0.144,-0.0015532879059289,1,0
0.146,-0.0016640593725955,1,0
0.148,-0.0010490526725955,1,0
0.15,-0.0008917526725955,1,0
0.152,-0.0009335823725955,1,0
0.154,-0.0017569147725955,1,0
0.156,-0.0017716283725955,1,0
0.158,-0.0017863419725955,1,0
0.16,-0.0018010555725955,1,0
0.162,-0.0008690046725955,1,0
0.164,-0.0009209015725955,1,0
0.166,-0.0011814327225955,1,0
0.168,-0.0014419638725955,1,0
0.17,-0.0016935652225955,1,0
0.172,-0.0019451665725955,1,0
0.174,-0.0013326161725955,1,0
0.176,-0.0011299774725955,1,0
0.178,-0.0009273387725956,1,0
0.18,-0.0010423371725956,1,0
0.182,-0.0011573355725955,1,0
0.184,-0.0012439382975955,1,0
0.186,-0.0013305410225955,1,0
0.188,-0.0014171437475955,1,0
0.19,-0.0015037464725956,1,0
0.192,-0.0009798527725955,1,0
0.194,-0.0009325296725955,1,0
0.196,-0.0009917107725956,1,0
0.198,-0.0011601639475956,1,0
0.2,-0.0013286171225956,1,0
0.202,-0.0014970702975955,1,0
0.204,-0.0016655234725955,1,0
0.206,-0.0010513153725955,1,0
0.208,-0.0008815039725955,1,0
0.21,-0.0009286697725955,1,0
0.212,-0.0017484568725956,1,0
0.214,-0.0017745969059289,1,0
0.216,-0.0018007369392622,1,0
0.218,-0.0018268769725955,1,0
0.22,-0.0011857342725955,1,0
0.222,-0.0008926964725955,1,0
0.224,-0.0009376963725955,1,0
0.226,-0.0014328888725956,1,0
0.228,-0.0014036270392622,1,0
0.23,-0.0013743652059289,1,0
0.232,-0.0013451033725955,1,0
0.234,-0.0009317068725955,1,0
0.236,-0.0009636266725955,1,0
0.238,-0.0011771674725955,1,0
0.24,-0.0011281049975955,1,0
0.242,-0.0010790425225955,1,0
0.244,-0.0010299800475955,1,0
0.246,-0.0009809175725955,1,0
0.248,-0.0009488767725956,1,0
0.25,-0.0009753092225955,1,0
0.252,-0.0010017416725955,1,0
0.254,-0.0011740184475955,1,0
0.256,-0.0013462952225955,1,0
0.258,-0.0015185719975955,1,0
0.26,-0.0016908487725955,1,0
0.262,-0.0010942340725956,1,0
0.264,-0.0009431050725955,1,0
0.266,-0.0017301495725955,1,0
0.268,-0.0016008187225955,1,0
0.27,-0.0014714878725955,1,0
0.272,-0.0013421570225955,1,0
0.274,-0.0012128261725955,1,0
0.276,-0.0009118265725955,1,0
0.278,-0.0009313015225955,1,0
0.28,-0.0009507764725955,1,0
0.282,-0.0014089187725956,1,0
0.284,-0.0016046725725955,1,0
0.286,-0.0018004263725955,1,0
0.288,-0.0019961801725955,1,0
0.29,-0.0013711183725955,1,0
0.292,-0.0009269757725956,1,0
0.294,-0.0009526761725955,1,0
0.296,-0.0011601064725955,1,0
0.298,-0.0012662022975955,1,0
0.3,-0.0013722981225955,1,0
0.302,-0.0014783939475955,1,0
0.304,-0.0015844897725955,1,0
0.306,-0.0009991764725955,1,0
0.308,-0.0010120085225955,1,0
0.31,-0.0010248405725955,1,0
0.312,-0.0010376726225955,1,0
0.314,-0.0010505046725955,1,0
0.316,-0.0010633367225955,1,0
0.318,-0.0010761687725955,1,0
0.32,-0.0009071196725956,1,0
0.322,-0.0009364500725955,1,0
0.324,-0.0013409349225955,1,0
0.326,-0.0017454197725956,1,0
0.328,-0.0017892742059289,1,0
0.33,-0.0018331286392622,1,0
0.332,-0.0018769830725955,1,0
0.334,-0.0009122016725955,1,0
0.336,-0.0009484169725955,1,0
0.338,-0.0011767560725955,1,0
0.34,-0.0014050951725955,1,0
0.342,-0.0012854473475955,1,0
0.344,-0.0011657995225955,1,0
0.346,-0.0010461516975955,1,0
0.348,-0.0009265038725955,1,0
0.35,-0.0009397049725955,1,0
0.352,-0.0011343092725955,1,0
0.354,-0.0012230337325955,1,0
0.356,-0.0013117581925955,1,0
0.358,-0.0014004826525955,1,0
0.36,-0.0014892071125955,1,0
0.362,-0.0015779315725955,1,0
0.364,-0.0009803367725955,1,0
0.366,-0.0009841240725955,1,0
0.368,-0.0011381522325955,1,0
0.37,-0.0012921803925955,1,0
0.372,-0.0014462085525955,1,0
0.374,-0.0016002367125955,1,0
0.376,-0.0017542648725955,1,0
0.378,-0.0010966419725955,1,0
0.38,-0.0008964595725955,1,0
0.382,-0.0009545637725956,1,0
0.384,-0.0017331382725955,1,0
0.386,-0.0017922709725955,1,0
0.388,-0.0018514036725955,1,0
0.39,-0.0019105363725955,1,0
0.392,-0.0012331420725955,1,0
0.394,-0.0009535957725955,1,0
0.396,-0.0011802287725955,1,0
0.398,-0.0014068617725956,1,0
0.4,-0.0014057576475956,1,0
0.402,-0.0014046535225955,1,0
0.404,-0.0014035493975955,1,0
0.406,-0.0014024452725955,1,0
0.408,-0.0009263102725955,1,0
0.41,-0.0009372849725955,1,0
0.412,-0.0011215679725955,1,0
0.414,-0.0012307371975955,1,0
0.416,-0.0013399064225955,1,0
0.418,-0.0014490756475955,1,0
0.42,-0.0015582448725955,1,0
0.422,-0.0010082756725956,1,0
0.424,-0.0009410722725955,1,0
0.426,-0.0010961555525955,1,0
0.428,-0.0012512388325955,1,0
0.43,-0.0014063221125955,1,0
0.432,-0.0015614053925955,1,0
0.434,-0.0017164886725955,1,0
0.436,-0.0011099519725955,1,0
0.438,-0.0008994240725955,1,0
0.44,-0.0009279195725955,1,0
0.442,-0.0016754575725955,1,0
0.444,-0.0017524418059289,1,0
0.446,-0.0018294260392622,1,0
0.448,-0.0019064102725955,1,0
0.45,-0.0012550309725955,1,0
0.452,-0.0009114514725955,1,0
0.454,-0.0009712012725956,1,0
0.456,-0.0013709247725956,1,0
0.458,-0.0013834482725956,1,0
0.46,-0.0013959717725955,1,0
0.462,-0.0014084952725955,1,0
0.464,-0.0011708573225955,1,0
0.466,-0.0009332193725956,1,0
0.468,-0.0009494938725955,1,0
0.47,-0.0011501118725955,1,0
0.472,-0.0012607935975955,1,0
0.474,-0.0013714753225955,1,0
0.476,-0.0014821570475955,1,0
0.478,-0.0015928387725955,1,0
0.48,-0.0010061944725956,1,0
0.482,-0.0009383618725955,1,0
0.484,-0.0009832407725955,1,0
0.486,-0.0011730897725955,1,0
0.488,-0.0013629387725955,1,0
0.49,-0.0015527877725955,1,0
