t_s,sinal_filtrado
0.000000000000000000e+00,-1.354674472595598228e-03
2.000000000000000042e-03,-1.354674472595598228e-03
4.000000000000000083e-03,-9.264917725956001160e-04
6.000000000000000125e-03,-9.422459725955990850e-04
8.000000000000000167e-03,-1.227854372595597182e-03
1.000000000000000021e-02,-1.298179572595597672e-03
1.200000000000000025e-02,-1.368504772595598162e-03
1.400000000000000029e-02,-1.438829972595598652e-03
1.600000000000000033e-02,-1.509155172595599143e-03
1.799999999999999864e-02,-9.725685725955977162e-04
2.000000000000000042e-02,-9.294078725955983583e-04
2.199999999999999872e-02,-1.038368372595601524e-03
2.400000000000000050e-02,-1.192776472595600667e-03
2.599999999999999881e-02,-1.347184572595599809e-03
2.800000000000000058e-02,-1.501592672595598952e-03
2.999999999999999889e-02,-1.656000772595598095e-03
3.200000000000000067e-02,-1.051629972595599649e-03
3.400000000000000244e-02,-9.164850725955978050e-04
3.599999999999999728e-02,-9.374543725955974960e-04
3.799999999999999906e-02,-1.792670272595600287e-03
4.000000000000000083e-02,-1.804177372595599680e-03
4.200000000000000261e-02,-1.815684472595598857e-03
4.399999999999999745e-02,-1.827191572595598251e-03
4.599999999999999922e-02,-8.742681725955984973e-04
4.800000000000000100e-02,-8.901433725955979620e-04
5.000000000000000278e-02,-9.060185725955974267e-04
5.199999999999999761e-02,-1.434679672595596742e-03
5.399999999999999939e-02,-1.708726522595597694e-03
5.600000000000000117e-02,-1.982773372595598646e-03
5.800000000000000294e-02,-1.338194272595599754e-03
5.999999999999999778e-02,-1.118760772595599369e-03
6.199999999999999956e-02,-8.993272725955989838e-04
6.400000000000000133e-02,-9.518049725955983476e-04
6.600000000000000311e-02,-1.195861972595597261e-03
6.800000000000000488e-02,-1.266562272595597727e-03
7.000000000000000666e-02,-1.337262572595598192e-03
7.199999999999999456e-02,-1.407962872595598658e-03
7.399999999999999634e-02,-1.478663172595599123e-03
7.599999999999999811e-02,-9.528576725955986704e-04
7.799999999999999989e-02,-9.331346725955959320e-04
8.000000000000000167e-02,-1.031374572595600975e-03
8.200000000000000344e-02,-1.192386247595600413e-03
8.400000000000000522e-02,-1.353397922595599850e-03
8.599999999999999312e-02,-1.514409597595599288e-03
8.799999999999999489e-02,-1.675421272595598726e-03
8.999999999999999667e-02,-1.062156972595597673e-03
9.199999999999999845e-02,-9.128913725955974806e-04
9.400000000000000022e-02,-9.357966725955998988e-04
9.600000000000000200e-02,-1.794364272595596818e-03
9.800000000000000377e-02,-1.597408539262263781e-03
1.000000000000000056e-01,-1.400452805928930526e-03
1.019999999999999934e-01,-1.203497072595597489e-03
1.039999999999999952e-01,-1.051666272595597716e-03
1.059999999999999970e-01,-8.998354725955979433e-04
1.079999999999999988e-01,-9.585930725956003096e-04
1.100000000000000006e-01,-1.485064072595597418e-03
1.120000000000000023e-01,-1.655908005928930947e-03
1.140000000000000041e-01,-1.826751939262264259e-03
1.160000000000000059e-01,-1.997595872595597788e-03
1.179999999999999938e-01,-1.351746272595599763e-03
1.199999999999999956e-01,-9.059096725955971541e-04
1.219999999999999973e-01,-9.391483725956009665e-04
