t_s,sinal_filtrado,janela
0.0,0.0006131237219517771,1
0.002,0.0006131237219517771,1
0.004,-0.00022878217804822023,1
0.006,-0.0010706880780482176,1
0.008,-0.001912593978048215,1
0.01,-0.0009591260780482174,1
0.012,-0.0006998230780482168,1
0.014,0.00014911292195177953,1
0.016,0.0008478758219517832,1
0.018,0.00034355387195178326,1
0.02,-0.00016076807804821667,1
0.022,-0.0006650900280482168,1
0.024,-0.0011694119780482166,1
0.026,-0.0007495056780482167,1
0.028,-0.00046632937804822177,1
0.03,-0.0011652858780482195,1
0.032,-0.0018642423780482168,1
0.034,-0.00170821691138155,1
0.036,-0.0015521914447148828,1
0.038,-0.0013961659780482155,1
0.04,-0.0007504615780482169,1
0.042,-0.0007121529780482151,1
0.044,-0.0008260321280482161,1
0.046,-0.0009399112780482172,1
0.048,-0.0008962585113815507,1
0.05,-0.0008526057447148841,1
0.052,-0.0008089529780482178,1
0.054,-0.0007782794780482171,1
0.056,-0.0007476059780482163,1
0.058,0.0005296579219517825,1
0.06,0.00011071962195177783,1
0.062,-0.0004299386280482197,1
0.064,-0.0009705968780482173,1
0.066,-0.0007266971780482195,1
0.068,-0.000498765444714885,1
0.07,-0.00027083371138155046,1
0.072,-4.2901978048215904e-05,1
0.07399999999999998,-0.0001807621180482161,1
0.076,-0.0003186222580482163,1
0.078,-0.0004564823980482165,1
0.08,-0.0005943425380482167,1
0.082,-0.000732202678048217,1
0.084,-0.0012758193780482178,1
0.08599999999999998,-0.0018194360780482187,1
0.08799999999999998,-0.0016923376780482184,1
0.08999999999999998,-0.0015652392780482179,1
0.092,-0.0014381408780482175,1
0.094,-0.0010983063280482171,1
0.096,-0.0007584717780482171,1
0.098,-0.0006976208780482196,1
0.1,-0.0007302763580482192,1
0.102,-0.0007629318380482189,1
0.104,-0.0007955873180482186,1
0.106,-0.0008282427980482182,1
0.108,-0.0008608982780482177,1
0.11,0.0004960562219517859,1
0.112,0.0003720150886184524,1
0.114,0.00024797395528511893,1
0.116,0.0001239328219517855,1
0.118,-9.161355304821523e-05,1
0.12,-0.00030715992804821596,1
0.122,-0.0005227063030482167,1
0.124,-0.0007382526780482174,1
0.126,-4.535827804821781e-05,1
0.128,-0.0006359895280482171,1
0.13,-0.0012266207780482164,1
0.132,-0.0007560517780482158,1
0.134,-0.0004926105780482169,1
0.136,-0.001793505778048216,1
0.138,-0.001753724003048216,1
0.14,-0.001713942228048216,1
0.142,-0.001674160453048216,1
0.144,-0.0016343786780482162,1
0.146,-0.0015945969030482163,1
0.148,-0.0015548151280482163,1
0.15,-0.0015150333530482164,1
0.152,-0.0014752515780482164,1
0.154,-0.0007677403780482181,1
0.156,-0.0006937246780482171,1
0.158,-0.0008767008780482212,1
0.16,-0.0011569852780482191,1
0.162,-0.0014372696780482175,1
0.164,-0.001717554078048216,1
0.166,-0.0008457248780482183,1
0.168,-0.0007929507280482182,1
0.17,-0.0007401765780482181,1
0.172,0.0005340502219517785,1
0.174,0.00029818492195178656,1
0.176,-0.0004357889780482151,1
0.178,-0.0011697628780482168,1
0.18,-0.0019037367780482184,1
0.182,-0.0009920501780482174,1
0.184,-0.0007367522780482192,1
0.186,-7.099817804821686e-05,1
0.188,-0.00020230979804821745,1
0.19,-0.000333621418048218,1
0.192,-0.00046493303804821855,1
0.194,-0.0005962446580482191,1
0.196,-0.0007275562780482197,1
0.198,-0.0004944618780482147,1
0.2,-0.0010985664780482167,1
0.202,-0.0017026710780482191,1
0.204,-0.0012032012280482176,1
0.206,-0.000703731378048216,1
0.208,-0.0007081309380482159,1
0.21,-0.0007125304980482158,1
0.212,-0.0007169300580482157,1
0.214,-0.0007213296180482157,1
0.216,-0.0007257291780482155,1
0.218,-0.0012246121780482176,1
0.22,-0.0017234951780482196,1
0.222,-0.0008514481780482171,1
