t_s,sinal_filtrado
0.000000000000000000e+00,9.426697867998818758e-05
2.000000000000000042e-03,1.030176188406474203e-04
4.000000000000000083e-03,1.112110431748770066e-04
6.000000000000000125e-03,1.188025949891667463e-04
8.000000000000000167e-03,1.257536438913588379e-04
1.000000000000000021e-02,1.320331415090901864e-04
1.200000000000000025e-02,1.376190972883742272e-04
1.400000000000000029e-02,1.424997659750382043e-04
1.600000000000000033e-02,1.466743010912113830e-04
1.799999999999999864e-02,1.501526797880378401e-04
2.000000000000000042e-02,1.529548502802527410e-04
2.199999999999999872e-02,1.551092402607275544e-04
2.400000000000000050e-02,1.566509098834420141e-04
2.599999999999999881e-02,1.576196718860771668e-04
2.800000000000000058e-02,1.580584230244122220e-04
2.999999999999999889e-02,1.580117795056661264e-04
3.200000000000000067e-02,1.575249618115407086e-04
3.400000000000000244e-02,1.566428055423779958e-04
3.599999999999999728e-02,1.554088170281238944e-04
3.799999999999999906e-02,1.538643142884821779e-04
4.000000000000000083e-02,1.520478170606497320e-04
4.200000000000000261e-02,1.499948941137317301e-04
4.399999999999999745e-02,1.477386045455839091e-04
4.599999999999999922e-02,1.453105045381352051e-04
4.800000000000000100e-02,1.427420011182125746e-04
5.000000000000000278e-02,1.400657024285293587e-04
5.199999999999999761e-02,1.373163941899984710e-04
5.399999999999999939e-02,1.345313591632631123e-04
5.600000000000000117e-02,1.317498938951598393e-04
5.800000000000000294e-02,1.290120088627276539e-04
5.999999999999999778e-02,1.263564168894946538e-04
6.199999999999999956e-02,1.238180489909886063e-04
6.400000000000000133e-02,1.214254875152107066e-04
6.600000000000000311e-02,1.191988079726282894e-04
6.800000000000000488e-02,1.171482835149311336e-04
7.000000000000000666e-02,1.152742046635139140e-04
7.199999999999999456e-02,1.135677795378095257e-04
7.399999999999999634e-02,1.120128308430076583e-04
7.599999999999999811e-02,1.105878824090131583e-04
7.799999999999999989e-02,1.092682474801211922e-04
8.000000000000000167e-02,1.080278573924726672e-04
8.200000000000000344e-02,1.068407423035091066e-04
8.400000000000000522e-02,1.056822317446721538e-04
8.599999999999999312e-02,1.045300269128511696e-04
8.799999999999999489e-02,1.033652770789832083e-04
8.999999999999999667e-02,1.021736843709074234e-04
9.199999999999999845e-02,1.009465273241641714e-04
9.400000000000000022e-02,9.968140725314359905e-05
9.600000000000000200e-02,9.838252496098792276e-05
9.800000000000000377e-02,9.706038326256031525e-05
1.000000000000000056e-01,9.573094039566997881e-05
1.019999999999999934e-01,9.441435799208242421e-05
1.039999999999999952e-01,9.313355528774090969e-05
1.059999999999999970e-01,9.191277961904894850e-05
1.079999999999999988e-01,9.077633765114204460e-05
1.100000000000000006e-01,8.974753301610528572e-05
1.120000000000000023e-01,8.884776724080536460e-05
1.140000000000000041e-01,8.809571874149308259e-05
1.160000000000000059e-01,8.750653430231084917e-05
1.179999999999999938e-01,8.709103320274477669e-05
1.199999999999999956e-01,8.685499536684971266e-05
1.219999999999999973e-01,8.679863944813332398e-05
1.239999999999999991e-01,8.691637599584019528e-05
1.260000000000000009e-01,8.719685678235782609e-05
1.280000000000000027e-01,8.762326600777056382e-05
1.300000000000000044e-01,8.817374916326276794e-05
1.320000000000000062e-01,8.882187752436820200e-05
1.340000000000000080e-01,8.953710167478169224e-05
1.360000000000000098e-01,9.028522616278299368e-05
1.380000000000000115e-01,9.102899472259424834e-05
1.400000000000000133e-01,9.172888008202972725e-05
