t_s,sinal_filtrado
0.000000000000000000e+00,-7.389748786416834884e-05
2.000000000000000042e-03,-8.338939836524322867e-05
4.000000000000000083e-03,-9.232143313952251187e-05
6.000000000000000125e-03,-1.006431016524930418e-04
8.000000000000000167e-03,-1.083136959194939519e-04
1.000000000000000021e-02,-1.153036376029669151e-04
1.200000000000000025e-02,-1.215953857674135412e-04
1.400000000000000029e-02,-1.271836587278279051e-04
1.600000000000000033e-02,-1.320748224499132507e-04
1.799999999999999864e-02,-1.362854855071190868e-04
2.000000000000000042e-02,-1.398405351366759552e-04
2.199999999999999872e-02,-1.427709616856942575e-04
2.400000000000000050e-02,-1.451118003442206257e-04
2.599999999999999881e-02,-1.469003834582945968e-04
2.800000000000000058e-02,-1.481749153967995341e-04
2.999999999999999889e-02,-1.489732496527487217e-04
3.200000000000000067e-02,-1.493317320856860152e-04
3.400000000000000244e-02,-1.492840762272824504e-04
3.599999999999999728e-02,-1.488603911338577050e-04
3.799999999999999906e-02,-1.480865962330403345e-04
4.000000000000000083e-02,-1.469844597045304245e-04
4.200000000000000261e-02,-1.455723722388705679e-04
4.399999999999999745e-02,-1.438667662175571293e-04
4.599999999999999922e-02,-1.418839036576490995e-04
4.800000000000000100e-02,-1.396416720151221250e-04
5.000000000000000278e-02,-1.371610782221798018e-04
5.199999999999999761e-02,-1.344672774502278165e-04
5.399999999999999939e-02,-1.315901250808903394e-04
5.600000000000000117e-02,-1.285643167692563987e-04
5.800000000000000294e-02,-1.254291612448352547e-04
5.999999999999999778e-02,-1.222279662382432864e-04
6.199999999999999956e-02,-1.190069922318067873e-04
6.400000000000000133e-02,-1.158139864111007065e-04
6.600000000000000311e-02,-1.126964260259702861e-04
6.800000000000000488e-02,-1.096997091251248528e-04
7.000000000000000666e-02,-1.068655706511416841e-04
7.199999999999999456e-02,-1.042309528062124923e-04
7.399999999999999634e-02,-1.018274443750875755e-04
7.599999999999999811e-02,-9.968127144548419641e-05
7.799999999999999989e-02,-9.781371464038694048e-05
8.000000000000000167e-02,-9.624177300615427389e-05
8.200000000000000344e-02,-9.497890121135425193e-05
8.400000000000000522e-02,-9.403569339499623641e-05
8.599999999999999312e-02,-9.342042556423774948e-05
8.799999999999999489e-02,-9.313936761997644272e-05
8.999999999999999667e-02,-9.319675892803393582e-05
9.199999999999999845e-02,-9.359435803422058307e-05
9.400000000000000022e-02,-9.433054750788667038e-05
9.600000000000000200e-02,-9.539907662730133227e-05
9.800000000000000377e-02,-9.678762524778986964e-05
1.000000000000000056e-01,-9.847644687827143131e-05
1.019999999999999934e-01,-1.004373727533916576e-04
1.039999999999999952e-01,-1.026334105978764233e-04
