t_s,sinal_filtrado
0.000000000000000000e+00,-5.987504336229690594e-05
2.000000000000000042e-03,-8.043283169253724618e-05
4.000000000000000083e-03,-1.000682245036929032e-04
6.000000000000000125e-03,-1.185404806044337595e-04
8.000000000000000167e-03,-1.356343595599601303e-04
1.000000000000000021e-02,-1.511673852809913669e-04
1.200000000000000025e-02,-1.649956276275394600e-04
1.400000000000000029e-02,-1.770175684654135115e-04
1.600000000000000033e-02,-1.871758527590108758e-04
1.799999999999999864e-02,-1.954570301475056762e-04
2.000000000000000042e-02,-2.018896523013486691e-04
2.199999999999999872e-02,-2.065412044999514237e-04
2.400000000000000050e-02,-2.095142840590541651e-04
2.599999999999999881e-02,-2.109422470129806407e-04
2.800000000000000058e-02,-2.109843403961104665e-04
2.999999999999999889e-02,-2.098202354378600649e-04
3.200000000000000067e-02,-2.076439336010799661e-04
3.400000000000000244e-02,-2.046571992365556008e-04
3.599999999999999728e-02,-2.010628744636001983e-04
3.799999999999999906e-02,-1.970585360409773761e-04
4.000000000000000083e-02,-1.928308964096148940e-04
4.200000000000000261e-02,-1.885511612360691377e-04
4.399999999999999745e-02,-1.843713485324301985e-04
4.599999999999999922e-02,-1.804214804979414292e-04
4.800000000000000100e-02,-1.768076231989516346e-04
5.000000000000000278e-02,-1.736108839819600460e-04
5.199999999999999761e-02,-1.708875349888659982e-04
5.399999999999999939e-02,-1.686703317954736604e-04
5.600000000000000117e-02,-1.669708818656210367e-04
5.800000000000000294e-02,-1.657827139073879104e-04
5.999999999999999778e-02,-1.650846292671759308e-04
6.199999999999999956e-02,-1.648440225932072624e-04
6.400000000000000133e-02,-1.650200719088789866e-04
6.600000000000000311e-02,-1.655668833610315872e-04
6.800000000000000488e-02,-1.664367244060133957e-04
7.000000000000000666e-02,-1.675833697613547386e-04
7.199999999999999456e-02,-1.689653849297391582e-04
7.399999999999999634e-02,-1.705489971798451743e-04
7.599999999999999811e-02,-1.723101528430434875e-04
7.799999999999999989e-02,-1.742354642921122585e-04
8.000000000000000167e-02,-1.763219650676505303e-04
8.200000000000000344e-02,-1.785758337137638148e-04
8.400000000000000522e-02,-1.810104368596984032e-04
8.599999999999999312e-02,-1.836441200164015805e-04
8.799999999999999489e-02,-1.864981088899714506e-04
8.999999999999999667e-02,-1.895947020924108081e-04
9.199999999999999845e-02,-1.929557400902249967e-04
9.400000000000000022e-02,-1.966012487307148952e-04
9.600000000000000200e-02,-2.005482249519360035e-04
9.800000000000000377e-02,-2.048096814467339718e-04
1.000000000000000056e-01,-2.093941605830484400e-04
1.019999999999999934e-01,-2.143058749091159693e-04
1.039999999999999952e-01,-2.195454441382160046e-04
1.059999999999999970e-01,-2.251109828524419480e-04
1.079999999999999988e-01,-2.309991837724290932e-04
1.100000000000000006e-01,-2.372061050740143005e-04
1.120000000000000023e-01,-2.437275582729838644e-04
1.140000000000000041e-01,-2.505591924417855678e-04
1.160000000000000059e-01,-2.576964858104496153e-04
1.179999999999999938e-01,-2.651348427452187022e-04
1.199999999999999956e-01,-2.728698578081550940e-04
1.219999999999999973e-01,-2.808976054264370153e-04
1.239999999999999991e-01,-2.892146377086628802e-04
1.260000000000000009e-01,-2.978173137917533488e-04
1.280000000000000027e-01,-3.067001829183222815e-04
1.300000000000000044e-01,-3.158533701641494406e-04
1.320000000000000062e-01,-3.252591731246713344e-04
1.340000000000000080e-01,-3.348882561785074805e-04
1.360000000000000098e-01,-3.446958766195963087e-04
1.380000000000000115e-01,-3.546185535324588136e-04
1.400000000000000133e-01,-3.645715876799173198e-04
1.419999999999999873e-01,-3.744478580191543983e-04
1.439999999999999891e-01,-3.841182642690975152e-04
1.459999999999999909e-01,-3.934339913886797531e-04
1.479999999999999927e-01,-4.022304836983313912e-04
1.499999999999999944e-01,-4.103327545908790541e-04
1.519999999999999962e-01,-4.175615482620249680e-04
1.539999999999999980e-01,-4.237399563801719595e-04
1.559999999999999998e-01,-4.287002767819399359e-04
1.580000000000000016e-01,-4.322910038213621841e-04
1.600000000000000033e-01,-4.343837639325462277e-04
1.620000000000000051e-01,-4.348798300941254845e-04
1.640000000000000069e-01,-4.337157320027442710e-04
1.660000000000000087e-01,-4.308675398528310921e-04
1.680000000000000104e-01,-4.263536287979292276e-04
1.700000000000000122e-01,-4.202360158420071152e-04
1.719999999999999862e-01,-4.126205561721254882e-04
1.739999999999999880e-01,-4.036562887231792207e-04
1.759999999999999898e-01,-3.935340236743854942e-04
1.779999999999999916e-01,-3.824839665815297986e-04
1.799999999999999933e-01,-3.707719319399696307e-04
1.819999999999999951e-01,-3.586936457061062488e-04
1.839999999999999969e-01,-3.465668178543906855e-04
1.859999999999999987e-01,-3.347210299734753171e-04
1.880000000000000004e-01,-3.234859023168995670e-04
1.900000000000000022e-01,-3.131783236463828082e-04
1.920000000000000040e-01,-3.040896297717219222e-04
1.940000000000000058e-01,-2.964734997623106965e-04
1.960000000000000075e-01,-2.905351220126913686e-04
1.980000000000000093e-01,-2.864220169881043806e-04
2.000000000000000111e-01,-2.842168539042748757e-04
2.020000000000000129e-01,-2.839326118113229356e-04
2.039999999999999869e-01,-2.855104085362127216e-04
2.059999999999999887e-01,-2.888201872705648487e-04
2.079999999999999905e-01,-2.936642337470086865e-04
2.099999999999999922e-01,-2.997833005234320125e-04
