t_s,sinal_filtrado
0.000000000000000000e+00,-4.378163174983595233e-04
2.000000000000000042e-03,-5.184944676915205887e-04
4.000000000000000083e-03,-5.955714430242395069e-04
6.000000000000000125e-03,-6.682154773234870492e-04
8.000000000000000167e-03,-7.356958596289529502e-04
1.000000000000000021e-02,-7.974078166583394543e-04
1.200000000000000025e-02,-8.528913915308366589e-04
1.400000000000000029e-02,-9.018426096064915097e-04
1.600000000000000033e-02,-9.441161841925754155e-04
1.799999999999999864e-02,-9.797203075189080210e-04
2.000000000000000042e-02,-1.008805203264029945e-03
2.199999999999999872e-02,-1.031647631336972404e-03
2.400000000000000050e-02,-1.048633267071417486e-03
2.599999999999999881e-02,-1.060238040238674611e-03
2.800000000000000058e-02,-1.067008601407955920e-03
2.999999999999999889e-02,-1.069541588559840212e-03
3.200000000000000067e-02,-1.068461550176652000e-03
3.400000000000000244e-02,-1.064398111259279604e-03
3.599999999999999728e-02,-1.057963801507838704e-03
3.799999999999999906e-02,-1.049734388893313469e-03
4.000000000000000083e-02,-1.040233280940185611e-03
4.200000000000000261e-02,-1.029920652014408317e-03
4.399999999999999745e-02,-1.019186846476973851e-03
4.599999999999999922e-02,-1.008348828587325545e-03
4.800000000000000100e-02,-9.976483645623313457e-04
5.000000000000000278e-02,-9.872512274123098740e-04
5.199999999999999761e-02,-9.772476397258758867e-04
5.399999999999999939e-02,-9.676548742613377786e-04
5.600000000000000117e-02,-9.584230032179801581e-04
5.800000000000000294e-02,-9.494441584182991209e-04
5.999999999999999778e-02,-9.405646535016537945e-04
6.199999999999999956e-02,-9.315984568712762240e-04
6.400000000000000133e-02,-9.223402497781877252e-04
6.600000000000000311e-02,-9.125767943651281588e-04
6.800000000000000488e-02,-9.020963083027353554e-04
7.000000000000000666e-02,-8.906964740807049889e-04
7.199999999999999456e-02,-8.781921061073679792e-04
7.399999999999999634e-02,-8.644231582650616606e-04
7.599999999999999811e-02,-8.492629031966855615e-04
7.799999999999999989e-02,-8.326253059815028621e-04
8.000000000000000167e-02,-8.144703971592625897e-04
8.200000000000000344e-02,-7.948069692874154199e-04
8.400000000000000522e-02,-7.736928092959877330e-04
8.599999999999999312e-02,-7.512333555509436355e-04
8.799999999999999489e-02,-7.275797618042514165e-04
8.999999999999999667e-02,-7.029268848343252609e-04
9.199999999999999845e-02,-6.775110298172969591e-04
9.400000000000000022e-02,-6.516068354595079938e-04
9.600000000000000200e-02,-6.255227312868289358e-04
9.800000000000000377e-02,-5.995948085153239787e-04
1.000000000000000056e-01,-5.741792749388226506e-04
1.019999999999999934e-01,-5.496436623292507394e-04
1.039999999999999952e-01,-5.263568081312430900e-04
1.059999999999999970e-01,-5.046776536643842641e-04
1.079999999999999988e-01,-4.849431620474522748e-04
1.100000000000000006e-01,-4.674560112832490660e-04
1.120000000000000023e-01,-4.524729667627545274e-04
1.140000000000000041e-01,-4.401948663749002955e-04
1.160000000000000059e-01,-4.307589815279738049e-04
1.179999999999999938e-01,-4.242342288390946506e-04
1.199999999999999956e-01,-4.206193335558113954e-04
1.219999999999999973e-01,-4.198436574866692603e-04
1.239999999999999991e-01,-4.217702094862294383e-04
1.260000000000000009e-01,-4.262005200968196753e-04
1.280000000000000027e-01,-4.328814290262302639e-04
1.300000000000000044e-01,-4.415140133070656831e-04
1.320000000000000062e-01,-4.517646462198376847e-04
1.340000000000000080e-01,-4.632776404095944982e-04
1.360000000000000098e-01,-4.756883618261505738e-04
1.380000000000000115e-01,-4.886353369244884849e-04
1.400000000000000133e-01,-5.017699243518556913e-04
1.419999999999999873e-01,-5.147627186347004556e-04
1.439999999999999891e-01,-5.273068463300755295e-04
1.459999999999999909e-01,-5.391192481490355128e-04
1.479999999999999927e-01,-5.499414813994974935e-04
1.499999999999999944e-01,-5.595414289817341293e-04
1.519999999999999962e-01,-5.677167451250613806e-04
1.539999999999999980e-01,-5.743001154643683458e-04
1.559999999999999998e-01,-5.791656391078543959e-04
1.580000000000000016e-01,-5.822350914735485283e-04
1.600000000000000033e-01,-5.834827218471167701e-04
1.620000000000000051e-01,-5.829375590453110805e-04
1.640000000000000069e-01,-5.806826711910508801e-04
1.660000000000000087e-01,-5.768511924846768217e-04
1.680000000000000104e-01,-5.716191115871459803e-04
1.700000000000000122e-01,-5.651948932061801175e-04
1.719999999999999862e-01,-5.578061906725747263e-04
1.739999999999999880e-01,-5.496844073091778585e-04
1.759999999999999898e-01,-5.410485889574735306e-04
1.779999999999999916e-01,-5.320906824950352417e-04
1.799999999999999933e-01,-5.229642365377614940e-04
1.819999999999999951e-01,-5.137781426221831602e-04
1.839999999999999969e-01,-5.045962322409902785e-04
1.859999999999999987e-01,-4.954426473371400727e-04
1.880000000000000004e-01,-4.863120013387852315e-04
1.900000000000000022e-01,-4.771825839808795360e-04
1.920000000000000040e-01,-4.680304109376325311e-04
1.940000000000000058e-01,-4.588419020548067527e-04
1.960000000000000075e-01,-4.496234433303476536e-04
1.980000000000000093e-01,-4.404069798432534212e-04
2.000000000000000111e-01,-4.312517846493148775e-04
2.020000000000000129e-01,-4.222431947537342873e-04
2.039999999999999869e-01,-4.134891748695907702e-04
2.059999999999999887e-01,-4.051152924602051961e-04
2.079999999999999905e-01,-3.972585168193564593e-04
2.099999999999999922e-01,-3.900603852291711156e-04
2.119999999999999940e-01,-3.836602710571787871e-04
2.139999999999999958e-01,-3.781894316814676652e-04
2.159999999999999976e-01,-3.737661878116692511e-04
2.179999999999999993e-01,-3.704921592676185056e-04
2.200000000000000011e-01,-3.684491116562055714e-04
2.220000000000000029e-01,-3.676958319571121655e-04
2.240000000000000047e-01,-3.682647261000365790e-04
2.260000000000000064e-01,-3.701584503493362079e-04
2.280000000000000082e-01,-3.733474659736436244e-04
2.300000000000000100e-01,-3.777695545650301494e-04
2.320000000000000118e-01,-3.833319774626339381e-04
2.340000000000000135e-01,-3.899163172089344922e-04
2.359999999999999876e-01,-3.973853567389452326e-04
2.379999999999999893e-01,-4.055908357285419779e-04
2.399999999999999911e-01,-4.143807726558418683e-04
2.419999999999999929e-01,-4.236053741451385572e-04
2.439999999999999947e-01,-4.331212134051448627e-04
2.459999999999999964e-01,-4.427939712887968152e-04
2.479999999999999982e-01,-4.525003223101240054e-04
2.500000000000000000e-01,-4.621294770395999673e-04
2.520000000000000018e-01,-4.715845318119255957e-04
2.540000000000000036e-01,-4.807832546739981253e-04
2.560000000000000053e-01,-4.896575066625446062e-04
2.580000000000000071e-01,-4.981504712151946235e-04
2.600000000000000089e-01,-5.062113806548915141e-04
2.620000000000000107e-01,-5.137882751408889620e-04
2.640000000000000124e-01,-5.208200371633118879e-04
2.660000000000000142e-01,-5.272291525906866580e-04
2.680000000000000160e-01,-5.329163778747303447e-04
2.700000000000000178e-01,-5.377579885642555556e-04
2.720000000000000195e-01,-5.416057054281621895e-04
2.740000000000000213e-01,-5.442888510152552040e-04
2.760000000000000231e-01,-5.456180438157536439e-04
2.780000000000000249e-01,-5.453900088529754081e-04
2.800000000000000266e-01,-5.433936694004653763e-04
2.819999999999999729e-01,-5.394180630197299015e-04
2.839999999999999747e-01,-5.332624681658361268e-04
2.859999999999999765e-01,-5.247485421879305228e-04
2.879999999999999782e-01,-5.137335669018160134e-04
2.899999999999999800e-01,-5.001233364070212673e-04
2.919999999999999818e-01,-4.838830293266948288e-04
2.939999999999999836e-01,-4.650447537491720880e-04
2.959999999999999853e-01,-4.437112498117038286e-04
2.979999999999999871e-01,-4.200560858556639187e-04
2.999999999999999889e-01,-3.943211496773004420e-04
3.019999999999999907e-01,-3.668121538925505558e-04
3.039999999999999925e-01,-3.378924725994312248e-04
3.059999999999999942e-01,-3.079753253844322259e-04
3.079999999999999960e-01,-2.775143393475683015e-04
3.099999999999999978e-01,-2.469926962531654967e-04
