t_s,sinal_filtrado
0.000000000000000000e+00,-5.146143542533609423e-05
2.000000000000000042e-03,-5.790191238034218943e-05
4.000000000000000083e-03,-6.437374440827509526e-05
6.000000000000000125e-03,-7.077998722275269166e-05
8.000000000000000167e-03,-7.702626101789184789e-05
1.000000000000000021e-02,-8.302294345350782849e-05
1.200000000000000025e-02,-8.868687316855709574e-05
1.400000000000000029e-02,-9.394261071106384882e-05
1.600000000000000033e-02,-9.872335265166540729e-05
1.799999999999999864e-02,-1.029715757092570822e-04
2.000000000000000042e-02,-1.066394363747658508e-04
2.199999999999999872e-02,-1.096889011901688464e-04
2.400000000000000050e-02,-1.120915510549428144e-04
2.599999999999999881e-02,-1.138280125269847749e-04
2.800000000000000058e-02,-1.148870378602837147e-04
2.999999999999999889e-02,-1.152643541964114851e-04
3.200000000000000067e-02,-1.149614624119032959e-04
3.400000000000000244e-02,-1.139845485736347582e-04
3.599999999999999728e-02,-1.123435992691283172e-04
3.799999999999999906e-02,-1.100517299358756527e-04
4.000000000000000083e-02,-1.071246671226649033e-04
4.200000000000000261e-02,-1.035802903451109037e-04
4.399999999999999745e-02,-9.943816109625976444e-05
4.599999999999999922e-02,-9.471903982986642763e-05
4.800000000000000100e-02,-8.944446102356035750e-05
5.000000000000000278e-02,-8.363644835614907937e-05
5.199999999999999761e-02,-7.731741026967982029e-05
5.399999999999999939e-02,-7.051019970419290773e-05
5.600000000000000117e-02,-6.323827367282486018e-05
5.800000000000000294e-02,-5.552586017702287289e-05
5.999999999999999778e-02,-4.739806047407828259e-05
6.199999999999999956e-02,-3.888090097461017227e-05
6.400000000000000133e-02,-3.000145337200752131e-05
6.600000000000000311e-02,-2.078817845274592225e-05
6.800000000000000488e-02,-1.127158660448773333e-05
7.000000000000000666e-02,-1.485195495736851803e-06
7.199999999999999456e-02,8.533335460023353956e-06
7.399999999999999634e-02,1.874107890244865719e-05
7.599999999999999811e-02,2.908892305626106494e-05
7.799999999999999989e-02,3.952102005782139423e-05
8.000000000000000167e-02,4.997466227438999135e-05
8.200000000000000344e-02,6.038056256105860375e-05
8.400000000000000522e-02,7.066346005758372825e-05
8.599999999999999312e-02,8.074294329834752156e-05
8.799999999999999489e-02,9.053437534688724944e-05
8.999999999999999667e-02,9.994983762575001228e-05
