t_s,sinal_filtrado
0.000000000000000000e+00,-1.529865304971070003e-06
2.000000000000000042e-03,9.752879006237508581e-06
4.000000000000000083e-03,2.083592121518458568e-05
6.000000000000000125e-03,3.154811218710059598e-05
8.000000000000000167e-03,4.173613998942752906e-05
1.000000000000000021e-02,5.126999147315757551e-05
1.200000000000000025e-02,6.004684990649858004e-05
1.400000000000000029e-02,6.799327296407401691e-05
1.600000000000000033e-02,7.506568416260584137e-05
1.799999999999999864e-02,8.124938190165168124e-05
2.000000000000000042e-02,8.655636213634684568e-05
2.199999999999999872e-02,9.102224021311399111e-05
2.400000000000000050e-02,9.470249978792896750e-05
2.599999999999999881e-02,9.766826450646078875e-05
2.800000000000000058e-02,1.000017963795516530e-04
2.999999999999999889e-02,1.017919445524357257e-04
3.200000000000000067e-02,1.031297822836130723e-04
3.400000000000000244e-02,1.041046751176970758e-04
3.599999999999999728e-02,1.048009974205956873e-04
3.799999999999999906e-02,1.052956337275660979e-04
4.000000000000000083e-02,1.056562888947943914e-04
4.200000000000000261e-02,1.059405447666929702e-04
4.399999999999999745e-02,1.061955665483446377e-04
4.599999999999999922e-02,1.064583536771751418e-04
4.800000000000000100e-02,1.067564184442833795e-04
5.000000000000000278e-02,1.071087595811828286e-04
5.199999999999999761e-02,1.075269905096708120e-04
5.399999999999999939e-02,1.080164904189159168e-04
5.600000000000000117e-02,1.085774661400867088e-04
5.800000000000000294e-02,1.092058340752904516e-04
5.999999999999999778e-02,1.098938513704962236e-04
6.199999999999999956e-02,1.106304519342625719e-04
6.400000000000000133e-02,1.114012928686512321e-04
6.600000000000000311e-02,1.121886010251416061e-04
6.800000000000000488e-02,1.129709961831793609e-04
7.000000000000000666e-02,1.137234890141175926e-04
7.199999999999999456e-02,1.144177803964025825e-04
7.399999999999999634e-02,1.150228767469363471e-04
7.599999999999999811e-02,1.155059552913603114e-04
7.799999999999999989e-02,1.158333863861157165e-04
8.000000000000000167e-02,1.159718370040994169e-04
8.200000000000000344e-02,1.158894288118051980e-04
8.400000000000000522e-02,1.155569794177714431e-04
8.599999999999999312e-02,1.149493710792160475e-04
8.799999999999999489e-02,1.140470476925512709e-04
8.999999999999999667e-02,1.128375753453444232e-04
9.199999999999999845e-02,1.113171665169707629e-04
9.400000000000000022e-02,1.094920670109023893e-04
9.600000000000000200e-02,1.073797009380508772e-04
9.800000000000000377e-02,1.050094475356765647e-04
1.000000000000000056e-01,1.024229063517072307e-04
1.019999999999999934e-01,9.967351016955654924e-05
1.039999999999999952e-01,9.682536369334147029e-05
1.059999999999999970e-01,9.395122657984910318e-05
1.079999999999999988e-01,9.112963923095021015e-05
1.100000000000000006e-01,8.844130323121817295e-05
1.120000000000000023e-01,8.596494387714173472e-05
1.140000000000000041e-01,8.377297038417238649e-05
1.160000000000000059e-01,8.192728904974865803e-05
1.179999999999999938e-01,8.047559684022473510e-05
1.199999999999999956e-01,7.944839449213195648e-05
1.219999999999999973e-01,7.885686301730671197e-05
1.239999999999999991e-01,7.869169743747072741e-05
1.260000000000000009e-01,7.892297261323821301e-05
1.280000000000000027e-01,7.950107773687573032e-05
1.300000000000000044e-01,8.035869191345294327e-05
1.320000000000000062e-01,8.141371829407333777e-05
1.340000000000000080e-01,8.257305540046067809e-05
1.360000000000000098e-01,8.373703328443553903e-05
1.380000000000000115e-01,8.480427456984403027e-05
1.400000000000000133e-01,8.567668642662922571e-05
1.419999999999999873e-01,8.626426763713857914e-05
1.439999999999999891e-01,8.648942248592771706e-05
1.459999999999999909e-01,8.629051421856799705e-05
1.479999999999999927e-01,8.562446748364114526e-05
1.499999999999999944e-01,8.446831404534387998e-05
1.519999999999999962e-01,8.281963819516047676e-05
1.539999999999999980e-01,8.069593337468714987e-05
1.559999999999999998e-01,7.813296682604845055e-05
1.580000000000000016e-01,7.518235064238401068e-05
1.600000000000000033e-01,7.190857487525932428e-05
1.620000000000000051e-01,6.838574500427146649e-05
1.640000000000000069e-01,6.469422078005293206e-05
1.660000000000000087e-01,6.091731959777696063e-05
1.680000000000000104e-01,5.713821963425281587e-05
1.700000000000000122e-01,5.343715478714496477e-05
1.719999999999999862e-01,4.988895263464282888e-05
1.739999999999999880e-01,4.656095901136325676e-05
1.759999999999999898e-01,4.351140273740060246e-05
1.779999999999999916e-01,4.078824037221329363e-05
1.799999999999999933e-01,3.842848555536208371e-05
1.819999999999999951e-01,3.645800795873793936e-05
1.839999999999999969e-01,3.489178732139515388e-05
1.859999999999999987e-01,3.373459595776791601e-05
1.880000000000000004e-01,3.298204952400266644e-05
1.900000000000000022e-01,3.262193023209851558e-05
1.920000000000000040e-01,3.263565301342613768e-05
1.940000000000000058e-01,3.299971418935028527e-05
1.960000000000000075e-01,3.368696758783877246e-05
1.980000000000000093e-01,3.466764101666505347e-05
2.000000000000000111e-01,3.591009878420546575e-05
2.020000000000000129e-01,3.738140682570111772e-05
2.039999999999999869e-01,3.904775254704702457e-05
2.059999999999999887e-01,4.087475985603590957e-05
2.079999999999999905e-01,4.282775476182402568e-05
2.099999999999999922e-01,4.487205304449366322e-05
2.119999999999999940e-01,4.697332183630007467e-05
2.139999999999999958e-01,4.909801287296632055e-05
2.159999999999999976e-01,5.121380001531534586e-05
2.179999999999999993e-01,5.328990369414339967e-05
2.200000000000000011e-01,5.529718640178277178e-05
2.220000000000000029e-01,5.720797540565790548e-05
2.240000000000000047e-01,5.899567406919396952e-05
2.260000000000000064e-01,6.063429356556078589e-05
2.280000000000000082e-01,6.209804096813017484e-05
2.300000000000000100e-01,6.336106724359595078e-05
2.320000000000000118e-01,6.439745557934092185e-05
2.340000000000000135e-01,6.518152096485084663e-05
2.359999999999999876e-01,6.568846622885978457e-05
2.379999999999999893e-01,6.589539358666790113e-05
2.399999999999999911e-01,6.578263327040870180e-05
2.419999999999999929e-01,6.533532829333252507e-05
2.439999999999999947e-01,6.454517698100752608e-05
2.459999999999999964e-01,6.341217259389275913e-05
2.479999999999999982e-01,6.194612612918144626e-05
2.500000000000000000e-01,6.016774677486331672e-05
2.520000000000000018e-01,5.810908696518100999e-05
2.540000000000000036e-01,5.581323124245271284e-05
2.560000000000000053e-01,5.333321535622350128e-05
2.580000000000000071e-01,5.073027226516193741e-05
2.600000000000000089e-01,4.807156339775395411e-05
2.620000000000000107e-01,4.542754596312262918e-05
2.640000000000000124e-01,4.286908534231199914e-05
2.660000000000000142e-01,4.046440093722947939e-05
2.680000000000000160e-01,3.827595245112874430e-05
2.700000000000000178e-01,3.635740208672152762e-05
2.720000000000000195e-01,3.475080086943648021e-05
2.740000000000000213e-01,3.348415146752601484e-05
2.760000000000000231e-01,3.256949928021817491e-05
2.780000000000000249e-01,3.200168398287939583e-05
2.800000000000000266e-01,3.175785410701945224e-05
2.819999999999999729e-01,3.179783803309066311e-05
2.839999999999999747e-01,3.206546872839226682e-05
2.859999999999999765e-01,3.249092664327246535e-05
2.879999999999999782e-01,3.299406701137647867e-05
2.899999999999999800e-01,3.348855687727686460e-05
2.919999999999999818e-01,3.388650767778829767e-05
2.939999999999999836e-01,3.410319909203687850e-05
2.959999999999999853e-01,3.406149173408301578e-05
2.979999999999999871e-01,3.369561421169698756e-05
2.999999999999999889e-01,3.295411677587084358e-05
3.019999999999999907e-01,3.180185871731062015e-05
3.039999999999999925e-01,3.022096456552679784e-05
3.059999999999999942e-01,2.821078192663123779e-05
3.079999999999999960e-01,2.578697483302231196e-05
3.099999999999999978e-01,2.297993372714440561e-05
3.119999999999999996e-01,1.983266821991831489e-05
3.140000000000000013e-01,1.639832148936366227e-05
3.160000000000000031e-01,1.273744678083032107e-05
3.180000000000000049e-01,8.915198041327879452e-06
3.200000000000000067e-01,4.998568747903719899e-06
3.220000000000000084e-01,1.053773443464470187e-06
3.240000000000000102e-01,-2.856156224837260187e-06
3.260000000000000120e-01,-6.673493949717895683e-06
3.280000000000000138e-01,-1.034760891571574801e-05
3.300000000000000155e-01,-1.383639626147498059e-05
3.320000000000000173e-01,-1.710731728817688305e-05
3.340000000000000191e-01,-2.013799427048832625e-05
3.360000000000000209e-01,-2.291630528843557568e-05
3.380000000000000226e-01,-2.543996297325630941e-05
3.400000000000000244e-01,-2.771559652451724312e-05
3.420000000000000262e-01,-2.975736476464416219e-05
3.439999999999999725e-01,-3.158513743882406465e-05
3.459999999999999742e-01,-3.322232169785055639e-05
3.479999999999999760e-01,-3.469347537732986840e-05
3.499999999999999778e-01,-3.602191776888234818e-05
3.519999999999999796e-01,-3.722759204420120199e-05
3.539999999999999813e-01,-3.832541075084658751e-05
3.559999999999999831e-01,-3.932422055683587494e-05
3.579999999999999849e-01,-4.022641311789668008e-05
3.599999999999999867e-01,-4.102815526603646539e-05
3.619999999999999885e-01,-4.172021688141106476e-05
3.639999999999999902e-01,-4.228937036715795059e-05
3.659999999999999920e-01,-4.272026659276846117e-05
3.679999999999999938e-01,-4.299759552403431675e-05
3.699999999999999956e-01,-4.310829663908371357e-05
3.719999999999999973e-01,-4.304360790976683126e-05
3.739999999999999991e-01,-4.280077939470191146e-05
3.760000000000000009e-01,-4.238430295705882613e-05
3.780000000000000027e-01,-4.180654204097566793e-05
3.800000000000000044e-01,-4.108768414379013038e-05
3.820000000000000062e-01,-4.025495984629049356e-05
3.840000000000000080e-01,-3.934109114830606075e-05
3.860000000000000098e-01,-3.838200379879161655e-05
3.880000000000000115e-01,-3.741397896734319407e-05
3.900000000000000133e-01,-3.647056341702511963e-05
3.920000000000000151e-01,-3.557961759314356320e-05
3.940000000000000169e-01,-3.476083445026929164e-05
3.960000000000000187e-01,-3.402395833593204372e-05
