t_s,sinal_filtrado,janela,classificacao
0.0,-6.193307229646171e-05,1,0
0.002,-6.354476144319491e-05,1,0
0.004,-6.503165138130662e-05,1,0
0.006,-6.632042006291852e-05,1,0
0.008,-6.733040851686863e-05,1,0
0.01,-6.797534448423659e-05,1,0
0.012,-6.816557533018379e-05,1,0
0.014,-6.781077769335698e-05,1,0
0.016,-6.682308740513822e-05,1,0
0.018,-6.512057330320841e-05,1,0
0.02,-6.263095938163798e-05,1,0
0.022,-5.929547805308105e-05,1,0
0.024,-5.507271216379879e-05,1,0
0.026,-4.994225701818412e-05,1,0
0.028,-4.39080109418796e-05,1,0
0.03,-3.700088949802368e-05,1,0
0.032,-2.928075857501764e-05,1,0
0.034,-2.0837396658256355e-05,1,0
0.036,-1.1790325450763848e-05,1,0
0.038,-2.2873877570788065e-06,1,0
0.04,7.498000652193175e-06,1,0
0.042,1.737094342389051e-05,1,0
0.044,2.7120453354262003e-05,1,0
0.046,3.652601169371484e-05,1,0
0.048,4.536506762787865e-05,1,0
0.05,5.34211295276704e-05,1,0
0.052,6.04919919718762e-05,1,0
0.054,6.63976060043827e-05,1,0
0.056,7.098717114106026e-05,1,0
0.058,7.414514735221161e-05,1,0
0.06,7.579593858163626e-05,1,0
0.062,7.590695631696269e-05,1,0
0.064,7.448974787110977e-05,1,0
0.066,7.159901648554515e-05,1,0
0.068,6.732967319448927e-05,1,0
0.07,6.181237435124684e-05,1,0
0.072,5.520814079286322e-05,1,0
0.0739999999999999,4.770260366551124e-05,1,0
0.076,3.950026773776785e-05,1,0
0.078,3.0819002707935056e-05,1,0
0.08,2.1884797151131728e-05,1,0
0.082,1.292666927154662e-05,1,0
0.084,4.1715834212380365e-06,1,0
0.0859999999999999,-4.160689865833606e-06,1,0
0.0879999999999999,-1.186266552233632e-05,1,0
0.0899999999999999,-1.874395421387397e-05,1,0
0.092,-2.4635530714531377e-05,1,0
0.094,-2.939324654707811e-05,1,0
0.096,-3.2900446267702005e-05,1,0
0.098,-3.50696240509507e-05,1,0
0.1,-3.584313134855223e-05,1,0
0.102,-3.519301178756298e-05,1,0
0.104,-3.312009263879421e-05,1,0
0.106,-2.965250420601894e-05,1,0
0.108,-2.4843834802791885e-05,1,0
0.11,-1.877116313422273e-05,1,0
0.112,-1.1533223332781211e-05,1,0
0.114,-3.248898812251927e-06,1,0
0.116,5.943924554743291e-06,1,0
0.118,1.5889329608724266e-05,1,0
0.12,2.6414491795662508e-05,1,0
0.122,3.733129990022603e-05,1,0
0.124,4.843873745858515e-05,1,0
0.126,5.952616490958992e-05,1,0
0.128,7.037750088513641e-05,1,0
0.13,8.077616773977155e-05,1,0
0.132,9.051059607778368e-05,1,0
0.134,9.938011225138308e-05,1,0
0.136,0.0001072011067674,1,0
0.138,0.0001138133860746,1,0
0.14,0.0001190864921242,1,0
0.142,0.0001229255902248,1,0
0.144,0.0001252763854871,1,0
0.146,0.0001261285142737,1,0
0.148,0.0001255169773432,1,0
0.15,0.0001235213828785,1,0
0.152,0.0001202629918338,1,0
0.154,0.0001158997614126,1,0
0.156,0.0001106197288428,1,0
0.158,0.0001046331633332,1,0
0.16,9.816397210662956e-05,1,0
0.162,9.1440876187616e-05,1,0
0.164,8.468882005045204e-05,1,0
0.166,7.812094153672203e-05,1,0
0.168,7.19313013759562e-05,1,0
0.17,6.628854722616632e-05,1,0
0.172,6.133073417515245e-05,1,0
0.174,5.716152806442571e-05,1,0
0.176,5.384792073687537e-05,1,0
0.178,5.141944028211178e-05,1,0
0.18,4.986875053716155e-05,1,0
0.182,4.915356222295515e-05,1,0
0.184,4.919987206082502e-05,1,0
0.186,4.990659163496448e-05,1,0
0.188,5.115156513899522e-05,1,0
0.19,5.27988312939612e-05,1,0
0.192,5.4706804979643775e-05,1,0
0.194,5.673686371035108e-05,1,0
0.196,5.8761656079793536e-05,1,0
0.198,6.0672368329343965e-05,1,0
0.2,6.238425202760494e-05,1,0
0.202,6.383992897280547e-05,1,0
0.204,6.501028819722343e-05,1,0
