t_s,sinal_filtrado,janela,classificacao
0.334,-5.310313529468967e-05,1,0
0.336,-4.666091263087811e-05,1,0
0.338,-4.092885291968688e-05,1,0
0.34,-3.5932746464312374e-05,1,0
0.342,-3.168267433768014e-05,1,0
0.344,-2.817449493056689e-05,1,0
0.346,-2.53913868825146e-05,1,0
0.348,-2.330535348322168e-05,1,0
0.35,-2.187860794234901e-05,1,0
0.352,-2.1064765070787244e-05,1,0
0.354,-2.08097945843246e-05,1,0
0.356,-2.1052757721277183e-05,1,0
0.358,-2.172642730140172e-05,1,0
0.36,-2.2757942152227463e-05,1,0
0.362,-2.406964452583222e-05,1,0
0.364,-2.558019689741732e-05,1,0
0.366,-2.720600161411608e-05,1,0
0.368,-2.8862890623721947e-05,1,0
0.37,-3.046803184359557e-05,1,0
0.372,-3.194199710321843e-05,1,0
0.374,-3.321092312691675e-05,1,0
0.376,-3.420866786011609e-05,1,0
0.378,-3.4878843517449195e-05,1,0
0.38,-3.517660922738659e-05,1,0
0.382,-3.507012142042473e-05,1,0
0.384,-3.454155811510304e-05,1,0
0.386,-3.35876530394226e-05,1,0
0.388,-3.221970003893426e-05,1,0
0.39,-3.046301702773384e-05,1,0
0.392,-2.835588664416668e-05,1,0
0.394,-2.594801056368645e-05,1,0
0.396,-2.3298522389801392e-05,1,0
0.398,-2.0473604470106475e-05,1,0
0.4,-1.754375749347897e-05,1,0
0.402,-1.4580787963186168e-05,1,0
0.404,-1.1654609406488748e-05,1,0
0.406,-8.82999186110123e-06,1,0
0.408,-6.163431047924228e-06,1,0
0.41,-3.7003342348804415e-06,1,0
0.412,-1.4727233101505533e-06,1,0
0.414,5.023718593840874e-07,1,0
0.416,2.223711419464325e-06,1,0
0.418,3.705779501453617e-06,1,0
0.42,4.977849463133767e-06,1,0
0.422,6.0822105733256445e-06,1,0
0.424,7.071622059288388e-06,1,0
0.426,8.00611283661611e-06,1,0
0.428,8.949308851966083e-06,1,0
0.43,9.964521445495147e-06,1,0
0.432,1.1110847050580436e-05,1,0
0.434,1.2439505256906596e-05,1,0
0.436,1.3990594405098067e-05,1,0
0.438,1.579039964438142e-05,1,0
0.44,1.7849367531973698e-05,1,0
0.442,2.0160856594399345e-05,1,0
0.444,2.27007601717186e-05,1,0
0.446,2.5428062169970663e-05,1,0
0.448,2.828633137370745e-05,1,0
0.45,3.120609367420022e-05,1,0
0.452,3.410795450323608e-05,1,0
0.454,3.69062926422484e-05,1,0
