t_s,sinal_filtrado,janela,classificacao
0.666,-6.386175228248828e-06,1,0
0.668,-5.84442163653781e-06,1,0
0.67,-5.273923556826055e-06,1,0
0.672,-4.691012574136568e-06,1,0
0.674,-4.111557493864901e-06,1,0
0.676,-3.5503775582771094e-06,1,0
0.678,-3.0207373027377447e-06,1,0
0.68,-2.533948410281304e-06,1,0
0.682,-2.099097237494077e-06,1,0
0.684,-1.7229030185284467e-06,1,0
0.686,-1.4096954951345792e-06,1,0
0.688,-1.1614889164404229e-06,1,0
0.69,-9.78127027290853e-07,1,0
0.692,-8.574802330829074e-07,1,0
0.694,-7.956859243443439e-07,1,0
0.696,-7.874289878358468e-07,1,0
0.698,-8.262576621198558e-07,1,0
0.7,-9.049214565386628e-07,1,0
0.702,-1.0157093876574296e-06,1,0
0.704,-1.1507654883236092e-06,1,0
0.706,-1.3023665161393817e-06,1,0
0.708,-1.4631597641880212e-06,1,0
0.71,-1.6263697469567889e-06,1,0
0.712,-1.7859855172747472e-06,1,0
0.714,-1.936933858165152e-06,1,0
0.716,-2.075231262391096e-06,1,0
0.718,-2.198096448798039e-06,1,0
0.72,-2.3040010988578985e-06,1,0
0.7219999999999999,-2.39264132853307e-06,1,0
0.7239999999999999,-2.464824217167525e-06,1,0
0.7259999999999999,-2.522278848011676e-06,1,0
0.728,-2.5674152569904217e-06,1,0
0.73,-2.6030623079270075e-06,1,0
0.732,-2.632213173438701e-06,1,0
0.734,-2.65779592720261e-06,1,0
0.736,-2.6824730695810805e-06,1,0
0.738,-2.708465161137302e-06,1,0
0.74,-2.737393926446603e-06,1,0
0.742,-2.7701473709678466e-06,1,0
0.744,-2.80677787469094e-06,1,0
0.746,-2.8464475586591046e-06,1,0
0.748,-2.887430156608433e-06,1,0
0.75,-2.9271676806845807e-06,1,0
0.752,-2.962370706496865e-06,1,0
0.754,-2.989149644327075e-06,1,0
0.756,-3.0031713254945986e-06,1,0
0.758,-2.999844999490996e-06,1,0
0.76,-2.9745469742809888e-06,1,0
0.762,-2.922888810783389e-06,1,0
0.764,-2.8410205336308484e-06,1,0
0.766,-2.72594330985184e-06,1,0
0.768,-2.5757935517456003e-06,1,0
0.77,-2.390058479198077e-06,1,0
0.772,-2.16969265488672e-06,1,0
0.774,-1.9171218168359234e-06,1,0
0.776,-1.6361380087809264e-06,1,0
0.778,-1.3317023842802977e-06,1,0
0.78,-1.0096764402834074e-06,1,0
0.782,-6.765016853811688e-07,1,0
0.784,-3.388476166604332e-07,1,0
0.786,-3.251291758947627e-09,1,0
0.788,3.2422325594756017e-07,1,0
0.79,6.382751166581665e-07,1,0
0.792,9.3457882691316e-07,1,0
0.794,1.2099016897562428e-06,1,0
0.796,1.4621236463306911e-06,1,0
0.798,1.6901718853637948e-06,1,0
0.8,1.8938914917721865e-06,1,0
0.802,2.0738745962399127e-06,1,0
0.804,2.2312656978450696e-06,1,0
0.806,2.367555059454245e-06,1,0
0.808,2.4843700653837047e-06,1,0
0.81,2.583277307457744e-06,1,0
0.812,2.6656121956716343e-06,1,0
0.8139999999999998,2.732352703807036e-06,1,0
0.8159999999999998,2.784047663826451e-06,1,0
0.8179999999999998,2.8208011347538376e-06,1,0
0.8199999999999998,2.842307748779508e-06,1,0
0.8219999999999998,2.847931549846107e-06,1,0
0.8239999999999998,2.836820173821413e-06,1,0
0.8259999999999998,2.8080435515038658e-06,1,0
0.8279999999999998,2.760741788079459e-06,1,0
0.8299999999999998,2.6942651413812943e-06,1,0
0.8319999999999999,2.6082938178097703e-06,1,0
0.8339999999999999,2.502934641914848e-06,1,0
0.8359999999999999,2.37879980864916e-06,1,0
0.8379999999999999,2.2370758808142264e-06,1,0
0.8399999999999999,2.079588759770719e-06,1,0
0.8419999999999999,1.908864578791093e-06,1,0
0.8439999999999999,1.7281801352710428e-06,1,0
0.8459999999999999,1.5415924788448396e-06,1,0
0.8479999999999999,1.3539373167644482e-06,1,0
0.8499999999999999,1.1707893252734644e-06,1,0
0.8519999999999999,9.983816384384862e-07,1,0
0.854,8.434838306321368e-07,1,0
0.856,7.13236583864141e-07,1,0
0.858,6.149390946730683e-07,1,0
0.86,5.557861740526811e-07,1,0
0.862,5.425584414863814e-07,1,0
0.864,5.812796613101192e-07,1,0
0.866,6.768655930278599e-07,1,0
0.868,8.327939070009026e-07,1,0
0.87,1.0508225744797992e-06,1,0
0.872,1.330776302870754e-06,1,0
0.874,1.670411615601946e-06,1,0
0.876,2.0653659712262006e-06,1,0
0.878,2.5091962350951087e-06,1,0
0.88,2.99351274633636e-06,1,0
0.882,3.508211286610221e-06,1,0
0.884,4.041795315805711e-06,1,0
0.886,4.5817702379234415e-06,1,0
0.888,5.115086458781629e-06,1,0
0.89,5.628609083309472e-06,1,0
0.892,6.109594000366387e-06,1,0
0.894,6.546148315632779e-06,1,0
0.896,6.927649073632074e-06,1,0
0.898,7.245093599835637e-06,1,0
0.9,7.491361290621107e-06,1,0
0.902,7.661378243776083e-06,1,0
0.904,7.752186991685134e-06,1,0
0.906,7.762929655065633e-06,1,0
0.908,7.694755045235752e-06,1,0
0.91,7.55066278502057e-06,1,0
0.912,7.335302421017943e-06,1,0
0.914,7.054749823895572e-06,1,0
0.916,6.716282150792096e-06,1,0
0.918,6.328164868263854e-06,1,0
0.92,5.8994529527186994e-06,1,0
0.922,5.439798170912588e-06,1,0
0.924,4.959249214748306e-06,1,0
0.926,4.46803394799917e-06,1,0
0.928,3.9763231237792725e-06,1,0
0.93,3.4939883641281286e-06,1,0
0.932,3.030376705461156e-06,1,0
0.934,2.5941244584818905e-06,1,0
0.936,2.193024932004087e-06,1,0
0.938,1.8339519662199168e-06,1,0
0.94,1.5228286057966785e-06,1,0
0.942,1.2646206676577323e-06,1,0
0.944,1.0633305826490636e-06,1,0
0.946,9.219694821600066e-07,1,0
0.948,8.424955301050914e-07,1,0
0.95,8.257212169046672e-07,1,0
0.952,8.712060556263425e-07,1,0
0.954,9.771589341373536e-07,1,0
0.956,1.14037508744564e-06,1,0
0.958,1.3562280348887295e-06,1,0
0.96,1.6187294090405624e-06,1,0
0.962,1.920661500752529e-06,1,0
0.964,2.2537799125175057e-06,1,0
0.966,2.609077530298213e-06,1,0
0.968,2.977096190628168e-06,1,0
0.97,3.34826888760528e-06,1,0
0.972,3.7132730821121646e-06,1,0
0.974,4.063374607574095e-06,1,0
0.976,4.390741792056457e-06,1,0
0.978,4.688710729810857e-06,1,0
0.98,4.9519851454716745e-06,1,0
0.982,5.176758029761229e-06,1,0
0.984,5.360747270299912e-06,1,0
0.986,5.503144070099674e-06,1,0
0.988,5.604481282698152e-06,1,0
0.9900000000000002,5.666438332989521e-06,1,0
0.9920000000000002,5.691607553234383e-06,1,0
0.994,5.683249608222095e-06,1,0
0.996,5.645061234486761e-06,1,0
0.998,5.580968900243512e-06,1,0
1.0,5.494951523777923e-06,1,0
1.002,5.390887633287405e-06,1,0
1.004,5.272419258603294e-06,1,0
1.006,5.142826689361572e-06,1,0
1.008,5.004913319218554e-06,1,0
1.01,4.860905258134818e-06,1,0
1.012,4.712374010740776e-06,1,0
1.014,4.560191476639132e-06,1,0
1.016,4.4045247784747965e-06,1,0
1.018,4.244874538835654e-06,1,0
1.02,4.080156303244488e-06,1,0
1.022,3.908823552003728e-06,1,0
1.024,3.7290318873972406e-06,1,0
1.026,3.538843303098289e-06,1,0
1.028,3.336463479597835e-06,1,0
1.03,3.120495350288276e-06,1,0
1.032,2.890183588006306e-06,1,0
1.034,2.6456211863676234e-06,1,0
1.036,2.3878925899765974e-06,1,0
1.038,2.11913736825868e-06,1,0
1.04,1.8425312037475088e-06,1,0
1.042,1.5621915612792532e-06,1,0
1.044,1.2830194104407372e-06,1,0
1.046,1.0104869233966397e-06,1,0
1.048,7.503801984396749e-07,1,0
1.05,5.085100690311379e-07,1,0
1.052,2.904108600427129e-07,1,0
1.054,1.0105114479350041e-07,1,0
1.056,-5.542054304907624e-08,1,0
1.058,-1.7587695479407777e-07,1,0
1.06,-2.583480880223332e-07,1,0
1.062,-3.020848437474036e-07,1,0
1.064,-3.07547606135591e-07,1,0
1.066,-2.763204092391636e-07,1,0
1.068,-2.109543002182924e-07,1,0
1.07,-1.147463760272975e-07,1,0
1.072,8.535797255703766e-09,1,0
1.074,1.5497078636392054e-07,1,0
1.076,3.2082281747631965e-07,1,0
1.078,5.028814457432914e-07,1,0
1.08,6.987745197618589e-07,1,0
1.082,9.072253895854378e-07,1,0
1.084,1.128226490492392e-06,1,0
1.086,1.3631068954161668e-06,1,0
1.088,1.6144803821502087e-06,1,0
1.09,1.886070837740692e-06,1,0
1.092,2.182421366886981e-06,1,0
1.094,2.508501504858678e-06,1,0
1.096,2.8692341391603127e-06,1,0
1.098,3.268971457723245e-06,1,0
1.1,3.7109575050602393e-06,1,0
1.102,4.196821023660318e-06,1,0
1.104,4.726142445402324e-06,1,0
1.106,5.296132026039816e-06,1,0
1.108,5.901444668086597e-06,1,0
1.11,6.534144875874612e-06,1,0
1.112,7.183825545592789e-06,1,0
1.114,7.837877779873936e-06,1,0
1.116,8.481903945047598e-06,1,0
1.118,9.100259682893047e-06,1,0
1.12,9.67670048979936e-06,1,0
1.122,1.0195095515530508e-05,1,0
1.124,1.0640159246767008e-05,1,0
1.126,1.0998146131133277e-05,1,0
1.128,1.1257457331838734e-05,1,0
1.13,1.1409121330185187e-05,1,0
1.132,1.1447126556032544e-05,1,0
1.134,1.1368600744476192e-05,1,0
1.136,1.1173846206581016e-05,1,0
1.138,1.0866250891411917e-05,1,0
1.14,1.0452099511424145e-05,1,0
1.142,9.940305516739669e-06,1,0
1.144,9.342075838039063e-06,1,0
1.146,8.670513091198062e-06,1,0
1.148,7.940160863268483e-06,1,0
1.15,7.166506763083407e-06,1,0
1.152,6.365468801038257e-06,1,0
1.154,5.552896798888416e-06,1,0
1.156,4.744119537696153e-06,1,0
1.158,3.953561283180636e-06,1,0
1.16,3.194440301961351e-06,1,0
1.162,2.4785496307896887e-06,1,0
1.164,1.8161103529833944e-06,1,0
1.166,1.2156837944656989e-06,1,0
1.168,6.841324305466932e-07,1,0
1.17,2.266262449622634e-07,1,0
1.172,-1.533040875486855e-07,1,0
1.174,-4.536668557775049e-07,1,0
1.176,-6.738672201368604e-07,1,0
1.178,-8.145360735878264e-07,1,0
1.18,-8.773478981471284e-07,1,0
1.182,-8.648460978762506e-07,1,0
1.184,-7.802887891540257e-07,1,0
1.186,-6.275191260744842e-07,1,0
1.188,-4.108568362773489e-07,1,0
1.19,-1.350050981180909e-07,1,0
1.192,1.9503126406037426e-07,1,0
1.194,5.740167809413265e-07,1,0
1.196,9.965433002750738e-07,1,0
1.198,1.4570721431603252e-06,1,0
1.2,1.949960164365264e-06,1,0
