t_s,sinal_filtrado
0.000000000000000000e+00,2.651666599767864190e-06
2.000000000000000042e-03,1.694577814131473737e-06
4.000000000000000083e-03,7.236394214946486105e-07
6.000000000000000125e-03,-2.411469608163288458e-07
8.000000000000000167e-03,-1.180883939413922838e-06
1.000000000000000021e-02,-2.078344453045147989e-06
1.200000000000000025e-02,-2.918427361327913900e-06
1.400000000000000029e-02,-3.688495231454572182e-06
1.600000000000000033e-02,-4.378598397972442000e-06
1.799999999999999864e-02,-4.981595127333756059e-06
2.000000000000000042e-02,-5.493177186730446718e-06
2.199999999999999872e-02,-5.911805906786856253e-06
2.400000000000000050e-02,-6.238560861832800338e-06
2.599999999999999881e-02,-6.476905331861377183e-06
2.800000000000000058e-02,-6.632379630821726385e-06
2.999999999999999889e-02,-6.712241834027669819e-06
3.200000000000000067e-02,-6.725081505755239489e-06
3.400000000000000244e-02,-6.680432962257950705e-06
3.599999999999999728e-02,-6.588409357821587498e-06
3.799999999999999906e-02,-6.459369016374623813e-06
4.000000000000000083e-02,-6.303615360134648498e-06
4.200000000000000261e-02,-6.131126324563355508e-06
4.399999999999999745e-02,-5.951310087054914784e-06
4.599999999999999922e-02,-5.772789141417218274e-06
4.800000000000000100e-02,-5.603220078237333736e-06
5.000000000000000278e-02,-5.449158243505857921e-06
5.199999999999999761e-02,-5.315973369425548367e-06
5.399999999999999939e-02,-5.207815874825210114e-06
5.600000000000000117e-02,-5.127627446328872053e-06
5.800000000000000294e-02,-5.077186978851763891e-06
5.999999999999999778e-02,-5.057184596767974354e-06
6.199999999999999956e-02,-5.067320285197569969e-06
6.400000000000000133e-02,-5.106426771122750062e-06
6.600000000000000311e-02,-5.172616469246222904e-06
6.800000000000000488e-02,-5.263448579361334527e-06
7.000000000000000666e-02,-5.376105764283337837e-06
7.199999999999999456e-02,-5.507563560007706685e-06
7.399999999999999634e-02,-5.654734101104950108e-06
7.599999999999999811e-02,-5.814571239195965891e-06
7.799999999999999989e-02,-5.984134933047075972e-06
8.000000000000000167e-02,-6.160623943430186932e-06
8.200000000000000344e-02,-6.341392161901870508e-06
8.400000000000000522e-02,-6.523962450462118810e-06
8.599999999999999312e-02,-6.706043680291186094e-06
8.799999999999999489e-02,-6.885546771836390737e-06
8.999999999999999667e-02,-7.060590195059587824e-06
9.199999999999999845e-02,-7.229487385672363176e-06
9.400000000000000022e-02,-7.390715490806674679e-06
9.600000000000000200e-02,-7.542872161347880185e-06
9.800000000000000377e-02,-7.684631384943673056e-06
1.000000000000000056e-01,-7.814709101866253597e-06
1.019999999999999934e-01,-7.931844463702292860e-06
1.039999999999999952e-01,-8.034794893261947195e-06
1.059999999999999970e-01,-8.122336438771195097e-06
1.079999999999999988e-01,-8.193259217847561230e-06
1.100000000000000006e-01,-8.246352230528576594e-06
1.120000000000000023e-01,-8.280380093089096909e-06
1.140000000000000041e-01,-8.294061952322345134e-06
1.160000000000000059e-01,-8.286066070665829849e-06
