t_s,sinal_filtrado
0.000000000000000000e+00,-6.193307229646170949e-05
2.000000000000000042e-03,-6.354476144319491432e-05
4.000000000000000083e-03,-6.503165138130662169e-05
6.000000000000000125e-03,-6.632042006291851961e-05
8.000000000000000167e-03,-6.733040851686862885e-05
1.000000000000000021e-02,-6.797534448423658599e-05
1.200000000000000025e-02,-6.816557533018378510e-05
1.400000000000000029e-02,-6.781077769335698113e-05
1.600000000000000033e-02,-6.682308740513821517e-05
1.799999999999999864e-02,-6.512057330320841395e-05
2.000000000000000042e-02,-6.263095938163797723e-05
2.199999999999999872e-02,-5.929547805308104915e-05
2.400000000000000050e-02,-5.507271216379878910e-05
2.599999999999999881e-02,-4.994225701818411713e-05
2.800000000000000058e-02,-4.390801094187959816e-05
2.999999999999999889e-02,-3.700088949802367701e-05
3.200000000000000067e-02,-2.928075857501763804e-05
3.400000000000000244e-02,-2.083739665825635464e-05
3.599999999999999728e-02,-1.179032545076384775e-05
3.799999999999999906e-02,-2.287387757078806529e-06
4.000000000000000083e-02,7.498000652193174621e-06
4.200000000000000261e-02,1.737094342389051079e-05
4.399999999999999745e-02,2.712045335426200316e-05
4.599999999999999922e-02,3.652601169371483963e-05
4.800000000000000100e-02,4.536506762787864927e-05
5.000000000000000278e-02,5.342112952767039786e-05
5.199999999999999761e-02,6.049199197187620321e-05
5.399999999999999939e-02,6.639760600438269665e-05
5.600000000000000117e-02,7.098717114106025674e-05
5.800000000000000294e-02,7.414514735221162522e-05
5.999999999999999778e-02,7.579593858163626886e-05
6.199999999999999956e-02,7.590695631696268650e-05
6.400000000000000133e-02,7.448974787110976519e-05
6.600000000000000311e-02,7.159901648554515088e-05
6.800000000000000488e-02,6.732967319448926750e-05
7.000000000000000666e-02,6.181237435124684347e-05
7.199999999999999456e-02,5.520814079286321866e-05
7.399999999999999634e-02,4.770260366551123997e-05
7.599999999999999811e-02,3.950026773776785358e-05
7.799999999999999989e-02,3.081900270793505641e-05
8.000000000000000167e-02,2.188479715113172763e-05
8.200000000000000344e-02,1.292666927154661944e-05
8.400000000000000522e-02,4.171583421238036486e-06
8.599999999999999312e-02,-4.160689865833605578e-06
8.799999999999999489e-02,-1.186266552233631954e-05
8.999999999999999667e-02,-1.874395421387397225e-05
9.199999999999999845e-02,-2.463553071453137690e-05
9.400000000000000022e-02,-2.939324654707811045e-05
9.600000000000000200e-02,-3.290044626770201195e-05
9.800000000000000377e-02,-3.506962405095069818e-05
1.000000000000000056e-01,-3.584313134855222877e-05
1.019999999999999934e-01,-3.519301178756297757e-05
1.039999999999999952e-01,-3.312009263879421334e-05
1.059999999999999970e-01,-2.965250420601894015e-05
1.079999999999999988e-01,-2.484383480279188505e-05
1.100000000000000006e-01,-1.877116313422273435e-05
1.120000000000000023e-01,-1.153322333278121118e-05
1.140000000000000041e-01,-3.248898812251926935e-06
1.160000000000000059e-01,5.943924554743290773e-06
1.179999999999999938e-01,1.588932960872426600e-05
1.199999999999999956e-01,2.641449179566250776e-05
1.219999999999999973e-01,3.733129990022603030e-05
1.239999999999999991e-01,4.843873745858515091e-05
1.260000000000000009e-01,5.952616490958991598e-05
1.280000000000000027e-01,7.037750088513640759e-05
1.300000000000000044e-01,8.077616773977154964e-05
1.320000000000000062e-01,9.051059607778367535e-05
1.340000000000000080e-01,9.938011225138308887e-05
1.360000000000000098e-01,1.072011067674895763e-04
1.380000000000000115e-01,1.138133860746113430e-04
