t_s,sinal_filtrado
0.000000000000000000e+00,-3.482395272577753744e-05
2.000000000000000042e-03,-3.463941771561815608e-05
4.000000000000000083e-03,-3.445474075522721017e-05
6.000000000000000125e-03,-3.427038001101638347e-05
8.000000000000000167e-03,-3.408670671643477472e-05
1.000000000000000021e-02,-3.390400505617961573e-05
1.200000000000000025e-02,-3.372247329191091877e-05
1.400000000000000029e-02,-3.354222572485279552e-05
1.600000000000000033e-02,-3.336329513500677817e-05
1.799999999999999864e-02,-3.318563540071004235e-05
2.000000000000000042e-02,-3.300912407989040043e-05
2.199999999999999872e-02,-3.283356481933720440e-05
2.400000000000000050e-02,-3.265868954429064893e-05
2.599999999999999881e-02,-3.248416046147643848e-05
2.800000000000000058e-02,-3.230957197910437129e-05
2.999999999999999889e-02,-3.213445270439433104e-05
3.200000000000000067e-02,-3.195826772327540111e-05
3.400000000000000244e-02,-3.178042140038174289e-05
3.599999999999999728e-02,-3.160026096190412701e-05
3.799999999999999906e-02,-3.141708113868197614e-05
4.000000000000000083e-02,-3.123013015036694198e-05
4.200000000000000261e-02,-3.103861730201728613e-05
4.399999999999999745e-02,-3.084172244149447012e-05
4.599999999999999922e-02,-3.063860749005813599e-05
4.800000000000000100e-02,-3.042843021132177122e-05
5.000000000000000278e-02,-3.021036032795650203e-05
5.199999999999999761e-02,-2.998359803332833402e-05
5.399999999999999939e-02,-2.974739487462077248e-05
5.600000000000000117e-02,-2.950107689662701652e-05
5.800000000000000294e-02,-2.924406982048739746e-05
5.999999999999999778e-02,-2.897592588346442036e-05
6.199999999999999956e-02,-2.869635178745771621e-05
6.400000000000000133e-02,-2.840523700492844248e-05
6.600000000000000311e-02,-2.810268148357987383e-05
6.800000000000000488e-02,-2.778902158882490272e-05
7.000000000000000666e-02,-2.746485293964843157e-05
7.199999999999999456e-02,-2.713104864414031927e-05
7.399999999999999634e-02,-2.678877134410548555e-05
7.599999999999999811e-02,-2.643947745627834968e-05
7.799999999999999989e-02,-2.608491207466761218e-05
8.000000000000000167e-02,-2.572709319487549856e-05
8.200000000000000344e-02,-2.536828425334676027e-05
8.400000000000000522e-02,-2.501095446062674794e-05
8.599999999999999312e-02,-2.465772707149113584e-05
8.799999999999999489e-02,-2.431131656904676546e-05
8.999999999999999667e-02,-2.397445656412115298e-05
9.199999999999999845e-02,-2.364982055573573816e-05
9.400000000000000022e-02,-2.333993713626296050e-05
9.600000000000000200e-02,-2.304710004292625922e-05
9.800000000000000377e-02,-2.277327265066750244e-05
1.000000000000000056e-01,-2.251998682211521618e-05
1.019999999999999934e-01,-2.228823735788387740e-05
1.039999999999999952e-01,-2.207837504279398170e-05
1.059999999999999970e-01,-2.189000303343910606e-05
1.079999999999999988e-01,-2.172188289043268297e-05
1.100000000000000006e-01,-2.157185769350818317e-05
1.120000000000000023e-01,-2.143679991928244707e-05
1.140000000000000041e-01,-2.131259069610701330e-05
1.160000000000000059e-01,-2.119413495795278304e-05
1.179999999999999938e-01,-2.107541488454605424e-05
1.199999999999999956e-01,-2.094958263591361814e-05
1.219999999999999973e-01,-2.080909275042170607e-05
1.239999999999999991e-01,-2.064587418733480464e-05
1.260000000000000009e-01,-2.045154146984853999e-05
1.280000000000000027e-01,-2.021764357788831837e-05
1.300000000000000044e-01,-1.993594813465195820e-05
1.320000000000000062e-01,-1.959875705271077069e-05
1.340000000000000080e-01,-1.919924819946472119e-05
1.360000000000000098e-01,-1.873183586703566235e-05
1.380000000000000115e-01,-1.819254096035335019e-05
1.400000000000000133e-01,-1.757935993331719268e-05
1.419999999999999873e-01,-1.689261970111838646e-05
1.439999999999999891e-01,-1.613530414020648937e-05
1.459999999999999909e-01,-1.531333646499562933e-05
1.479999999999999927e-01,-1.443580085393201867e-05
1.499999999999999944e-01,-1.351508629762337659e-05
1.519999999999999962e-01,-1.256693586366930011e-05
1.539999999999999980e-01,-1.161038551190949348e-05
1.559999999999999998e-01,-1.066757833033013289e-05
1.580000000000000016e-01,-9.763442656444534036e-06
1.600000000000000033e-01,-8.925226038318694787e-06
1.620000000000000051e-01,-8.181881381903637274e-06
1.640000000000000069e-01,-7.563306900905668073e-06
1.660000000000000087e-01,-7.099447564886125542e-06
1.680000000000000104e-01,-6.819272517573982792e-06
1.700000000000000122e-01,-6.749650249701652648e-06
1.719999999999999862e-01,-6.914150950296469117e-06
1.739999999999999880e-01,-7.331813171229028677e-06
1.759999999999999898e-01,-8.015919420418565058e-06
1.779999999999999916e-01,-8.972832179630230452e-06
1.799999999999999933e-01,-1.020094757104646305e-05
1.819999999999999951e-01,-1.168982763407304680e-05
1.839999999999999969e-01,-1.341957308183388646e-05
1.859999999999999987e-01,-1.536049626063612611e-05
1.880000000000000004e-01,-1.747314924519891241e-05
1.900000000000000022e-01,-1.970875469565434371e-05
1.920000000000000040e-01,-2.201007646234780013e-05
1.940000000000000058e-01,-2.431275179911149381e-05
1.960000000000000075e-01,-2.654708697985075290e-05
1.980000000000000093e-01,-2.864029335868918484e-05
2.000000000000000111e-01,-3.051911174308960474e-05
2.020000000000000129e-01,-3.211273963103254757e-05
2.039999999999999869e-01,-3.335593902379584255e-05
2.059999999999999887e-01,-3.419216281628221273e-05
2.079999999999999905e-01,-3.457649604721261269e-05
2.099999999999999922e-01,-3.447816996241589716e-05
2.119999999999999940e-01,-3.388239007333320422e-05
2.139999999999999958e-01,-3.279125383641140181e-05
2.159999999999999976e-01,-3.122363588742684340e-05
2.179999999999999993e-01,-2.921406472164766657e-05
2.200000000000000011e-01,-2.681074827459111232e-05
2.220000000000000029e-01,-2.407298232382068778e-05
2.240000000000000047e-01,-2.106819002310637639e-05
2.260000000000000064e-01,-1.786881657819267344e-05
2.280000000000000082e-01,-1.454926503408925502e-05
2.300000000000000100e-01,-1.118302073063795635e-05
2.320000000000000118e-01,-7.840077194338282700e-06
2.340000000000000135e-01,-4.584745054722811834e-06
2.359999999999999876e-01,-1.473896766435156722e-06
2.379999999999999893e-01,1.444327299989563935e-06
2.399999999999999911e-01,4.131350835139123902e-06
2.419999999999999929e-01,6.558552470505737050e-06
2.439999999999999947e-01,8.707253298972088301e-06
2.459999999999999964e-01,1.056835108699790150e-05
2.479999999999999982e-01,1.214165926193122089e-05
2.500000000000000000e-01,1.343501292311856649e-05
2.520000000000000018e-01,1.446320486806117711e-05
2.540000000000000036e-01,1.524681240516142783e-05
2.560000000000000053e-01,1.581097100475281595e-05
2.580000000000000071e-01,1.618414410278559836e-05
2.600000000000000089e-01,1.639693026520380425e-05
2.620000000000000107e-01,1.648094046147596662e-05
2.640000000000000124e-01,1.646777057762337433e-05
2.660000000000000142e-01,1.638808818059490910e-05
2.680000000000000160e-01,1.627084762674415561e-05
2.700000000000000178e-01,1.614264311905362276e-05
2.720000000000000195e-01,1.602720474964005094e-05
2.740000000000000213e-01,1.594503783970144869e-05
2.760000000000000231e-01,1.591320119424133265e-05
2.780000000000000249e-01,1.594521554891830431e-05
2.800000000000000266e-01,1.605108986155178935e-05
2.819999999999999729e-01,1.623745043596995337e-05
2.839999999999999747e-01,1.650775620713476952e-05
2.859999999999999765e-01,1.686258275492381737e-05
2.879999999999999782e-01,1.729995758715002473e-05
2.899999999999999800e-01,1.781572980145181961e-05
2.919999999999999818e-01,1.840395830251471401e-05
2.939999999999999836e-01,1.905730423241979858e-05
2.959999999999999853e-01,1.976741507476648444e-05
2.979999999999999871e-01,2.052528991346931042e-05
2.999999999999999889e-01,2.132161745958387764e-05
3.019999999999999907e-01,2.214708060601444726e-05
3.039999999999999925e-01,2.299262334205733573e-05
3.059999999999999942e-01,2.384967777670294117e-05
3.079999999999999960e-01,2.471035070662437795e-05
3.099999999999999978e-01,2.556757055736621261e-05
3.119999999999999996e-01,2.641519657876107522e-05
3.140000000000000013e-01,2.724809286486434842e-05
3.160000000000000031e-01,2.806217009044720305e-05
3.180000000000000049e-01,2.885439781908422563e-05
3.200000000000000067e-01,2.962278985730347952e-05
3.220000000000000084e-01,3.036636444695462340e-05
3.240000000000000102e-01,3.108508030189540056e-05
3.260000000000000120e-01,3.177974911574953646e-05
3.280000000000000138e-01,3.245192579649476897e-05
3.300000000000000155e-01,3.310377938909272495e-05
3.320000000000000173e-01,3.373794974692348019e-05
3.340000000000000191e-01,3.435739665738583447e-05
3.360000000000000209e-01,3.496524888730240455e-05
3.380000000000000226e-01,3.556466047061731861e-05
3.400000000000000244e-01,3.615868067859596171e-05
