t_s,sinal_filtrado
0.000000000000000000e+00,-2.002504265423251103e-05
2.000000000000000042e-03,-2.075517406818677869e-05
4.000000000000000083e-03,-2.129002026081502325e-05
6.000000000000000125e-03,-2.159369330754624562e-05
8.000000000000000167e-03,-2.163204423941174760e-05
1.000000000000000021e-02,-2.137390268258678358e-05
1.200000000000000025e-02,-2.079235209462792187e-05
1.400000000000000029e-02,-1.986597937235723717e-05
1.600000000000000033e-02,-1.858003527264795652e-05
1.799999999999999864e-02,-1.692744890387192213e-05
2.000000000000000042e-02,-1.490965074336351805e-05
2.199999999999999872e-02,-1.253716861574687573e-05
2.400000000000000050e-02,-9.829965526381027183e-06
2.599999999999999881e-02,-6.817486193357110517e-06
2.800000000000000058e-02,-3.538374628654865470e-06
2.999999999999999889e-02,-3.982601808237568907e-08
3.200000000000000067e-02,3.623450989098867060e-06
3.400000000000000244e-02,7.390659934694223921e-06
3.599999999999999728e-02,1.119669576336179643e-05
3.799999999999999906e-02,1.497421157805250672e-05
4.000000000000000083e-02,1.865588280918058930e-05
4.200000000000000261e-02,2.217676223852414952e-05
4.399999999999999745e-02,2.547660461745814855e-05
4.599999999999999922e-02,2.850202274924800729e-05
4.800000000000000100e-02,3.120832574332017904e-05
5.000000000000000278e-02,3.356090090448008968e-05
5.199999999999999761e-02,3.553604379352296648e-05
5.399999999999999939e-02,3.712121361757589788e-05
5.600000000000000117e-02,3.831477649533349242e-05
5.800000000000000294e-02,3.912536803323437000e-05
5.999999999999999778e-02,3.957103282931528665e-05
6.199999999999999956e-02,3.967827869376447240e-05
6.400000000000000133e-02,3.948113490698269699e-05
6.600000000000000311e-02,3.902024690610680246e-05
6.800000000000000488e-02,3.834198754499771965e-05
7.000000000000000666e-02,3.749752541895690181e-05
7.199999999999999456e-02,3.654177092347199321e-05
7.399999999999999634e-02,3.553212660974949724e-05
7.599999999999999811e-02,3.452700021629216356e-05
7.799999999999999989e-02,3.358409087864283637e-05
8.000000000000000167e-02,3.275851973571385138e-05
8.200000000000000344e-02,3.210092554555754780e-05
8.400000000000000522e-02,3.165566559447837152e-05
8.599999999999999312e-02,3.145925122461648641e-05
8.799999999999999489e-02,3.153912029132126027e-05
8.999999999999999667e-02,3.191281866879537495e-05
9.199999999999999845e-02,3.258763299677923153e-05
9.400000000000000022e-02,3.356068787872187604e-05
9.600000000000000200e-02,3.481949555116830349e-05
9.800000000000000377e-02,3.634292540187270389e-05
1.000000000000000056e-01,3.810254030060684227e-05
1.019999999999999934e-01,4.006422286320966572e-05
1.039999999999999952e-01,4.218999053144138691e-05
1.059999999999999970e-01,4.443988215661611271e-05
1.079999999999999988e-01,4.677379894743190870e-05
1.100000000000000006e-01,4.915319900212916253e-05
1.120000000000000023e-01,5.154256226345888447e-05
1.140000000000000041e-01,5.391054455473117958e-05
1.160000000000000059e-01,5.623073185152663490e-05
1.179999999999999938e-01,5.848191935680932074e-05
1.199999999999999956e-01,6.064789295880464073e-05
1.219999999999999973e-01,6.271676400748451576e-05
1.239999999999999991e-01,6.467996424848443913e-05
1.260000000000000009e-01,6.653102988012128964e-05
1.280000000000000027e-01,6.826430447261801193e-05
1.300000000000000044e-01,6.987368373782608204e-05
1.320000000000000062e-01,7.135151221174577084e-05
1.340000000000000080e-01,7.268772149398587039e-05
1.360000000000000098e-01,7.386927207387377291e-05
1.380000000000000115e-01,7.487992841593408308e-05
1.400000000000000133e-01,7.570036973435230303e-05
1.419999999999999873e-01,7.630862667789208996e-05
1.439999999999999891e-01,7.668083360116154578e-05
1.459999999999999909e-01,7.679228473905143500e-05
1.479999999999999927e-01,7.661877058981049851e-05
1.499999999999999944e-01,7.613814420275051141e-05
1.519999999999999962e-01,7.533203030233856306e-05
1.539999999999999980e-01,7.418755701606008013e-05
1.559999999999999998e-01,7.269897238359447568e-05
1.580000000000000016e-01,7.086900637898216977e-05
1.600000000000000033e-01,6.870985041123610945e-05
1.620000000000000051e-01,6.624365136953355617e-05
1.640000000000000069e-01,6.350245580576767131e-05
1.660000000000000087e-01,6.052758283921412546e-05
1.680000000000000104e-01,5.736844294991438154e-05
1.700000000000000122e-01,5.408085677640251423e-05
1.719999999999999862e-01,5.072497283012947282e-05
1.739999999999999880e-01,4.736293387669319207e-05
1.759999999999999898e-01,4.405647805572468544e-05
1.779999999999999916e-01,4.086466110693717292e-05
1.799999999999999933e-01,3.784185013276915262e-05
1.819999999999999951e-01,3.503608606395940692e-05
1.839999999999999969e-01,3.248786122984784284e-05
1.859999999999999987e-01,3.022932089484532466e-05
1.880000000000000004e-01,2.828387492690778918e-05
1.900000000000000022e-01,2.666619249966794791e-05
1.920000000000000040e-01,2.538254034265471294e-05
1.940000000000000058e-01,2.443140788528057130e-05
1.960000000000000075e-01,2.380434185213724970e-05
1.980000000000000093e-01,2.348689498068451143e-05
2.000000000000000111e-01,2.345958528383996182e-05
2.020000000000000129e-01,2.369876660115689536e-05
2.039999999999999869e-01,2.417732853597855558e-05
2.059999999999999887e-01,2.486517605194660423e-05
2.079999999999999905e-01,2.572948504431456882e-05
2.099999999999999922e-01,2.673477726749034572e-05
2.119999999999999940e-01,2.784288677562125192e-05
2.139999999999999958e-01,2.901289317070392427e-05
2.159999999999999976e-01,3.020108412220012274e-05
2.179999999999999993e-01,3.136099457979671921e-05
2.200000000000000011e-01,3.244355955449646140e-05
2.220000000000000029e-01,3.339740959833682103e-05
2.240000000000000047e-01,3.416932679020806427e-05
2.260000000000000064e-01,3.470485955733210225e-05
2.280000000000000082e-01,3.494907134161315254e-05
2.300000000000000100e-01,3.484738484372229935e-05
2.320000000000000118e-01,3.434649158693215077e-05
2.340000000000000135e-01,3.339531961709326399e-05
2.359999999999999876e-01,3.194607085777623906e-05
2.379999999999999893e-01,2.995533998885097668e-05
2.399999999999999911e-01,2.738530696133034320e-05
2.419999999999999929e-01,2.420496006330468452e-05
2.439999999999999947e-01,2.039126699081081278e-05
2.459999999999999964e-01,1.593018823126747833e-05
2.479999999999999982e-01,1.081743846305114157e-05
2.500000000000000000e-01,5.058942789338333826e-06
2.520000000000000018e-01,-1.329021970693035341e-06
2.540000000000000036e-01,-8.319985462331194918e-06
2.560000000000000053e-01,-1.587771080421485526e-05
2.580000000000000071e-01,-2.395683612749963359e-05
2.600000000000000089e-01,-3.250364704538195876e-05
2.620000000000000107e-01,-4.145688378918722375e-05
2.640000000000000124e-01,-5.074850234551981216e-05
2.660000000000000142e-01,-6.030434220799993757e-05
2.680000000000000160e-01,-7.004468838854311773e-05
2.700000000000000178e-01,-7.988474546431615416e-05
2.720000000000000195e-01,-8.973506416100960183e-05
