t_s,sinal_filtrado
0.000000000000000000e+00,-4.596282497851575452e-06
2.000000000000000042e-03,-6.690834570829043873e-06
4.000000000000000083e-03,-8.713464601884611042e-06
6.000000000000000125e-03,-1.063815834083453765e-05
8.000000000000000167e-03,-1.244128472103292391e-05
1.000000000000000021e-02,-1.410236463934471448e-05
1.200000000000000025e-02,-1.560469227367314481e-05
1.400000000000000029e-02,-1.693577411564068888e-05
1.600000000000000033e-02,-1.808756958562309728e-05
1.799999999999999864e-02,-1.905653817075105455e-05
2.000000000000000042e-02,-1.984351585126322803e-05
2.199999999999999872e-02,-2.045345352158107750e-05
2.400000000000000050e-02,-2.089504982666756102e-05
2.599999999999999881e-02,-2.118030197734690337e-05
2.800000000000000058e-02,-2.132398694847710907e-05
2.999999999999999889e-02,-2.134307968643041985e-05
3.200000000000000067e-02,-2.125611846412725202e-05
3.400000000000000244e-02,-2.108253816117046199e-05
3.599999999999999728e-02,-2.084200386193584437e-05
3.799999999999999906e-02,-2.055378327230138695e-05
4.000000000000000083e-02,-2.023619316841988281e-05
4.200000000000000261e-02,-1.990614293438017123e-05
4.399999999999999745e-02,-1.957878210876258160e-05
4.599999999999999922e-02,-1.926724534556819606e-05
4.800000000000000100e-02,-1.898248193970810744e-05
5.000000000000000278e-02,-1.873315857654347258e-05
5.199999999999999761e-02,-1.852562968482134056e-05
5.399999999999999939e-02,-1.836397397913832515e-05
5.600000000000000117e-02,-1.825009414596530185e-05
5.800000000000000294e-02,-1.818386982160059568e-05
5.999999999999999778e-02,-1.816334751736504210e-05
6.199999999999999956e-02,-1.818495046197572280e-05
6.400000000000000133e-02,-1.824369742544511814e-05
6.600000000000000311e-02,-1.833342895771543663e-05
6.800000000000000488e-02,-1.844704708505892656e-05
7.000000000000000666e-02,-1.857677638705098266e-05
7.199999999999999456e-02,-1.871444936147950507e-05
7.399999999999999634e-02,-1.885180950493870079e-05
7.599999999999999811e-02,-1.898081633534722516e-05
7.799999999999999989e-02,-1.909393195261276663e-05
8.000000000000000167e-02,-1.918437054028881191e-05
8.200000000000000344e-02,-1.924629947092460576e-05
8.400000000000000522e-02,-1.927499014291356413e-05
8.599999999999999312e-02,-1.926692421975636824e-05
8.799999999999999489e-02,-1.921986324530081016e-05
8.999999999999999667e-02,-1.913288558304800403e-05
9.199999999999999845e-02,-1.900638660568361769e-05
9.400000000000000022e-02,-1.884203143289749395e-05
9.600000000000000200e-02,-1.864264934669991020e-05
9.800000000000000377e-02,-1.841206641122275918e-05
1.000000000000000056e-01,-1.815488487771635748e-05
1.019999999999999934e-01,-1.787622991571372885e-05
1.039999999999999952e-01,-1.758149101598924412e-05
1.059999999999999970e-01,-1.727608343576119782e-05
1.079999999999999988e-01,-1.696524492978624863e-05
1.100000000000000006e-01,-1.665387043225627597e-05
1.120000000000000023e-01,-1.634637948034363194e-05
1.140000000000000041e-01,-1.604661140915657829e-05
1.160000000000000059e-01,-1.575774938344040802e-05
1.179999999999999938e-01,-1.548228051763511667e-05
1.199999999999999956e-01,-1.522200069216773590e-05
1.219999999999999973e-01,-1.497806749073972173e-05
1.239999999999999991e-01,-1.475109499004881274e-05
1.260000000000000009e-01,-1.454127460602181407e-05
1.280000000000000027e-01,-1.434850172732245946e-05
1.300000000000000044e-01,-1.417249062456666686e-05
1.320000000000000062e-01,-1.401286840275610106e-05
1.340000000000000080e-01,-1.386924834759069056e-05
1.360000000000000098e-01,-1.374128930193535147e-05
1.380000000000000115e-01,-1.362874741269643821e-05
1.400000000000000133e-01,-1.353151967294713716e-05
1.419999999999999873e-01,-1.344966965323299429e-05
1.439999999999999891e-01,-1.338342159503045606e-05
1.459999999999999909e-01,-1.333311387215982560e-05
1.479999999999999927e-01,-1.329911505640764122e-05
1.499999999999999944e-01,-1.328171934440560269e-05
1.519999999999999962e-01,-1.328104619571148518e-05
1.539999999999999980e-01,-1.329696772003013968e-05
1.559999999999999998e-01,-1.332907706884270909e-05
1.580000000000000016e-01,-1.337669621023167938e-05
1.600000000000000033e-01,-1.343890828848348364e-05
1.620000000000000051e-01,-1.351459404566249544e-05
1.640000000000000069e-01,-1.360245624958335731e-05
1.660000000000000087e-01,-1.370102843710030851e-05
1.680000000000000104e-01,-1.380867743607601816e-05
1.700000000000000122e-01,-1.392361501258358348e-05
1.719999999999999862e-01,-1.404392907834784270e-05
1.739999999999999880e-01,-1.416763284021076319e-05
1.759999999999999898e-01,-1.429271912308364491e-05
1.779999999999999916e-01,-1.441720326325906787e-05
1.799999999999999933e-01,-1.453914235858870905e-05
1.819999999999999951e-01,-1.465662776169292102e-05
1.839999999999999969e-01,-1.476775676333117321e-05
1.859999999999999987e-01,-1.487059439199625650e-05
1.880000000000000004e-01,-1.496313522629575471e-05
1.900000000000000022e-01,-1.504326997718197939e-05
1.920000000000000040e-01,-1.510875736771502129e-05
1.940000000000000058e-01,-1.515720254749703336e-05
1.960000000000000075e-01,-1.518604881427388831e-05
1.980000000000000093e-01,-1.519259619821243332e-05
2.000000000000000111e-01,-1.517406349916694083e-05
2.020000000000000129e-01,-1.512770544224576753e-05
2.039999999999999869e-01,-1.505098363516470514e-05
2.059999999999999887e-01,-1.494177452987836222e-05
2.079999999999999905e-01,-1.479858722993297568e-05
2.099999999999999922e-01,-1.462076300709959584e-05
2.119999999999999940e-01,-1.440863567485785296e-05
2.139999999999999958e-01,-1.416364246271537553e-05
