t_s,sinal_filtrado,janela
0.0,-3.482395272577754e-05,1
0.002,-3.463941771561816e-05,1
0.004,-3.445474075522721e-05,1
0.006,-3.4270380011016383e-05,1
0.008,-3.4086706716434775e-05,1
0.01,-3.390400505617961e-05,1
0.012,-3.372247329191092e-05,1
0.014,-3.3542225724852796e-05,1
0.016,-3.336329513500678e-05,1
0.018,-3.318563540071004e-05,1
0.02,-3.30091240798904e-05,1
0.022,-3.2833564819337204e-05,1
0.024,-3.265868954429065e-05,1
0.026,-3.248416046147644e-05,1
0.028,-3.230957197910437e-05,1
0.03,-3.213445270439433e-05,1
0.032,-3.19582677232754e-05,1
0.034,-3.178042140038174e-05,1
0.036,-3.160026096190413e-05,1
0.038,-3.1417081138681976e-05,1
0.04,-3.123013015036694e-05,1
0.042,-3.1038617302017286e-05,1
0.044,-3.084172244149447e-05,1
0.046,-3.063860749005813e-05,1
0.048,-3.0428430211321768e-05,1
0.05,-3.0210360327956505e-05,1
0.052,-2.998359803332833e-05,1
0.054,-2.974739487462077e-05,1
0.056,-2.9501076896627017e-05,1
0.058,-2.92440698204874e-05,1
0.06,-2.897592588346442e-05,1
0.062,-2.869635178745772e-05,1
0.064,-2.840523700492844e-05,1
0.066,-2.8102681483579877e-05,1
0.068,-2.7789021588824903e-05,1
0.07,-2.746485293964843e-05,1
0.072,-2.713104864414032e-05,1
0.07399999999999998,-2.6788771344105486e-05,1
0.076,-2.643947745627835e-05,1
0.078,-2.608491207466761e-05,1
0.08,-2.5727093194875495e-05,1
0.082,-2.536828425334676e-05,1
0.084,-2.5010954460626748e-05,1
0.08599999999999998,-2.4657727071491132e-05,1
0.08799999999999998,-2.4311316569046765e-05,1
0.08999999999999998,-2.3974456564121153e-05,1
0.092,-2.3649820555735735e-05,1
0.094,-2.333993713626296e-05,1
0.096,-2.3047100042926256e-05,1
0.098,-2.2773272650667502e-05,1
0.1,-2.2519986822115216e-05,1
0.102,-2.228823735788388e-05,1
0.104,-2.207837504279398e-05,1
0.106,-2.1890003033439103e-05,1
0.108,-2.172188289043268e-05,1
