t_s,sinal_filtrado,janela
0.0,-2.002504265423251e-05,0
0.002,-2.0755174068186775e-05,0
0.004,-2.1290020260815023e-05,0
0.006,-2.1593693307546246e-05,0
0.008,-2.1632044239411748e-05,0
0.01,-2.1373902682586784e-05,0
0.012,-2.079235209462792e-05,0
0.014,-1.986597937235724e-05,0
0.016,-1.858003527264796e-05,0
0.018,-1.6927448903871922e-05,0
0.02,-1.4909650743363518e-05,0
0.022,-1.2537168615746876e-05,0
0.024,-9.829965526381027e-06,0
0.026,-6.817486193357111e-06,0
0.028,-3.538374628654865e-06,0
0.03,-3.982601808237569e-08,0
0.032,3.623450989098867e-06,0
0.034,7.390659934694224e-06,0
0.036,1.1196695763361796e-05,0
0.038,1.4974211578052507e-05,0
0.04,1.865588280918059e-05,0
0.042,2.217676223852415e-05,0
0.044,2.547660461745815e-05,0
0.046,2.8502022749248007e-05,0
0.048,3.120832574332018e-05,0
0.05,3.356090090448009e-05,0
0.052,3.5536043793522966e-05,0
0.054,3.71212136175759e-05,0
0.056,3.8314776495333486e-05,0
0.058,3.912536803323437e-05,0
0.06,3.957103282931529e-05,0
0.062,3.967827869376447e-05,0
0.064,3.94811349069827e-05,0
0.066,3.90202469061068e-05,0
0.068,3.834198754499772e-05,0
0.07,3.7497525418956895e-05,0
0.072,3.654177092347199e-05,0
0.07399999999999998,3.55321266097495e-05,0
0.076,3.4527000216292164e-05,0
0.078,3.358409087864284e-05,0
0.08,3.275851973571385e-05,0
0.082,3.210092554555755e-05,0
0.084,3.1655665594478365e-05,0
0.08599999999999998,3.1459251224616486e-05,0
0.08799999999999998,3.153912029132126e-05,0
0.08999999999999998,3.1912818668795375e-05,0
0.092,3.258763299677923e-05,0
0.094,3.356068787872188e-05,0
0.096,3.4819495551168303e-05,0
0.098,3.6342925401872704e-05,0
0.1,3.810254030060684e-05,0
0.102,4.006422286320967e-05,0
0.104,4.218999053144139e-05,0
0.106,4.443988215661611e-05,0
0.108,4.677379894743191e-05,0
0.11,4.915319900212916e-05,0
0.112,5.154256226345888e-05,0
0.114,5.391054455473117e-05,0
0.116,5.623073185152664e-05,0
0.118,5.848191935680932e-05,0
0.12,6.064789295880464e-05,0
0.122,6.271676400748452e-05,0
0.124,6.467996424848444e-05,0
0.126,6.653102988012129e-05,0
0.128,6.826430447261801e-05,0
0.13,6.987368373782608e-05,0
0.132,7.135151221174577e-05,0
0.134,7.268772149398587e-05,0
0.136,7.386927207387377e-05,0
0.138,7.487992841593408e-05,0
0.14,7.57003697343523e-05,0
0.142,7.630862667789209e-05,0
0.144,7.668083360116153e-05,0
0.146,7.679228473905142e-05,0
0.148,7.66187705898105e-05,0
0.15,7.613814420275051e-05,0
0.152,7.533203030233856e-05,0
0.154,7.418755701606008e-05,0
0.156,7.269897238359446e-05,0
0.158,7.086900637898217e-05,0
0.16,6.870985041123611e-05,0
0.162,6.624365136953356e-05,0
0.164,6.350245580576767e-05,0
0.166,6.0527582839214125e-05,0
0.168,5.736844294991438e-05,0
0.17,5.4080856776402514e-05,0
0.172,5.072497283012947e-05,0
0.174,4.736293387669319e-05,0
0.176,4.4056478055724685e-05,0
0.178,4.0864661106937166e-05,0
0.18,3.784185013276915e-05,0
0.182,3.503608606395941e-05,0
0.184,3.248786122984784e-05,0
0.186,3.0229320894845325e-05,0
0.188,2.828387492690779e-05,0
0.19,2.6666192499667948e-05,0
0.192,2.5382540342654713e-05,0
0.194,2.4431407885280568e-05,0
0.196,2.3804341852137246e-05,0
