t_s,sinal_filtrado,janela,classificacao
0.0,-5.1461435425336094e-05,1,0
0.002,-5.790191238034218e-05,1,0
0.004,-6.43737444082751e-05,1,0
0.006,-7.077998722275269e-05,1,0
0.008,-7.702626101789183e-05,1,0
0.01,-8.302294345350784e-05,1,0
0.012,-8.868687316855708e-05,1,0
0.014,-9.394261071106384e-05,1,0
0.016,-9.87233526516654e-05,1,0
0.018,-0.0001029715757092,1,0
0.02,-0.0001066394363747,1,0
0.022,-0.0001096889011901,1,0
0.024,-0.0001120915510549,1,0
0.026,-0.0001138280125269,1,0
0.028,-0.0001148870378602,1,0
0.03,-0.0001152643541964,1,0
0.032,-0.0001149614624119,1,0
0.034,-0.0001139845485736,1,0
0.036,-0.0001123435992691,1,0
0.038,-0.0001100517299358,1,0
0.04,-0.0001071246671226,1,0
0.042,-0.0001035802903451,1,0
0.044,-9.943816109625976e-05,1,0
0.046,-9.47190398298664e-05,1,0
0.048,-8.944446102356036e-05,1,0
0.05,-8.363644835614909e-05,1,0
0.052,-7.731741026967982e-05,1,0
0.054,-7.051019970419291e-05,1,0
0.056,-6.323827367282486e-05,1,0
0.058,-5.552586017702287e-05,1,0
0.06,-4.739806047407828e-05,1,0
0.062,-3.8880900974610165e-05,1,0
0.064,-3.000145337200752e-05,1,0
0.066,-2.078817845274592e-05,1,0
0.068,-1.1271586604487732e-05,1,0
0.07,-1.4851954957368518e-06,1,0
0.072,8.533335460023356e-06,1,0
0.0739999999999999,1.8741078902448657e-05,1,0
0.076,2.9088923056261065e-05,1,0
0.078,3.9521020057821394e-05,1,0
0.08,4.997466227438999e-05,1,0
0.082,6.03805625610586e-05,1,0
0.084,7.066346005758373e-05,1,0
0.0859999999999999,8.074294329834752e-05,1,0
0.0879999999999999,9.053437534688724e-05,1,0
0.0899999999999999,9.994983762575e-05,1,0
0.092,0.0001088990747667,1,0
0.094,0.0001172904859627,1,0
0.096,0.0001250322436783,1,0
0.098,0.0001320336299396,1,0
0.1,0.0001382066635436,1,0
0.102,0.0001434680457426,1,0
0.104,0.0001477414038218,1,0
0.106,0.0001509598000064,1,0
0.108,0.0001530684933137,1,0
0.11,0.0001540279493335,1,0
0.112,0.0001538170519444,1,0
0.114,0.0001524363768552,1,0
0.116,0.0001499112595666,1,0
0.118,0.0001462942730999,1,0
0.12,0.0001416666759335,1,0
0.122,0.000136138433201,1,0
0.124,0.0001298465566678,1,0
0.126,0.0001229517170443,1,0
0.128,0.0001156332985276,1,0
0.13,0.0001080832388846,1,0
0.132,0.0001004991003691,1,0
0.134,9.307684117327664e-05,1,0
0.136,8.600372305716445e-05,1,0
0.138,7.945173506222987e-05,1,0
0.14,7.357185413605604e-05,1,0
0.142,6.848938305516493e-05,1,0
0.144,6.430049378304782e-05,1,0
0.146,6.106999823304856e-05,1,0
0.148,5.883031402126603e-05,1,0
0.15,5.758158288479326e-05,1,0
0.152,5.729289254089782e-05,1,0
0.154,5.7904528896255886e-05,1,0
0.156,5.933114536624417e-05,1,0
0.158,6.146568016420215e-05,1,0
0.16,6.418380233866134e-05,1,0
0.162,6.734866828871715e-05,1,0
0.164,7.081583490380224e-05,1,0
0.166,7.443825264201109e-05,1,0
0.168,7.807128334339747e-05,1,0
0.17,8.157763062317771e-05,1,0
0.172,8.483198269429574e-05,1,0
0.174,8.772513029616508e-05,1,0
0.176,9.01673704394876e-05,1,0
0.178,9.209108588287096e-05,1,0
0.18,9.345242536351008e-05,1,0
0.182,9.42319931375356e-05,1,0
0.184,9.4434445612657e-05,1,0
0.186,9.408694295841332e-05,1,0
0.188,9.323651541774229e-05,1,0
0.19,9.19465196960672e-05,1,0
0.192,9.029242203760184e-05,1,0
0.194,8.835716000841416e-05,1,0
0.196,8.622635702169987e-05,1,0
0.198,8.398370602872798e-05,1,0
0.2,8.170686031977582e-05,1,0
0.202,7.946413427315169e-05,1,0
0.204,7.731223024558756e-05,1,0
0.206,7.529508853991123e-05,1,0
0.208,7.344381776087964e-05,1,0
0.21,7.177752663794147e-05,1,0
0.212,7.030477882529947e-05,1,0
0.214,6.902534441653839e-05,1,0
0.216,6.793193195838434e-05,1,0
