t_s,sinal_filtrado,janela
0.0,4.110852944785124e-05,1
0.002,3.720569174245498e-05,1
0.004,3.309136425451197e-05,1
0.006,2.8898127114064703e-05,1
0.008,2.475843556353197e-05,1
0.01,2.080116584464495e-05,1
0.012,1.7148565501823343e-05,1
0.014,1.3913605149196755e-05,1
0.016,1.1197635556757812e-05,1
0.018,9.088237828935833e-06,1
0.02,7.657212157244524e-06,1
0.022,6.958735686938523e-06,1
0.024,7.027795440756925e-06,1
0.026,7.879046208381797e-06,1
0.028,9.506228213198935e-06,1
0.03,1.18821944308595e-05,1
0.032,1.4959489326592253e-05,1
0.034,1.8671364994994513e-05,1
0.036,2.29331445542924e-05,1
0.038,2.764390994646621e-05,1
0.04,3.268855752907183e-05,1
0.042,3.794030685011444e-05,1
0.044,4.326374460033272e-05,1
0.046,4.851841955340674e-05,1
0.048,5.356289775918572e-05,1
0.05,5.8259100637765806e-05,1
0.052,6.247672097691734e-05,1
0.054,6.609752419664627e-05,1
0.056,6.901935008594298e-05,1
0.058,7.115961417495643e-05,1
0.06,7.245809014313859e-05,1
0.062,7.287877825060838e-05,1
0.064,7.24107515044491e-05,1
0.066,7.106799198300616e-05,1
0.068,6.888832263362227e-05,1
0.07,6.593156461927605e-05,1
0.072,6.22770273950238e-05,1
0.07399999999999998,5.802042910668294e-05,1
0.076,5.327037720496673e-05,1
0.078,4.814456843008794e-05,1
0.08,4.2765837486910734e-05,1
0.082,3.725811749336948e-05,1
0.084,3.174235393006059e-05,1
0.08599999999999998,2.6332473867380646e-05,1
0.08799999999999998,2.1131609673236956e-05,1
0.08999999999999998,1.6228849520964128e-05,1
0.092,1.1696805454616892e-05,1
0.094,7.5902357227121476e-06,1
0.096,3.945818965906936e-06,1
0.098,7.82990319392509e-07,1
0.1,-1.894398284796784e-06,1
0.102,-4.095881331318198e-06,1
0.104,-5.841908482749292e-06,1
0.106,-7.161305361605228e-06,1
0.108,-8.088794751994255e-06,1
0.11,-8.662610647102953e-06,1
0.112,-8.92218016026193e-06,1
0.114,-8.905882504812061e-06,1
0.116,-8.648980252469776e-06,1
0.118,-8.181864791203576e-06,1
0.12,-7.528736596727347e-06,1
0.122,-6.706792809267144e-06,1
0.124,-5.7259476279707885e-06,1
0.126,-4.5890536921451086e-06,1
0.128,-3.29252980796964e-06,1
0.13,-1.827276717679412e-06,1
0.132,-1.7979785060484023e-07,1
0.134,1.6665107640751517e-06,1
0.136,3.7299277681031665e-06,1
0.138,6.028877299503344e-06,1
0.14,8.580365920746134e-06,1
0.142,1.1398450404336755e-05,1
0.144,1.4492800967351327e-05,1
0.146,1.7867433127759716e-05,1
0.148,2.1519691717373798e-05,1
0.15,2.54395592796465e-05,1
0.152,2.960931317806881e-05,1
0.154,3.400348518560978e-05,1
0.156,3.8589024679475605e-05,1
0.158,4.332557096339464e-05,1
0.16,4.816579489592092e-05,1
0.162,5.305582044775089e-05,1
0.164,5.7935749220772005e-05,1
0.166,6.274031642933567e-05,1
0.168,6.739974568655574e-05,1
0.17,7.184091549962398e-05,1
0.172,7.598892626149909e-05,1
0.174,7.976903512978054e-05,1
0.176,8.310878464816538e-05,1
0.178,8.594010017807362e-05,1
0.18,8.820120116899325e-05,1
0.182,8.983829427120388e-05,1
0.184,9.080710040241923e-05,1
0.186,9.107425905354736e-05,1
0.188,9.061855744217054e-05,1
0.19,8.943181622119803e-05,1
0.192,8.751921812335976e-05,1
0.194,8.489894085823217e-05,1
0.196,8.160112643536648e-05,1
0.198,7.766640924847865e-05,1
0.2,7.314434499119062e-05,1
0.202,6.809207363309728e-05,1
0.204,6.257342708798835e-05,1
0.206,5.665852855892042e-05,1
0.208,5.04237875920487e-05,1
0.21,4.395209332917955e-05,1
0.212,3.7332961538671114e-05,1
0.214,3.066241272144885e-05,1
0.216,2.4042423483337107e-05,1
0.218,1.7579839443294e-05,1
0.22,1.13846382591331e-05,1
0.222,5.567439318116449e-06,1
0.224,2.3624926371950741e-07,1
0.226,-4.5073981831624034e-06,1
0.228,-8.572607425346389e-06,1
0.23,-1.1883248834382224e-05,1
0.232,-1.438173252445896e-05,1
0.234,-1.6032146672006156e-05,1
0.236,-1.6822518879922257e-05,1
0.238,-1.6766010908319128e-05,1
0.24,-1.590090522148256e-05,1
0.242,-1.428928986580243e-05,1
0.244,-1.2014434370463408e-05,1
0.246,-9.176985051063282e-06,1
0.248,-5.8902426047977635e-06,1
0.25,-2.2748554465010517e-06,1
0.252,1.5467409438456484e-06,1
0.254,5.455837272527723e-06,1
0.256,9.342623833551297e-06,1
0.258,1.3110730955814004e-05,1
0.26,1.668086973476055e-05,1
0.262,1.9993363174535807e-05,1
0.264,2.3009419203255407e-05,1
0.266,2.5711044662496857e-05,1
0.268,2.8099548014950103e-05,1
0.27,3.0192676022189896e-05,1
0.272,3.20206057548899e-05,1
0.274,3.362122324976336e-05,1
0.276,3.503526599580298e-05,1
0.278,3.630191274539129e-05,1
0.28,3.745527505062156e-05,1
0.282,3.8522054128682895e-05,1
0.284,3.952044238323757e-05,1
0.286,4.0460183410312405e-05,1
0.288,4.134354658398264e-05,1
0.29,4.2166843529777416e-05,1
0.292,4.292207029059806e-05,1
0.294,4.359833185727525e-05,1
0.296,4.418284999469962e-05,1
0.298,4.466149689592387e-05,1
0.3,4.501891425164258e-05,1
0.302,4.5238381515010965e-05,1
0.304,4.530166491543951e-05,1
0.306,4.5189063815206e-05,1
0.308,4.4879768065459434e-05,1
0.31,4.435250637453143e-05,1
0.312,4.3586386535296994e-05,1
0.314,4.2561848588586594e-05,1
