t_s,sinal_filtrado,janela,classificacao
0.0,-1.52986530497107e-06,1,0
0.002,9.752879006237509e-06,1,0
0.004,2.0835921215184586e-05,1,0
0.006,3.15481121871006e-05,1,0
0.008,4.173613998942753e-05,1,0
0.01,5.1269991473157576e-05,1,0
0.012,6.004684990649857e-05,1,0
0.014,6.799327296407402e-05,1,0
0.016,7.506568416260584e-05,1,0
0.018,8.124938190165168e-05,1,0
0.02,8.655636213634685e-05,1,0
0.022,9.1022240213114e-05,1,0
0.024,9.470249978792895e-05,1,0
0.026,9.76682645064608e-05,1,0
0.028,0.0001000017963795,1,0
0.03,0.0001017919445524,1,0
0.032,0.0001031297822836,1,0
0.034,0.0001041046751176,1,0
0.036,0.0001048009974205,1,0
0.038,0.0001052956337275,1,0
0.04,0.0001056562888947,1,0
0.042,0.0001059405447666,1,0
0.044,0.0001061955665483,1,0
0.046,0.0001064583536771,1,0
0.048,0.0001067564184442,1,0
0.05,0.0001071087595811,1,0
0.052,0.0001075269905096,1,0
0.054,0.0001080164904189,1,0
0.056,0.00010857746614,1,0
0.058,0.0001092058340752,1,0
0.06,0.0001098938513704,1,0
0.062,0.0001106304519342,1,0
0.064,0.0001114012928686,1,0
0.066,0.0001121886010251,1,0
0.068,0.0001129709961831,1,0
0.07,0.0001137234890141,1,0
0.072,0.0001144177803964,1,0
0.0739999999999999,0.0001150228767469,1,0
0.076,0.0001155059552913,1,0
0.078,0.0001158333863861,1,0
0.08,0.000115971837004,1,0
0.082,0.0001158894288118,1,0
0.084,0.0001155569794177,1,0
0.0859999999999999,0.0001149493710792,1,0
0.0879999999999999,0.0001140470476925,1,0
0.0899999999999999,0.0001128375753453,1,0
0.092,0.0001113171665169,1,0
0.094,0.0001094920670109,1,0
0.096,0.000107379700938,1,0
0.098,0.0001050094475356,1,0
0.1,0.0001024229063517,1,0
0.102,9.967351016955656e-05,1,0
0.104,9.682536369334148e-05,1,0
0.106,9.39512265798491e-05,1,0
0.108,9.11296392309502e-05,1,0
0.11,8.844130323121817e-05,1,0
0.112,8.596494387714173e-05,1,0
0.114,8.377297038417239e-05,1,0
0.116,8.192728904974867e-05,1,0
0.118,8.047559684022474e-05,1,0
0.12,7.944839449213196e-05,1,0
0.122,7.88568630173067e-05,1,0
0.124,7.869169743747071e-05,1,0
0.126,7.892297261323821e-05,1,0
0.128,7.950107773687573e-05,1,0
0.13,8.035869191345294e-05,1,0
0.132,8.141371829407332e-05,1,0
0.134,8.257305540046068e-05,1,0
0.136,8.373703328443555e-05,1,0
0.138,8.480427456984403e-05,1,0
0.14,8.567668642662921e-05,1,0
0.142,8.626426763713859e-05,1,0
0.144,8.648942248592772e-05,1,0
0.146,8.629051421856798e-05,1,0
0.148,8.562446748364113e-05,1,0
0.15,8.44683140453439e-05,1,0
0.152,8.281963819516046e-05,1,0
0.154,8.069593337468715e-05,1,0
0.156,7.813296682604845e-05,1,0
0.158,7.518235064238401e-05,1,0
0.16,7.190857487525932e-05,1,0
0.162,6.838574500427147e-05,1,0
0.164,6.469422078005293e-05,1,0
0.166,6.091731959777696e-05,1,0
0.168,5.7138219634252816e-05,1,0
0.17,5.343715478714496e-05,1,0
0.172,4.988895263464282e-05,1,0
0.174,4.656095901136326e-05,1,0
0.176,4.35114027374006e-05,1,0
0.178,4.078824037221329e-05,1,0
0.18,3.842848555536208e-05,1,0
0.182,3.645800795873794e-05,1,0
0.184,3.4891787321395154e-05,1,0
0.186,3.373459595776792e-05,1,0
0.188,3.2982049524002666e-05,1,0
0.19,3.262193023209852e-05,1,0
0.192,3.263565301342614e-05,1,0
0.194,3.2999714189350285e-05,1,0
0.196,3.3686967587838766e-05,1,0
0.198,3.4667641016665053e-05,1,0
0.2,3.5910098784205466e-05,1,0
0.202,3.738140682570112e-05,1,0
0.204,3.904775254704703e-05,1,0
0.206,4.087475985603591e-05,1,0
0.208,4.2827754761824026e-05,1,0
0.21,4.487205304449366e-05,1,0
0.212,4.697332183630008e-05,1,0
