t_s,sinal_filtrado,janela
0.0,-1.52986530497107e-06,1
0.002,9.752879006237507e-06,1
0.004,2.0835921215184586e-05,1
0.006,3.1548112187100596e-05,1
0.008,4.173613998942753e-05,1
0.01,5.1269991473157576e-05,1
0.012,6.004684990649857e-05,1
0.014,6.799327296407402e-05,1
0.016,7.506568416260584e-05,1
0.018,8.124938190165168e-05,1
0.02,8.655636213634685e-05,1
0.022,9.1022240213114e-05,1
0.024,9.470249978792895e-05,1
0.026,9.76682645064608e-05,1
0.028,0.00010000179637955164,1
0.03,0.00010179194455243573,1
0.032,0.00010312978228361309,1
0.034,0.00010410467511769708,1
0.036,0.00010480099742059567,1
0.038,0.00010529563372756608,1
0.04,0.0001056562888947944,1
0.042,0.00010594054476669296,1
0.044,0.00010619556654834464,1
0.046,0.00010645835367717514,1
0.048,0.00010675641844428337,1
0.05,0.00010710875958118282,1
0.052,0.0001075269905096708,1
0.054,0.00010801649041891592,1
0.056,0.0001085774661400867,1
0.058,0.00010920583407529044,1
0.06,0.00010989385137049622,1
0.062,0.00011063045193426256,1
0.064,0.00011140129286865125,1
0.066,0.0001121886010251416,1
0.068,0.00011297099618317936,1
0.07,0.0001137234890141176,1
0.072,0.00011441778039640258,1
0.07399999999999998,0.00011502287674693633,1
0.076,0.00011550595529136032,1
0.078,0.00011583338638611572,1
0.08,0.0001159718370040994,1
0.082,0.0001158894288118052,1
0.084,0.00011555697941777144,1
0.08599999999999998,0.00011494937107921603,1
0.08799999999999998,0.00011404704769255128,1
0.08999999999999998,0.00011283757534534442,1
0.092,0.00011131716651697076,1
0.094,0.00010949206701090238,1
0.096,0.00010737970093805088,1
0.098,0.00010500944753567656,1
0.1,0.00010242290635170724,1
0.102,9.967351016955656e-05,1
0.104,9.682536369334147e-05,1
0.106,9.39512265798491e-05,1
0.108,9.112963923095021e-05,1
0.11,8.844130323121817e-05,1
0.112,8.596494387714173e-05,1
0.114,8.377297038417239e-05,1
0.116,8.192728904974867e-05,1
0.118,8.047559684022474e-05,1
0.12,7.944839449213196e-05,1
0.122,7.88568630173067e-05,1
0.124,7.869169743747071e-05,1
0.126,7.892297261323821e-05,1
0.128,7.950107773687573e-05,1
0.13,8.035869191345294e-05,1
0.132,8.141371829407332e-05,1
0.134,8.257305540046068e-05,1
0.136,8.373703328443555e-05,1
0.138,8.480427456984403e-05,1
0.14,8.567668642662921e-05,1
0.142,8.626426763713859e-05,1
0.144,8.648942248592772e-05,1
0.146,8.629051421856798e-05,1
0.148,8.562446748364113e-05,1
0.15,8.44683140453439e-05,1
0.152,8.281963819516046e-05,1
0.154,8.069593337468715e-05,1
0.156,7.813296682604845e-05,1
0.158,7.518235064238401e-05,1
0.16,7.190857487525932e-05,1
0.162,6.838574500427147e-05,1
0.164,6.469422078005293e-05,1
0.166,6.091731959777696e-05,1
0.168,5.7138219634252816e-05,1
0.17,5.343715478714496e-05,1
0.172,4.988895263464282e-05,1
0.174,4.656095901136326e-05,1
0.176,4.35114027374006e-05,1
0.178,4.078824037221329e-05,1
0.18,3.842848555536208e-05,1
0.182,3.645800795873794e-05,1
0.184,3.4891787321395154e-05,1
0.186,3.373459595776792e-05,1
0.188,3.2982049524002666e-05,1
0.19,3.2621930232098516e-05,1
0.192,3.263565301342614e-05,1
0.194,3.2999714189350285e-05,1
0.196,3.3686967587838766e-05,1
0.198,3.4667641016665053e-05,1
0.2,3.5910098784205466e-05,1
0.202,3.738140682570112e-05,1
0.204,3.9047752547047025e-05,1
0.206,4.087475985603591e-05,1
0.208,4.2827754761824026e-05,1
0.21,4.487205304449366e-05,1
0.212,4.697332183630008e-05,1
0.214,4.909801287296632e-05,1
0.216,5.121380001531535e-05,1
0.218,5.32899036941434e-05,1
0.22,5.5297186401782765e-05,1
0.222,5.720797540565791e-05,1
0.224,5.899567406919397e-05,1
0.226,6.063429356556079e-05,1
0.228,6.209804096813017e-05,1
0.23,6.336106724359595e-05,1
0.232,6.439745557934092e-05,1
0.234,6.518152096485085e-05,1
0.236,6.568846622885977e-05,1
0.238,6.58953935866679e-05,1
0.24,6.57826332704087e-05,1
0.242,6.533532829333253e-05,1
0.244,6.454517698100753e-05,1
0.246,6.341217259389276e-05,1
0.248,6.194612612918145e-05,1
0.25,6.016774677486332e-05,1
0.252,5.810908696518101e-05,1
0.254,5.581323124245271e-05,1
0.256,5.33332153562235e-05,1
0.258,5.073027226516194e-05,1
0.26,4.8071563397753954e-05,1
0.262,4.542754596312263e-05,1
0.264,4.2869085342312e-05,1
0.266,4.046440093722948e-05,1
0.268,3.827595245112874e-05,1
0.27,3.635740208672153e-05,1
0.272,3.475080086943648e-05,1
0.274,3.3484151467526015e-05,1
0.276,3.2569499280218175e-05,1
0.278,3.2001683982879396e-05,1
0.28,3.1757854107019445e-05,1
0.282,3.179783803309066e-05,1
0.284,3.206546872839227e-05,1
0.286,3.2490926643272465e-05,1
0.288,3.299406701137648e-05,1
0.29,3.3488556877276865e-05,1
0.292,3.38865076777883e-05,1
0.294,3.410319909203688e-05,1
0.296,3.406149173408301e-05,1
0.298,3.369561421169699e-05,1
0.3,3.2954116775870844e-05,1
0.302,3.180185871731062e-05,1
0.304,3.02209645655268e-05,1
0.306,2.821078192663124e-05,1
0.308,2.5786974833022312e-05,1
0.31,2.2979933727144406e-05,1
0.312,1.9832668219918315e-05,1
0.314,1.6398321489363662e-05,1
0.316,1.273744678083032e-05,1
0.318,8.915198041327878e-06,1
0.32,4.99856874790372e-06,1
