t_s,sinal_filtrado,janela,classificacao
0.0,-1.2765082230838352e-05,1,0
0.002,4.6752440876923885e-06,1,0
0.004,2.195812076268969e-05,1,0
0.006,3.883631448221316e-05,1,0
0.008,5.50837112494256e-05,1,0
0.01,7.050192524560285e-05,1,0
0.012,8.492510066180093e-05,1,0
0.014,9.82227462698428e-05,1,0
0.016,0.0001103006665263,1,0
0.018,0.0001211002250304,1,0
0.02,0.0001305962532244,1,0
0.022,0.0001387938931161,1,0
0.024,0.0001457245757978,1,0
0.026,0.0001514412582842,1,0
0.028,0.0001560130319123,1,0
0.03,0.0001595192898423,1,0
0.032,0.000162043761413,1,0
0.034,0.0001636688240253,1,0
0.036,0.0001644705260172,1,0
0.038,0.0001645146625807,1,0
0.04,0.0001638540653543,1,0
0.042,0.0001625270731049,1,0
0.044,0.0001605570267426,1,0
0.046,0.0001579526090656,1,0
0.048,0.0001547089046373,1,0
0.05,0.0001508091323109,1,0
0.052,0.0001462270389435,1,0
0.054,0.0001409298975041,1,0
0.056,0.0001348819423349,1,0
0.058,0.0001280479693088,1,0
0.06,0.0001203968011254,1,0
0.062,0.0001119043890716,1,0
0.064,0.000102556458042,1,0
0.066,9.235074020664548e-05,1,0
0.068,8.129892139112611e-05,1,0
0.07,6.942840138937858e-05,1,0
0.072,5.6783850783622326e-05,1,0
0.0739999999999999,4.342839162101184e-05,1,0
0.076,2.944412280970032e-05,1,0
0.078,1.493171969889414e-05,1,0
0.08,8.970928956272601e-09,1,0
0.082,-1.5191681525487643e-05,1,0
0.084,-3.052635426005318e-05,1,0
0.0859999999999999,-4.5843364933580216e-05,1,0
0.0879999999999999,-6.098703054850949e-05,1,0
0.0899999999999999,-7.580146873276224e-05,1,0
0.092,-9.013435850500712e-05,1,0
0.094,-0.0001038406383143,1,0
0.096,-0.0001167860410066,1,0
0.098,-0.0001288502504139,1,0
0.1,-0.000139929404976,1,0
0.102,-0.0001499377277568,1,0
0.104,-0.0001588082199213,1,0
0.106,-0.000166492552272,1,0
0.108,-0.0001729604401092,1,0
0.11,-0.0001781988198524,1,0
0.112,-0.0001822110492626,1,0
0.114,-0.0001850161837924,1,0
0.116,-0.0001866482263839,1,0
0.118,-0.000187155174115,1,0
0.12,-0.0001865977187202,1,0
0.122,-0.0001850475790486,1,0
0.124,-0.0001825855874156,1,0
0.126,-0.0001792997363673,1,0
0.128,-0.0001752833658784,1,0
0.13,-0.000170633549207,1,0
0.132,-0.0001654496000878,1,0
0.134,-0.0001598315686332,1,0
0.136,-0.0001538786434542,1,0
0.138,-0.0001476874600149,1,0
0.14,-0.0001413503348357,1,0
0.142,-0.0001349533923577,1,0
0.144,-0.0001285745121707,1,0
0.146,-0.0001222810845468,1,0
0.148,-0.0001161277219452,1,0
0.15,-0.00011015424984,1,0
0.152,-0.0001043843874623,1,0
0.154,-9.882547172894164e-05,1,0
0.156,-9.346939703323288e-05,1,0
0.158,-8.829470927786054e-05,1,0
0.16,-8.326957503756877e-05,1,0
0.162,-7.835519903535481e-05,1,0
0.164,-7.350922179222872e-05,1,0
0.166,-6.86887063664262e-05,1,0
0.168,-6.385249333192857e-05,1,0
0.17,-5.896290714047654e-05,1,0
0.172,-5.398696093657034e-05,1,0
0.174,-4.889727141053348e-05,1,0
0.176,-4.3672845967774746e-05,1,0
0.178,-3.829978355830692e-05,1,0
0.18,-3.277181280185954e-05,1,0
0.182,-2.709054100758734e-05,1,0
0.184,-2.126532769063516e-05,1,0
0.186,-1.5312798343299846e-05,1,0
0.188,-9.256115004312596e-06,1,0
0.19,-3.1241535520370007e-06,1,0
0.192,3.049324743340237e-06,1,0
0.194,9.226543215270864e-06,1,0
0.196,1.5366760068637503e-05,1,0
0.198,2.142764943798897e-05,1,0
0.2,2.7367072985904884e-05,1,0
0.202,3.3145155421964194e-05,1,0
0.204,3.8726444504186336e-05,1,0
0.206,4.408187315704192e-05,1,0
0.208,4.91902722957671e-05,1,0
0.21,5.4039290120385454e-05,1,0
0.212,5.862570097953543e-05,1,0
0.214,6.295516586229911e-05,1,0
0.216,6.704149975696881e-05,1,0
0.218,7.090543650412954e-05,1,0
0.22,7.457283962478608e-05,1,0
0.222,7.80723540925327e-05,1,0
0.224,8.143262388992012e-05,1,0
0.226,8.467934865572681e-05,1,0
0.228,8.78325482842849e-05,1,0
0.23,9.090440326171009e-05,1,0
0.232,9.389793600085228e-05,1,0
0.234,9.680663091088828e-05,1,0
0.236,9.961492133661316e-05,1,0
0.238,0.0001022993588856,1,0
0.24,0.0001048302552545,1,0
0.242,0.0001071736359756,1,0
0.244,0.0001092934123687,1,0
0.246,0.0001111536918826,1,0
0.248,0.0001127210859211,1,0
0.25,0.0001139667927596,1,0
0.252,0.0001148682117352,1,0
0.254,0.0001154099167742,1,0
0.256,0.0001155839546845,1,0
0.258,0.0001153895843333,1,0
0.26,0.0001148326869789,1,0
0.262,0.000113925112161,1,0
0.264,0.0001126841553656,1,0
0.266,0.0001111322204844,1,0
0.268,0.0001092965759168,1,0
0.27,0.0001072090369758,1,0
0.272,0.0001049054186373,1,0
0.274,0.0001024246819662,1,0
0.276,9.98078163033636e-05,1,0
0.278,9.70966227122014e-05,1,0
0.28,9.433264109158867e-05,1,0
0.282,9.155644422797808e-05,1,0
0.284,8.880740020377286e-05,1,0
0.286,8.612383557417521e-05,1,0
0.288,8.354340293273379e-05,1,0
0.29,8.110342635368776e-05,1,0
0.292,7.884105412242474e-05,1,0
0.294,7.679312180714318e-05,1,0
0.296,7.499566116397942e-05,1,0
0.298,7.348298695495904e-05,1,0
0.3,7.228631005722017e-05,1,0
0.302,7.143190289876602e-05,1,0
0.304,7.093897183047919e-05,1,0
0.306,7.08175221443116e-05,1,0
0.308,7.106657849783382e-05,1,0
0.31,7.167310723035517e-05,1,0
0.312,7.26118768758808e-05,1,0
0.314,7.384632686200015e-05,1,0
0.316,7.533034105796911e-05,1,0
0.318,7.701067991646003e-05,1,0
0.32,7.88297386628832e-05,1,0
0.322,8.072828929295373e-05,1,0
0.324,8.264793528013258e-05,1,0
0.326,8.453313627459317e-05,1,0
0.328,8.633279562076473e-05,1,0
0.33,8.800148729616144e-05,1,0
0.332,8.950039706594961e-05,1,0
0.334,9.079798633288072e-05,1,0
0.336,9.187032036530232e-05,1,0
0.338,9.270099357979322e-05,1,0
0.34,9.32806462513954e-05,1,0
0.342,9.360616063542384e-05,1,0
0.344,9.3679684457292e-05,1,0
0.346,9.350761221880408e-05,1,0
0.348,9.30995790435704e-05,1,0
0.35,9.24674606417638e-05,1,0
0.352,9.162439058010442e-05,1,0
0.354,9.058389800542628e-05,1,0
0.356,8.935936115823894e-05,1,0
0.358,8.796398098338435e-05,1,0
0.36,8.641137884287097e-05,1,0
0.362,8.471675597851116e-05,1,0
0.364,8.289839024110049e-05,1,0
0.366,8.097914206827907e-05,1,0
0.368,7.898762179620851e-05,1,0
0.37,7.695873255394367e-05,1,0
0.372,7.49334246303491e-05,1,0
0.374,7.295764563217905e-05,1,0
0.376,7.108061439284418e-05,1,0
0.378,6.935265506364591e-05,1,0
0.38,6.782287003694379e-05,1,0
0.382,6.653689149191888e-05,1,0
0.384,6.553485753829168e-05,1,0
0.386,6.484967122696368e-05,1,0
0.388,6.450557079409781e-05,1,0
0.39,6.451706689944405e-05,1,0
0.392,6.488833525200841e-05,1,0
0.394,6.561313400284752e-05,1,0
0.396,6.667523431850615e-05,1,0
0.398,6.8049253442516e-05,1,0
0.4,6.970172194098127e-05,1,0
0.402,7.159223443998998e-05,1,0
0.404,7.367461800273801e-05,1,0
0.406,7.589816142536542e-05,1,0
0.408,7.820902571549734e-05,1,0
0.41,8.055196002543147e-05,1,0
0.412,8.287237367146686e-05,1,0
0.414,8.511869564616073e-05,1,0
0.416,8.72448407790175e-05,1,0
0.418,8.921254272390675e-05,1,0
0.42,9.09933230798724e-05,1,0
0.422,9.256992434458675e-05,1,0
0.424,9.39371118969276e-05,1,0
0.426,9.51018227643712e-05,1,0
0.428,9.608268542504976e-05,1,0
0.43,9.690893733917736e-05,1,0
0.432,9.761873243644349e-05,1,0
0.434,9.825680441817556e-05,1,0
0.436,9.88714845395098e-05,1,0
0.438,9.95111743000362e-05,1,0
0.44,0.000100220505507,1,0
0.442,0.0001010365264503,1,0
0.444,0.0001019852891874,1,0
0.446,0.0001030791610928,1,0
0.448,0.0001043150595305,1,0
0.45,0.0001056736601921,1,0
0.452,0.000107119520385,1,0
0.454,0.0001086020298784,1,0
0.456,0.0001100571425026,1,0
0.458,0.0001114098952372,1,0
0.46,0.0001125777291421,1,0
0.462,0.0001134745637947,1,0
0.464,0.0001140154628853,1,0
0.466,0.0001141216104825,1,0
0.468,0.0001137252437405,1,0
0.47,0.0001127741848501,1,0
0.472,0.0001112356768105,1,0
0.474,0.0001090993187519,1,0
0.476,0.0001063789720079,1,0
0.478,0.0001031135467892,1,0
0.48,9.93665998749626e-05,1,0
0.482,9.522470885573016e-05,1,0
0.484,9.07946492584969e-05,1,0
0.486,8.619947584373843e-05,1,0
0.488,8.157368530627513e-05,1,0
0.49,7.705770885179512e-05,1,0
0.492,7.279204392062689e-05,1,0
0.494,6.891136885289047e-05,1,0
0.496,6.55389702078991e-05,1,0
0.498,6.278174540928336e-05,1,0
0.5,6.0725956575040674e-05,1,0
0.502,5.943385361839563e-05,1,0
0.504,5.894127387718438e-05,1,0
0.506,5.925633527222028e-05,1,0
0.508,6.03593309871198e-05,1,0
0.51,6.220388425370139e-05,1,0
0.512,6.471933172537272e-05,1,0
0.514,6.781418958328081e-05,1,0
0.516,7.138045299406847e-05,1,0
0.518,7.529843137647798e-05,1,0
0.52,7.944184848004999e-05,1,0
0.522,8.36830024625536e-05,1,0
0.524,8.789782119198773e-05,1,0
0.526,9.197062805294918e-05,1,0
0.528,9.579838201397996e-05,1,0
0.53,9.929412924270714e-05,1,0
0.532,0.0001023894354359,1,0
0.534,0.0001050356531583,1,0
0.536,0.0001072039934374,1,0
0.538,0.000108884495331,1,0
0.54,0.000110084106152,1,0
0.542,0.0001108241764954,1,0
0.544,0.0001111377043018,1,0
0.546,0.0001110666062259,1,0
0.548,0.000110659168912,1,0
0.55,0.0001099676976427,1,0
0.552,0.0001090463011509,1,0
0.554,0.0001079487583478,1,0
0.556,0.0001067264881204,1,0
0.558,0.0001054267393971,1,0
0.56,0.0001040911761142,1,0
0.562,0.0001027550047419,1,0
0.564,0.0001014466797936,1,0
0.566,0.0001001880790479,1,0
0.568,9.899494229277965e-05,1,0
0.57,9.78773650715024e-05,1,0
0.572,9.68402240021088e-05,1,0
0.574,9.588352553742048e-05,1,0
0.576,9.500274789791846e-05,1,0
0.578,9.418925197724692e-05,1,0
0.58,9.343078985163152e-05,1,0
0.582,9.271208761257666e-05,1,0
0.584,9.201545822053392e-05,1,0
0.586,9.132141516933302e-05,1,0
0.588,9.060929740542112e-05,1,0
0.59,8.985796256883123e-05,1,0
0.592,8.904663019788198e-05,1,0
0.594,8.815592588478492e-05,1,0
0.596,8.716908853767806e-05,1,0
0.598,8.607320202140111e-05,1,0
0.6,8.486026080293481e-05,1,0
0.602,8.352790369331155e-05,1,0
0.604,8.20797321144099e-05,1,0
0.606,8.052522908251052e-05,1,0
0.608,7.887937031296428e-05,1,0
0.61,7.71620375851557e-05,1,0
0.612,7.539730087348637e-05,1,0
0.614,7.361255995287374e-05,1,0
