t_s,sinal_filtrado
0.000000000000000000e+00,1.257168003351847902e-04
2.000000000000000042e-03,1.213532962778498305e-04
4.000000000000000083e-03,1.164744209552585761e-04
6.000000000000000125e-03,1.112256542404588120e-04
8.000000000000000167e-03,1.057487890911874026e-04
1.000000000000000021e-02,1.001778657246002024e-04
1.200000000000000025e-02,9.463603021215655437e-05
1.400000000000000029e-02,8.923323486432954070e-05
1.600000000000000033e-02,8.406461352815150089e-05
1.799999999999999864e-02,7.920939183881472491e-05
2.000000000000000042e-02,7.473029252343112128e-05
2.199999999999999872e-02,7.067349409599551493e-05
2.400000000000000050e-02,6.706922742197471649e-05
2.599999999999999881e-02,6.393302193771500377e-05
2.800000000000000058e-02,6.126747450351544022e-05
2.999999999999999889e-02,5.906428385127098152e-05
3.200000000000000067e-02,5.730624686285028073e-05
3.400000000000000244e-02,5.596898066948247238e-05
3.599999999999999728e-02,5.502228699103482826e-05
3.799999999999999906e-02,5.443123760996597865e-05
4.000000000000000083e-02,5.415715297359572169e-05
4.200000000000000261e-02,5.415862848274382614e-05
4.399999999999999745e-02,5.439265538411080896e-05
4.599999999999999922e-02,5.481575680729236115e-05
4.800000000000000100e-02,5.538499628052145722e-05
5.000000000000000278e-02,5.605875732080534829e-05
5.199999999999999761e-02,5.679730868872003745e-05
5.399999999999999939e-02,5.756327675776148114e-05
5.600000000000000117e-02,5.832216641312187747e-05
5.800000000000000294e-02,5.904299091836582317e-05
5.999999999999999778e-02,5.969894401142105918e-05
6.199999999999999956e-02,6.026795126493444916e-05
6.400000000000000133e-02,6.073292317237293826e-05
6.600000000000000311e-02,6.108160812627090467e-05
6.800000000000000488e-02,6.130608064155944185e-05
7.000000000000000666e-02,6.140203672285119286e-05
7.199999999999999456e-02,6.136812871548778467e-05
7.399999999999999634e-02,6.120551576574283930e-05
7.599999999999999811e-02,6.091766154952348131e-05
7.799999999999999989e-02,6.051025517182570122e-05
8.000000000000000167e-02,5.999104118866149240e-05
8.200000000000000344e-02,5.936936338740131971e-05
8.400000000000000522e-02,5.865534723105694320e-05
8.599999999999999312e-02,5.785881240556273132e-05
8.799999999999999489e-02,5.698814112230976483e-05
8.999999999999999667e-02,5.604936636853730591e-05
9.199999999999999845e-02,5.504567094376004249e-05
9.400000000000000022e-02,5.397734421276448763e-05
9.600000000000000200e-02,5.284210782601610754e-05
9.800000000000000377e-02,5.163566573656754038e-05
1.000000000000000056e-01,5.035237826432777380e-05
1.019999999999999934e-01,4.898606050498105897e-05
1.039999999999999952e-01,4.753098203973619279e-05
1.059999999999999970e-01,4.598313562442565426e-05
1.079999999999999988e-01,4.434173989628300308e-05
1.100000000000000006e-01,4.261079155359129560e-05
1.120000000000000023e-01,4.080036278778617669e-05
1.140000000000000041e-01,3.892732080487870992e-05
1.160000000000000059e-01,3.701525046146858549e-05
1.179999999999999938e-01,3.509354583710586523e-05
1.199999999999999956e-01,3.319582076166588999e-05
1.219999999999999973e-01,3.135789551806622116e-05
1.239999999999999991e-01,2.961561220475013116e-05
1.260000000000000009e-01,2.800264246306689503e-05
1.280000000000000027e-01,2.654835857789605136e-05
1.300000000000000044e-01,2.527582174096950797e-05
1.320000000000000062e-01,2.420001334328202743e-05
1.340000000000000080e-01,2.332653031206857413e-05
1.360000000000000098e-01,2.265099686499038068e-05
1.380000000000000115e-01,2.215937585744154722e-05
1.400000000000000133e-01,2.182921770342857802e-05
1.419999999999999873e-01,2.163171548622933881e-05
1.439999999999999891e-01,2.153429520895995281e-05
1.459999999999999909e-01,2.150340662687277166e-05
1.479999999999999927e-01,2.150721184514317925e-05
1.499999999999999944e-01,2.151796232223764099e-05
1.519999999999999962e-01,2.151393620836231836e-05
1.539999999999999980e-01,2.148082600875045735e-05
1.559999999999999998e-01,2.141244706403327549e-05
1.580000000000000016e-01,2.131065696315863551e-05
1.600000000000000033e-01,2.118447725686356520e-05
1.620000000000000051e-01,2.104855494643955609e-05
1.640000000000000069e-01,2.092121842250940712e-05
1.660000000000000087e-01,2.082242454078365665e-05
1.680000000000000104e-01,2.077185672541981214e-05
1.700000000000000122e-01,2.078733625629807367e-05
1.719999999999999862e-01,2.088358008156532874e-05
1.739999999999999880e-01,2.107122917432105271e-05
1.759999999999999898e-01,2.135604121330889223e-05
1.779999999999999916e-01,2.173820985764176992e-05
1.799999999999999933e-01,2.221188768450310422e-05
1.819999999999999951e-01,2.276506309230036921e-05
1.839999999999999969e-01,2.337991859085592199e-05
1.859999999999999987e-01,2.403368972597657379e-05
1.880000000000000004e-01,2.469990745023446397e-05
1.900000000000000022e-01,2.534980467166382529e-05
1.920000000000000040e-01,2.595363821418686555e-05
1.940000000000000058e-01,2.648172805279353496e-05
1.960000000000000075e-01,2.690512881914792896e-05
1.980000000000000093e-01,2.719598329631706362e-05
2.000000000000000111e-01,2.732770471274896881e-05
2.020000000000000129e-01,2.727514389290318313e-05
2.039999999999999869e-01,2.701481829255597799e-05
2.059999999999999887e-01,2.652516944049960952e-05
2.079999999999999905e-01,2.578674204271718935e-05
2.099999999999999922e-01,2.478217428110249338e-05
2.119999999999999940e-01,2.349594689244022426e-05
2.139999999999999958e-01,2.191393410762414523e-05
2.159999999999999976e-01,2.002290348320655598e-05
2.179999999999999993e-01,1.781018644868678208e-05
2.200000000000000011e-01,1.526374425568984247e-05
2.220000000000000029e-01,1.237276397829830036e-05
2.240000000000000047e-01,9.128767852562825032e-06
2.260000000000000064e-01,5.527081493923523920e-06
2.280000000000000082e-01,1.568446274413186512e-06
2.300000000000000100e-01,-2.739412173445874317e-06
2.320000000000000118e-01,-7.380372831937275742e-06
2.340000000000000135e-01,-1.232871479375159604e-05
2.359999999999999876e-01,-1.754816085827179008e-05
2.379999999999999893e-01,-2.299126168722385560e-05
2.399999999999999911e-01,-2.859927474891940790e-05
2.419999999999999929e-01,-3.430270497784610373e-05
2.439999999999999947e-01,-4.002260999384233406e-05
2.459999999999999964e-01,-4.567264757841281507e-05
2.479999999999999982e-01,-5.116170107861013730e-05
2.500000000000000000e-01,-5.639681070445509898e-05
2.520000000000000018e-01,-6.128610439630104774e-05
2.540000000000000036e-01,-6.574147504902750597e-05
2.560000000000000053e-01,-6.968087574260630455e-05
2.580000000000000071e-01,-7.303025856701641420e-05
2.600000000000000089e-01,-7.572530513398635350e-05
2.620000000000000107e-01,-7.771313211987267925e-05
2.640000000000000124e-01,-7.895408556005536831e-05
2.660000000000000142e-01,-7.942359997328312022e-05
2.680000000000000160e-01,-7.911396135545711384e-05
2.700000000000000178e-01,-7.803573667656383368e-05
2.720000000000000195e-01,-7.621864308109756354e-05
2.740000000000000213e-01,-7.371171209033952024e-05
2.760000000000000231e-01,-7.058270448746064619e-05
2.780000000000000249e-01,-6.691678855956227395e-05
2.800000000000000266e-01,-6.281448640491757635e-05
2.819999999999999729e-01,-5.838885978946238158e-05
2.839999999999999747e-01,-5.376191291668306775e-05
2.859999999999999765e-01,-4.906026503772366207e-05
2.879999999999999782e-01,-4.441026837186673194e-05
2.899999999999999800e-01,-3.993286876399919946e-05
2.919999999999999818e-01,-3.573858758914428793e-05
2.939999999999999836e-01,-3.192301725319220086e-05
2.959999999999999853e-01,-2.856315619519014787e-05
2.979999999999999871e-01,-2.571477581810307375e-05
2.999999999999999889e-01,-2.341086013528920722e-05
3.019999999999999907e-01,-2.166105463726063256e-05
3.039999999999999925e-01,-2.045204458974795707e-05
3.059999999999999942e-01,-1.974883623553039082e-05
3.079999999999999960e-01,-1.949696760310286046e-05
3.099999999999999978e-01,-1.962566248957719342e-05
3.119999999999999996e-01,-2.005184834556848823e-05
3.140000000000000013e-01,-2.068482343906183737e-05
3.160000000000000031e-01,-2.143123402704902010e-05
3.180000000000000049e-01,-2.219995471189919640e-05
3.200000000000000067e-01,-2.290648635672762082e-05
3.220000000000000084e-01,-2.347660061251249721e-05
3.240000000000000102e-01,-2.384913240929705636e-05
3.260000000000000120e-01,-2.397798236217804123e-05
3.280000000000000138e-01,-2.383347154948717162e-05
3.300000000000000155e-01,-2.340316361393021398e-05
3.320000000000000173e-01,-2.269216354802008621e-05
3.340000000000000191e-01,-2.172279134121061434e-05
3.360000000000000209e-01,-2.053348752630204503e-05
3.380000000000000226e-01,-1.917687305692164282e-05
3.400000000000000244e-01,-1.771703243216964785e-05
3.420000000000000262e-01,-1.622624023942549401e-05
3.439999999999999725e-01,-1.478142575523033958e-05
3.459999999999999742e-01,-1.346063586995085708e-05
3.479999999999999760e-01,-1.233965207321955591e-05
3.499999999999999778e-01,-1.148882322468777506e-05
3.519999999999999796e-01,-1.097015766252342270e-05
3.539999999999999813e-01,-1.083477659906246565e-05
3.559999999999999831e-01,-1.112090100908902937e-05
3.579999999999999849e-01,-1.185255156752064150e-05
3.599999999999999867e-01,-1.303905865472783716e-05
3.619999999999999885e-01,-1.467533724057847300e-05
3.639999999999999902e-01,-1.674274091871744475e-05
3.659999999999999920e-01,-1.921023306974869909e-05
3.679999999999999938e-01,-2.203563677907187339e-05
3.699999999999999956e-01,-2.516683679119812727e-05
3.719999999999999973e-01,-2.854295276950118200e-05
3.739999999999999991e-01,-3.209562014875389960e-05
3.760000000000000009e-01,-3.575055977625210681e-05
3.780000000000000027e-01,-3.942957679274752087e-05
3.800000000000000044e-01,-4.305302107842802072e-05
3.820000000000000062e-01,-4.654261852567920428e-05
3.840000000000000080e-01,-4.982450554153805745e-05
3.860000000000000098e-01,-5.283228021413027223e-05
3.880000000000000115e-01,-5.550986954527769402e-05
3.900000000000000133e-01,-5.781396149773886632e-05
3.920000000000000151e-01,-5.971570143632568288e-05
3.940000000000000169e-01,-6.120137927662886064e-05
3.960000000000000187e-01,-6.227196061790073655e-05
3.980000000000000204e-01,-6.294150270572766433e-05
4.000000000000000222e-01,-6.323468580904105150e-05
4.020000000000000240e-01,-6.318383670859513076e-05
4.040000000000000258e-01,-6.282589267347921244e-05
4.060000000000000275e-01,-6.219973208757874220e-05
4.079999999999999738e-01,-6.134417903544272198e-05
4.099999999999999756e-01,-6.029679945514787451e-05
4.119999999999999774e-01,-5.909340052528171469e-05
4.139999999999999791e-01,-5.776798470993646626e-05
4.159999999999999809e-01,-5.635283886123732813e-05
4.179999999999999827e-01,-5.487847156307991767e-05
4.199999999999999845e-01,-5.337323426953194063e-05
4.219999999999999862e-01,-5.186263183768523251e-05
4.239999999999999880e-01,-5.036848263044482835e-05
4.259999999999999898e-01,-4.890816318050328267e-05
4.279999999999999916e-01,-4.749413361250302259e-05
4.299999999999999933e-01,-4.613381066330461905e-05
4.319999999999999951e-01,-4.482971335469338408e-05
4.339999999999999969e-01,-4.357974258049036810e-05
4.359999999999999987e-01,-4.237750848192503383e-05
4.380000000000000004e-01,-4.121274176390458981e-05
4.400000000000000022e-01,-4.007191963842590031e-05
4.420000000000000040e-01,-3.893923089934784020e-05
4.440000000000000058e-01,-3.779789917411066147e-05
