t_s,sinal_filtrado
0.000000000000000000e+00,-1.276508223083835181e-05
2.000000000000000042e-03,4.675244087692389385e-06
4.000000000000000083e-03,2.195812076268968601e-05
6.000000000000000125e-03,3.883631448221315768e-05
8.000000000000000167e-03,5.508371124942558792e-05
1.000000000000000021e-02,7.050192524560285284e-05
1.200000000000000025e-02,8.492510066180093404e-05
1.400000000000000029e-02,9.822274626984279253e-05
1.600000000000000033e-02,1.103006665263114633e-04
1.799999999999999864e-02,1.211002250304340816e-04
2.000000000000000042e-02,1.305962532244274508e-04
2.199999999999999872e-02,1.387938931161765931e-04
2.400000000000000050e-02,1.457245757978949488e-04
2.599999999999999881e-02,1.514412582842225845e-04
2.800000000000000058e-02,1.560130319123962403e-04
2.999999999999999889e-02,1.595192898423742516e-04
3.200000000000000067e-02,1.620437614130946634e-04
3.400000000000000244e-02,1.636688240253025340e-04
3.599999999999999728e-02,1.644705260172634950e-04
3.799999999999999906e-02,1.645146625807401830e-04
4.000000000000000083e-02,1.638540653543553980e-04
4.200000000000000261e-02,1.625270731049254988e-04
4.399999999999999745e-02,1.605570267426054728e-04
4.599999999999999922e-02,1.579526090656513968e-04
4.800000000000000100e-02,1.547089046373942203e-04
5.000000000000000278e-02,1.508091323109281767e-04
5.199999999999999761e-02,1.462270389435057496e-04
5.399999999999999939e-02,1.409298975041124572e-04
5.600000000000000117e-02,1.348819423349703346e-04
5.800000000000000294e-02,1.280479693088404163e-04
5.999999999999999778e-02,1.203968011254235448e-04
6.199999999999999956e-02,1.119043890716735516e-04
6.400000000000000133e-02,1.025564580420096339e-04
6.600000000000000311e-02,9.235074020664548432e-05
6.800000000000000488e-02,8.129892139112612271e-05
7.000000000000000666e-02,6.942840138937857620e-05
7.199999999999999456e-02,5.678385078362232623e-05
7.399999999999999634e-02,4.342839162101184232e-05
7.599999999999999811e-02,2.944412280970031405e-05
7.799999999999999989e-02,1.493171969889414047e-05
8.000000000000000167e-02,8.970928956272600990e-09
8.200000000000000344e-02,-1.519168152548764488e-05
8.400000000000000522e-02,-3.052635426005318283e-05
8.599999999999999312e-02,-4.584336493358021617e-05
8.799999999999999489e-02,-6.098703054850949977e-05
8.999999999999999667e-02,-7.580146873276224129e-05
9.199999999999999845e-02,-9.013435850500713564e-05
9.400000000000000022e-02,-1.038406383143953676e-04
9.600000000000000200e-02,-1.167860410066341129e-04
9.800000000000000377e-02,-1.288502504139644816e-04
1.000000000000000056e-01,-1.399294049760406119e-04
1.019999999999999934e-01,-1.499377277568609841e-04
1.039999999999999952e-01,-1.588082199213081895e-04
1.059999999999999970e-01,-1.664925522720913037e-04
1.079999999999999988e-01,-1.729604401092741631e-04
1.100000000000000006e-01,-1.781988198524129185e-04
1.120000000000000023e-01,-1.822110492626100714e-04
1.140000000000000041e-01,-1.850161837924457048e-04
1.160000000000000059e-01,-1.866482263839214348e-04
1.179999999999999938e-01,-1.871551741150695501e-04
1.199999999999999956e-01,-1.865977187202084997e-04
1.219999999999999973e-01,-1.850475790486099564e-04
1.239999999999999991e-01,-1.825855874156352590e-04
1.260000000000000009e-01,-1.792997363673410781e-04
1.280000000000000027e-01,-1.752833658784618139e-04
1.300000000000000044e-01,-1.706335492070212281e-04
1.320000000000000062e-01,-1.654496000878137986e-04
1.340000000000000080e-01,-1.598315686332111370e-04
1.360000000000000098e-01,-1.538786434542404170e-04
1.380000000000000115e-01,-1.476874600149193019e-04
1.400000000000000133e-01,-1.413503348357547651e-04
1.419999999999999873e-01,-1.349533923577752237e-04
1.439999999999999891e-01,-1.285745121707589078e-04
1.459999999999999909e-01,-1.222810845468048230e-04
