t_s,sinal_filtrado
0.000000000000000000e+00,-7.972219787785547225e-06
2.000000000000000042e-03,-1.237107656413773108e-05
4.000000000000000083e-03,-1.651174867255068341e-05
6.000000000000000125e-03,-2.036102092056870050e-05
8.000000000000000167e-03,-2.389383756557417445e-05
1.000000000000000021e-02,-2.709448747139131178e-05
1.200000000000000025e-02,-2.995736548177526737e-05
1.400000000000000029e-02,-3.248719273398116168e-05
1.600000000000000033e-02,-3.469861758053642591e-05
1.799999999999999864e-02,-3.661519603470979447e-05
2.000000000000000042e-02,-3.826784007533215167e-05
2.199999999999999872e-02,-3.969288739635929477e-05
2.400000000000000050e-02,-4.092996839208688439e-05
2.599999999999999881e-02,-4.201982740720390752e-05
2.800000000000000058e-02,-4.300220852583655772e-05
2.999999999999999889e-02,-4.391386509631963744e-05
3.200000000000000067e-02,-4.478672905262347562e-05
3.400000000000000244e-02,-4.564629713266097423e-05
3.599999999999999728e-02,-4.651033218122577049e-05
3.799999999999999906e-02,-4.738799213859434204e-05
4.000000000000000083e-02,-4.827946415131045458e-05
4.200000000000000261e-02,-4.917611473751610352e-05
4.399999999999999745e-02,-5.006110307001670128e-05
4.599999999999999922e-02,-5.091036702899104030e-05
4.800000000000000100e-02,-5.169389130410056109e-05
5.000000000000000278e-02,-5.237720076654532592e-05
5.199999999999999761e-02,-5.292306734320000787e-05
5.399999999999999939e-02,-5.329343886048727041e-05
5.600000000000000117e-02,-5.345157419687818256e-05
5.800000000000000294e-02,-5.336431281147657713e-05
5.999999999999999778e-02,-5.300434649922688312e-05
6.199999999999999956e-02,-5.235232119220863605e-05
6.400000000000000133e-02,-5.139859228216732634e-05
6.600000000000000311e-02,-5.014449191812101012e-05
6.800000000000000488e-02,-4.860302494284606944e-05
7.000000000000000666e-02,-4.679896284716849935e-05
7.199999999999999456e-02,-4.476833658088753950e-05
7.399999999999999634e-02,-4.255734997881046461e-05
7.599999999999999811e-02,-4.022076582429261015e-05
7.799999999999999989e-02,-3.781986010858566391e-05
8.000000000000000167e-02,-3.542008147564364482e-05
8.200000000000000344e-02,-3.308857493860127715e-05
