t_s,sinal_filtrado
0.000000000000000000e+00,-9.724997393469374740e-05
2.000000000000000042e-03,-9.031868307328495848e-05
4.000000000000000083e-03,-8.288319479684012935e-05
6.000000000000000125e-03,-7.513654276435442335e-05
8.000000000000000167e-03,-6.726839183220923704e-05
1.000000000000000021e-02,-5.945989701228276530e-05
1.200000000000000025e-02,-5.187952918421364989e-05
1.400000000000000029e-02,-4.467979783931780915e-05
1.600000000000000033e-02,-3.799469978466015954e-05
1.799999999999999864e-02,-3.193773265203930686e-05
2.000000000000000042e-02,-2.660040787486810614e-05
2.199999999999999872e-02,-2.205131183558417570e-05
2.400000000000000050e-02,-1.833581826423557091e-05
2.599999999999999881e-02,-1.547651017002869177e-05
2.800000000000000058e-02,-1.347425032702402081e-05
2.999999999999999889e-02,-1.230971450209869665e-05
3.200000000000000067e-02,-1.194514091536041810e-05
3.400000000000000244e-02,-1.232609019087844921e-05
3.599999999999999728e-02,-1.338314096921979795e-05
3.799999999999999906e-02,-1.503360705109231113e-05
4.000000000000000083e-02,-1.718346901335931649e-05
4.200000000000000261e-02,-1.972970747830343302e-05
4.399999999999999745e-02,-2.256310792222153105e-05
4.599999999999999922e-02,-2.557143965398869776e-05
4.800000000000000100e-02,-2.864278202624519765e-05
5.000000000000000278e-02,-3.166874478316744661e-05
5.199999999999999761e-02,-3.454741353357590580e-05
5.399999999999999939e-02,-3.718598841886057736e-05
5.600000000000000117e-02,-3.950318496975500519e-05
5.800000000000000294e-02,-4.143146409756391066e-05
5.999999999999999778e-02,-4.291905347707885806e-05
6.199999999999999956e-02,-4.393158507103896290e-05
6.400000000000000133e-02,-4.445309495031323296e-05
6.600000000000000311e-02,-4.448616401179039632e-05
6.800000000000000488e-02,-4.405110655634136233e-05
7.000000000000000666e-02,-4.318427072993976702e-05
7.199999999999999456e-02,-4.193561858379289632e-05
7.399999999999999634e-02,-4.036575596532791110e-05
7.599999999999999811e-02,-3.854250954502478341e-05
7.799999999999999989e-02,-3.653708556937326882e-05
8.000000000000000167e-02,-3.441986687072728370e-05
8.200000000000000344e-02,-3.225601816755954270e-05
8.400000000000000522e-02,-3.010122108645494853e-05
8.599999999999999312e-02,-2.799797710503972809e-05
8.799999999999999489e-02,-2.597294075073143304e-05
8.999999999999999667e-02,-2.403565185708792654e-05
9.199999999999999845e-02,-2.217884163705889790e-05
9.400000000000000022e-02,-2.038025050974501235e-05
9.600000000000000200e-02,-1.860569790570903935e-05
9.800000000000000377e-02,-1.681305021690301997e-05
1.000000000000000056e-01,-1.495673651349182384e-05
1.019999999999999934e-01,-1.299248818434148645e-05
1.039999999999999952e-01,-1.088196785759551068e-05
1.059999999999999970e-01,-8.596921686361206941e-06
1.079999999999999988e-01,-6.122497147114274233e-06
1.100000000000000006e-01,-3.459449343135456050e-06
1.120000000000000023e-01,-6.250980392493631506e-07
1.140000000000000041e-01,2.346946140468114885e-06
1.160000000000000059e-01,5.408138983290616583e-06
1.179999999999999938e-01,8.497228558912335990e-06
1.199999999999999956e-01,1.154314296598722322e-05
1.219999999999999973e-01,1.446839509550393710e-05
1.239999999999999991e-01,1.719291299430462998e-05
1.260000000000000009e-01,1.963818391827112654e-05
1.280000000000000027e-01,2.173149722140745523e-05
1.300000000000000044e-01,2.340995400118635298e-05
1.320000000000000062e-01,2.462386991102131099e-05
1.340000000000000080e-01,2.533926679318691046e-05
1.360000000000000098e-01,2.553929250428682433e-05
1.380000000000000115e-01,2.522456731263045750e-05
1.400000000000000133e-01,2.441259143632184596e-05
1.419999999999999873e-01,2.313644431305318034e-05
1.439999999999999891e-01,2.144304407152462238e-05
1.459999999999999909e-01,1.939119340464044516e-05
1.479999999999999927e-01,1.704951703290358080e-05
1.499999999999999944e-01,1.449424741535913585e-05
1.519999999999999962e-01,1.180672084596879233e-05
1.539999999999999980e-01,9.070461826502265160e-06
1.559999999999999998e-01,6.367855286895404728e-06
1.580000000000000016e-01,3.776577935794075686e-06
1.600000000000000033e-01,1.366104230801780664e-06
1.620000000000000051e-01,-8.053490132867790597e-07
1.640000000000000069e-01,-2.693150811723968247e-06
1.660000000000000087e-01,-4.267736489738796894e-06
1.680000000000000104e-01,-5.515299727246832087e-06
1.700000000000000122e-01,-6.437858117204145339e-06
1.719999999999999862e-01,-7.052832737727442172e-06
1.739999999999999880e-01,-7.392160997260727756e-06
1.759999999999999898e-01,-7.500828302468960427e-06
1.779999999999999916e-01,-7.434657404955115420e-06
1.799999999999999933e-01,-7.257279242512213359e-06
1.819999999999999951e-01,-7.036387343989670352e-06
1.839999999999999969e-01,-6.839560194420313780e-06
1.859999999999999987e-01,-6.730036785014523090e-06
1.880000000000000004e-01,-6.762809730484644518e-06
1.900000000000000022e-01,-6.981282661217269107e-06
1.920000000000000040e-01,-7.414598435058105251e-06
1.940000000000000058e-01,-8.075659540660334827e-06
1.960000000000000075e-01,-8.959868941292756884e-06
1.980000000000000093e-01,-1.004469611261936915e-05
2.000000000000000111e-01,-1.129024795693242893e-05
2.020000000000000129e-01,-1.264102125497673486e-05
2.039999999999999869e-01,-1.402890271422311181e-05
2.059999999999999887e-01,-1.537729751118857251e-05
2.079999999999999905e-01,-1.660607546637410636e-05
2.099999999999999922e-01,-1.763689140931179127e-05
2.119999999999999940e-01,-1.839840309314926838e-05
2.139999999999999958e-01,-1.883097583011404493e-05
2.159999999999999976e-01,-1.889058168382733326e-05
2.179999999999999993e-01,-1.855170313281084824e-05
2.200000000000000011e-01,-1.780909329885802100e-05
2.220000000000000029e-01,-1.667824842129296501e-05
2.240000000000000047e-01,-1.519448145755891038e-05
2.260000000000000064e-01,-1.341059700615085183e-05
2.280000000000000082e-01,-1.139334222642891833e-05
2.300000000000000100e-01,-9.218989095133183325e-06
2.320000000000000118e-01,-6.968532946101334089e-06
2.340000000000000135e-01,-4.723029754523299994e-06
2.359999999999999876e-01,-2.559521485956858524e-06
2.379999999999999893e-01,-5.478306918538256432e-07
2.399999999999999911e-01,1.251705898117976469e-06
2.419999999999999929e-01,2.789677613755754718e-06
2.439999999999999947e-01,4.028414115104433978e-06
2.459999999999999964e-01,4.942339716709638869e-06
2.479999999999999982e-01,5.517918910790070323e-06
2.500000000000000000e-01,5.753142459724721381e-06
2.520000000000000018e-01,5.656497805988863902e-06
2.540000000000000036e-01,5.245468880460747581e-06
2.560000000000000053e-01,4.544755379972396483e-06
2.580000000000000071e-01,3.584504623504929559e-06
2.600000000000000089e-01,2.398854380399114007e-06
2.620000000000000107e-01,1.024984460651855476e-06
2.640000000000000124e-01,-4.972992423929184567e-07
2.660000000000000142e-01,-2.125610449619542477e-06
2.680000000000000160e-01,-3.814944041664475835e-06
2.700000000000000178e-01,-5.517848456341060719e-06
2.720000000000000195e-01,-7.184998238678874452e-06
2.740000000000000213e-01,-8.766194953082901480e-06
2.760000000000000231e-01,-1.021169583262082106e-05
2.780000000000000249e-01,-1.147373732380578066e-05
2.800000000000000266e-01,-1.250818161615794556e-05
2.819999999999999729e-01,-1.327629561506174968e-05
2.839999999999999747e-01,-1.374668631357481756e-05
2.859999999999999765e-01,-1.389733102804392567e-05
2.879999999999999782e-01,-1.371749907715376898e-05
2.899999999999999800e-01,-1.320924881759818996e-05
2.919999999999999818e-01,-1.238817203769876611e-05
2.939999999999999836e-01,-1.128316408874492311e-05
2.959999999999999853e-01,-9.935184302820116985e-06
2.979999999999999871e-01,-8.395170759806983555e-06
2.999999999999999889e-01,-6.721419174438492041e-06
3.019999999999999907e-01,-4.976777534495346953e-06
3.039999999999999925e-01,-3.225934777908797054e-06
3.059999999999999942e-01,-1.532934836103466685e-06
3.079999999999999960e-01,4.109480561378211539e-08
3.099999999999999978e-01,1.440073510277900106e-06
3.119999999999999996e-01,2.614984475625464442e-06
3.140000000000000013e-01,3.525692776110621681e-06
3.160000000000000031e-01,4.142390478732704580e-06
3.180000000000000049e-01,4.446506371869543736e-06
3.200000000000000067e-01,4.431027523085808257e-06
3.220000000000000084e-01,4.100314453743473178e-06
3.240000000000000102e-01,3.469563766316147269e-06
3.260000000000000120e-01,2.564037150154448637e-06
3.280000000000000138e-01,1.418061547086757542e-06
3.300000000000000155e-01,7.369711263122386543e-08
3.320000000000000173e-01,-1.421049336540541126e-06
3.340000000000000191e-01,-3.014495438468464987e-06
3.360000000000000209e-01,-4.653911431241036027e-06
3.380000000000000226e-01,-6.288228970881342066e-06
3.400000000000000244e-01,-7.870476111537179532e-06
3.420000000000000262e-01,-9.359608715841012756e-06
3.439999999999999725e-01,-1.072153499958480275e-05
3.459999999999999742e-01,-1.192932268205261449e-05
3.479999999999999760e-01,-1.296277393839801053e-05
3.499999999999999778e-01,-1.380767932878236826e-05
3.519999999999999796e-01,-1.445506707485377669e-05
3.539999999999999813e-01,-1.490064903744407567e-05
3.559999999999999831e-01,-1.514448840777019646e-05
3.579999999999999849e-01,-1.519076667054608628e-05
3.599999999999999867e-01,-1.504748299153643968e-05
3.619999999999999885e-01,-1.472599507578319477e-05
3.639999999999999902e-01,-1.424045647569046065e-05
3.659999999999999920e-01,-1.360733149779150099e-05
3.679999999999999938e-01,-1.284519775996807087e-05
3.699999999999999956e-01,-1.197495662832379139e-05
3.719999999999999973e-01,-1.102040766275803734e-05
3.739999999999999991e-01,-1.000898859230844993e-05
3.760000000000000009e-01,-8.972410776630199264e-06
3.780000000000000027e-01,-7.946945659689337246e-06
3.800000000000000044e-01,-6.973186421352905453e-06
3.820000000000000062e-01,-6.095157870448711848e-06
3.840000000000000080e-01,-5.358677402392374478e-06
3.860000000000000098e-01,-4.808936931692961947e-06
3.880000000000000115e-01,-4.487411394339301123e-06
3.900000000000000133e-01,-4.428366921359499837e-06
3.920000000000000151e-01,-4.655374180883575932e-06
3.940000000000000169e-01,-5.178285801564741103e-06
3.960000000000000187e-01,-5.991103235744971507e-06
3.980000000000000204e-01,-7.071048939479126206e-06
4.000000000000000222e-01,-8.378990667602962813e-06
4.020000000000000240e-01,-9.861161872062084439e-06
4.040000000000000258e-01,-1.145193233926970809e-05
4.060000000000000275e-01,-1.307726730396938665e-05
4.079999999999999738e-01,-1.465851308455970831e-05
4.099999999999999756e-01,-1.611624709531939771e-05
4.119999999999999774e-01,-1.737405078486802370e-05
4.139999999999999791e-01,-1.836211174320806502e-05
