t_s,sinal_filtrado,janela
0.0,-1.2765082230838352e-05,1
0.002,4.6752440876923885e-06,1
0.004,2.195812076268969e-05,1
0.006,3.883631448221316e-05,1
0.008,5.5083711249425595e-05,1
0.01,7.050192524560285e-05,1
0.012,8.492510066180093e-05,1
0.014,9.82227462698428e-05,1
0.016,0.00011030066652631146,1
0.018,0.00012110022503043408,1
0.02,0.00013059625322442745,1
0.022,0.0001387938931161766,1
0.024,0.00014572457579789495,1
0.026,0.00015144125828422258,1
0.028,0.00015601303191239624,1
0.03,0.00015951928984237425,1
0.032,0.00016204376141309466,1
0.034,0.0001636688240253025,1
0.036,0.00016447052601726347,1
0.038,0.00016451466258074018,1
0.04,0.0001638540653543554,1
0.042,0.00016252707310492547,1
0.044,0.00016055702674260547,1
0.046,0.0001579526090656514,1
0.048,0.00015470890463739422,1
0.05,0.00015080913231092815,1
0.052,0.00014622703894350575,1
0.054,0.00014092989750411243,1
0.056,0.0001348819423349703,1
0.058,0.0001280479693088404,1
0.06,0.00012039680112542354,1
0.062,0.00011190438907167357,1
0.064,0.00010255645804200963,1
0.066,9.235074020664547e-05,1
0.068,8.129892139112611e-05,1
0.07,6.942840138937858e-05,1
0.072,5.6783850783622326e-05,1
0.07399999999999998,4.342839162101184e-05,1
0.076,2.9444122809700317e-05,1
0.078,1.493171969889414e-05,1
0.08,8.970928956272601e-09,1
0.082,-1.5191681525487643e-05,1
0.084,-3.052635426005318e-05,1
0.08599999999999998,-4.5843364933580216e-05,1
0.08799999999999998,-6.098703054850949e-05,1
0.08999999999999998,-7.580146873276224e-05,1
0.092,-9.013435850500712e-05,1
0.094,-0.00010384063831439535,1
0.096,-0.00011678604100663413,1
0.098,-0.00012885025041396448,1
0.1,-0.0001399294049760406,1
0.102,-0.00014993772775686098,1
0.104,-0.0001588082199213082,1
0.106,-0.0001664925522720913,1
0.108,-0.00017296044010927416,1
0.11,-0.00017819881985241292,1
0.112,-0.00018221104926261007,1
0.114,-0.00018501618379244568,1
0.116,-0.00018664822638392143,1
0.118,-0.00018715517411506955,1
0.12,-0.00018659771872020847,1
0.122,-0.00018504757904860996,1
0.124,-0.00018258558741563523,1
0.126,-0.00017929973636734108,1
0.128,-0.0001752833658784618,1
0.13,-0.00017063354920702123,1
0.132,-0.0001654496000878138,1
0.134,-0.0001598315686332111,1
0.136,-0.0001538786434542404,1
0.138,-0.0001476874600149193,1
0.14,-0.00014135033483575477,1
0.142,-0.00013495339235777522,1
0.144,-0.0001285745121707589,1
0.146,-0.00012228108454680482,1
0.148,-0.00011612772194524662,1
0.15,-0.00011015424984009218,1
0.152,-0.00010438438746238384,1
0.154,-9.882547172894164e-05,1
0.156,-9.346939703323288e-05,1
0.158,-8.829470927786054e-05,1
0.16,-8.326957503756877e-05,1
0.162,-7.835519903535481e-05,1
0.164,-7.350922179222872e-05,1
0.166,-6.86887063664262e-05,1
0.168,-6.385249333192857e-05,1
0.17,-5.896290714047654e-05,1
0.172,-5.398696093657034e-05,1
0.174,-4.889727141053348e-05,1
0.176,-4.3672845967774746e-05,1
0.178,-3.829978355830692e-05,1
0.18,-3.277181280185954e-05,1
0.182,-2.709054100758734e-05,1
0.184,-2.126532769063516e-05,1
0.186,-1.5312798343299846e-05,1
0.188,-9.256115004312596e-06,1
0.19,-3.1241535520370007e-06,1
0.192,3.049324743340237e-06,1
0.194,9.226543215270864e-06,1
0.196,1.5366760068637503e-05,1
0.198,2.142764943798897e-05,1
0.2,2.7367072985904884e-05,1
0.202,3.3145155421964194e-05,1
0.204,3.8726444504186336e-05,1
0.206,4.408187315704192e-05,1
0.208,4.91902722957671e-05,1
0.21,5.4039290120385454e-05,1
0.212,5.862570097953543e-05,1
0.214,6.295516586229911e-05,1
0.216,6.704149975696881e-05,1
0.218,7.090543650412954e-05,1
0.22,7.457283962478608e-05,1
0.222,7.80723540925327e-05,1
0.224,8.143262388992012e-05,1
0.226,8.467934865572681e-05,1
0.228,8.78325482842849e-05,1
0.23,9.090440326171009e-05,1
0.232,9.389793600085229e-05,1
0.234,9.680663091088829e-05,1
0.236,9.961492133661315e-05,1
0.238,0.00010229935888569416,1
0.24,0.00010483025525459913,1
0.242,0.00010717363597563004,1
0.244,0.00010929341236872855,1
0.246,0.00011115369188269604,1
0.248,0.0001127210859211262,1
0.25,0.00011396679275961829,1
0.252,0.00011486821173526536,1
0.254,0.00011540991677425012,1
0.256,0.00011558395468452847,1
0.258,0.00011538958433336405,1
0.26,0.00011483268697892404,1
0.262,0.0001139251121610132,1
0.264,0.00011268415536563116,1
0.266,0.00011113222048446207,1
0.268,0.00010929657591681611,1
0.27,0.00010720903697580252,1
0.272,0.0001049054186373488,1
0.274,0.00010242468196620636,1
0.276,9.98078163033636e-05,1
0.278,9.70966227122014e-05,1
0.28,9.433264109158867e-05,1
0.282,9.155644422797808e-05,1
0.284,8.880740020377286e-05,1
0.286,8.612383557417521e-05,1
0.288,8.354340293273379e-05,1
0.29,8.110342635368776e-05,1
0.292,7.884105412242474e-05,1
0.294,7.679312180714318e-05,1
0.296,7.499566116397942e-05,1
0.298,7.348298695495904e-05,1
0.3,7.228631005722017e-05,1
0.302,7.143190289876602e-05,1
0.304,7.093897183047919e-05,1
0.306,7.08175221443116e-05,1
0.308,7.106657849783382e-05,1
0.31,7.167310723035517e-05,1
0.312,7.26118768758808e-05,1
0.314,7.384632686200015e-05,1
0.316,7.533034105796911e-05,1
0.318,7.701067991646003e-05,1
0.32,7.88297386628832e-05,1
0.322,8.072828929295373e-05,1
0.324,8.264793528013258e-05,1
0.326,8.453313627459317e-05,1
0.328,8.633279562076473e-05,1
0.33,8.800148729616144e-05,1
0.332,8.950039706594961e-05,1
0.334,9.079798633288073e-05,1
0.336,9.187032036530233e-05,1
0.338,9.270099357979322e-05,1
0.34,9.328064625139539e-05,1
0.342,9.360616063542384e-05,1
0.344,9.3679684457292e-05,1
0.346,9.350761221880407e-05,1
0.348,9.309957904357039e-05,1
0.35,9.246746064176381e-05,1
0.352,9.162439058010442e-05,1
0.354,9.058389800542627e-05,1
0.356,8.935936115823894e-05,1
0.358,8.796398098338435e-05,1
0.36,8.641137884287097e-05,1
0.362,8.471675597851116e-05,1
0.364,8.289839024110049e-05,1
0.366,8.097914206827907e-05,1
