t_s,sinal_filtrado,janela
0.0,-7.972219787785547e-06,1
0.002,-1.2371076564137733e-05,1
0.004,-1.6511748672550683e-05,1
0.006,-2.03610209205687e-05,1
0.008,-2.389383756557417e-05,1
0.01,-2.7094487471391312e-05,1
0.012,-2.9957365481775267e-05,1
0.014,-3.248719273398116e-05,1
0.016,-3.4698617580536426e-05,1
0.018,-3.6615196034709794e-05,1
0.02,-3.826784007533215e-05,1
0.022,-3.9692887396359295e-05,1
0.024,-4.092996839208688e-05,1
0.026,-4.2019827407203914e-05,1
0.028,-4.300220852583656e-05,1
0.03,-4.391386509631964e-05,1
0.032,-4.478672905262348e-05,1
0.034,-4.5646297132660974e-05,1
0.036,-4.651033218122577e-05,1
0.038,-4.7387992138594335e-05,1
0.04,-4.827946415131045e-05,1
0.042,-4.91761147375161e-05,1
0.044,-5.00611030700167e-05,1
0.046,-5.091036702899104e-05,1
0.048,-5.169389130410056e-05,1
0.05,-5.2377200766545326e-05,1
0.052,-5.292306734320001e-05,1
0.054,-5.329343886048727e-05,1
0.056,-5.3451574196878176e-05,1
0.058,-5.336431281147658e-05,1
0.06,-5.300434649922688e-05,1
0.062,-5.235232119220864e-05,1
0.064,-5.1398592282167326e-05,1
0.066,-5.014449191812101e-05,1
0.068,-4.860302494284607e-05,1
0.07,-4.67989628471685e-05,1
0.072,-4.476833658088753e-05,1
0.07399999999999998,-4.2557349978810465e-05,1
0.076,-4.022076582429261e-05,1
0.078,-3.7819860108585664e-05,1
0.08,-3.5420081475643645e-05,1
0.082,-3.308857493860128e-05,1
0.084,-3.0891727405789024e-05,1
0.08599999999999998,-2.889287365282508e-05,1
0.08799999999999998,-2.715027171450152e-05,1
0.08999999999999998,-2.5715418770251047e-05,1
0.092,-2.4631733739614743e-05,1
0.094,-2.393358782899182e-05,1
0.096,-2.3645636406864407e-05,1
0.098,-2.378241004288544e-05,1
0.1,-2.434814762436458e-05,1
0.102,-2.5336865461633328e-05,1
0.104,-2.6732637634389795e-05,1
0.106,-2.8510040402747557e-05,1
0.108,-3.0634722457611407e-05,1
0.11,-3.306410402331805e-05,1
0.112,-3.574824638592401e-05,1
0.114,-3.863093654700608e-05,1
0.116,-4.165099918583772e-05,1
0.118,-4.4743803002870166e-05,1
0.12,-4.7842891171863376e-05,1
0.122,-5.088164635371831e-05,1
0.124,-5.3794907308626925e-05,1
0.126,-5.6520489728692414e-05,1
0.128,-5.900061357422257e-05,1
0.13,-6.11832714820658e-05,1
0.132,-6.302356591460622e-05,1
0.134,-6.448500306777617e-05,1
0.136,-6.554068158758303e-05,1
0.138,-6.617427230851887e-05,1
0.14,-6.638066347445262e-05,1
0.142,-6.616615549728802e-05,1
0.144,-6.554813746747923e-05,1
0.146,-6.4554256768435e-05,1
0.148,-6.322117738232137e-05,1
0.15,-6.159308031861431e-05,1
0.152,-5.972007438310064e-05,1
0.154,-5.765666330748126e-05,1
0.156,-5.5460373231273904e-05,1
0.158,-5.3190596895229773e-05,1
0.16,-5.0907667563965565e-05,1
0.162,-4.8672144491398526e-05,1
0.164,-4.65442716202283e-05,1
0.166,-4.458354677953023e-05,1
0.168,-4.284829546510543e-05,1
0.17,-4.1395092054056393e-05,1
0.172,-4.027784722221392e-05,1
0.174,-3.9546415506240726e-05,1
0.176,-3.92446769265156e-05,1
0.178,-3.940818607420556e-05,1
0.18,-4.006161399821321e-05,1
0.182,-4.1216285892986e-05,1
0.184,-4.286812190299802e-05,1
0.186,-4.4996233800626565e-05,1
0.188,-4.756234319533221e-05,1
0.19,-5.05110849037674e-05,1
0.192,-5.3771153403821605e-05,1
0.194,-5.7257161057463696e-05,1
0.196,-6.0872034874546416e-05,1
0.198,-6.450980018716688e-05,1
0.2,-6.805865958858546e-05,1
0.202,-7.140432182309628e-05,1
0.204,-7.443353508169852e-05,1
0.206,-7.703774055983904e-05,1
0.208,-7.911671523924388e-05,1
0.21,-8.058204518675654e-05,1
0.212,-8.13602774098523e-05,1
0.214,-8.139563641114092e-05,1
0.216,-8.065223903817004e-05,1
0.218,-7.911577090819876e-05,1
0.22,-7.679458578034633e-05,1
0.222,-7.372016397366905e-05,1
0.224,-6.99468436246901e-05,1
0.226,-6.555074786572671e-05,1
0.228,-6.0627884012782295e-05,1
0.23,-5.5291476114034655e-05,1
0.232,-4.96686787340509e-05,1
0.234,-4.389686682901377e-05,1
0.236,-3.811967693120248e-05,1
0.238,-3.2482903504920685e-05,1
0.24,-2.7130284259826225e-05,1
0.242,-2.2199190127302525e-05,1
0.244,-1.7816283866668375e-05,1
0.246,-1.4093300765576565e-05,1
0.248,-1.1123187297255559e-05,1
0.25,-8.976863639142435e-06,1
0.252,-7.700838504878352e-06,1
0.254,-7.315818597669384e-06,1
0.256,-7.81635014469479e-06,1
0.258,-9.171430009596967e-06,1
0.26,-1.1325951588036461e-05,1
0.262,-1.4202832753350697e-05,1
0.264,-1.7705719413917226e-05,1
0.266,-2.172223754466096e-05,1
0.268,-2.612782002456403e-05,1
0.27,-3.079011992571847e-05,1
0.272,-3.5573938811059653e-05,1
0.274,-4.0346479133889854e-05,1
0.276,-4.4982618675381945e-05,1
0.278,-4.9369843003516895e-05,1
0.28,-5.341247822326629e-05,1
0.282,-5.703492893112192e-05,1
0.284,-6.018371630545605e-05,1
0.286,-6.282820581090295e-05,1
0.288,-6.496000517221289e-05,1
0.29,-6.659110149359991e-05,1
0.292,-6.775089268186505e-05,1
0.294,-6.848235052287665e-05,1
0.296,-6.883762249781126e-05,1
0.298,-6.887342219959e-05,1
0.3,-6.864656124566945e-05,1
0.302,-6.820993763587859e-05,1
0.304,-6.760922676873329e-05,1
0.306,-6.688043464701591e-05,1
0.308,-6.604838028010373e-05,1
0.31,-6.512609343370383e-05,1
0.312,-6.411506594090698e-05,1
0.314,-6.300628266301256e-05,1
0.316,-6.17819504705827e-05,1
0.318,-6.0417802136059744e-05,1
0.32,-5.88857791015136e-05,1
0.322,-5.715683763133937e-05,1
0.324,-5.520361786231281e-05,1
0.326,-5.300276815020431e-05,1
0.328,-5.05368025773266e-05,1
0.33,-4.779545750887829e-05,1
0.332,-4.477658155675394e-05,1
0.334,-4.148662842355596e-05,1
0.336,-3.7940816609713165e-05,1
0.338,-3.416297880478331e-05,1
0.34,-3.018507413355483e-05,1
0.342,-2.604632039021777e-05,1
0.344,-2.1791944542736873e-05,1
0.346,-1.747162863960114e-05,1
0.348,-1.3137799478932217e-05,1
0.35,-8.843939412642275e-06,1
0.352,-4.6430745649991585e-06,1
0.354,-5.865359454130793e-07,1
0.356,3.276993393983708e-06,1
0.358,6.902208642714755e-06,1
0.36,1.0247789023629916e-05,1
0.362,1.3276947565763545e-05,1
0.364,1.5957923157450606e-05,1
0.366,1.826436160433283e-05,1
0.368,2.017553932973977e-05,1
0.37,2.167643568838364e-05,1
0.372,2.275771573718656e-05,1
0.374,2.3415711186746764e-05,1
0.376,2.36524678137744e-05,1
0.378,2.3475867237435183e-05,1
0.38,2.2899760606904688e-05,1
0.382,2.194401487556438e-05,1
0.384,2.063438886857384e-05,1
0.386,1.9002209204191096e-05,1
0.388,1.708387463677491e-05,1
0.39,1.4920258824505232e-05,1
0.392,1.2556089119501058e-05,1
0.394,1.0039341621630066e-05,1
0.396,7.420623544091272e-06,1
0.398,4.752456414136664e-06,1
0.4,2.0883685327291585e-06,1
0.402,-5.182444728224962e-07,1
0.404,-3.0154537835351206e-06,1
0.406,-5.354214319233798e-06,1
0.408,-7.489708301441056e-06,1
0.41,-9.382465288950268e-06,1
0.412,-1.0999164664240892e-05,1
0.414,-1.2313103034173392e-05,1
0.416,-1.3304364311401728e-05,1
0.418,-1.3959745595908264e-05,1
0.42,-1.427248406976677e-05,1
0.422,-1.4241828532213914e-05,1
0.424,-1.387251555626218e-05,1
0.426,-1.3174230018880024e-05,1
0.428,-1.216113161922251e-05,1
0.43,-1.0851507343834667e-05,1
0.432,-9.267575043030045e-06,1
0.434,-7.435426856183584e-06,1
0.436,-5.385068239846137e-06,1
0.438,-3.150480581936133e-06,1
0.44,-7.69617340369922e-07,1
0.442,1.7157529330741588e-06,1
0.444,4.260405498216707e-06,1
0.446,6.8162034622426175e-06,1
0.448,9.332754090211073e-06,1
0.45,1.1758100122634064e-05,1
0.452,1.4039422037527227e-05,1
0.454,1.6123801757094002e-05,1
0.456,1.7959146700868093e-05,1
0.458,1.94953655035063e-05,1
0.46,2.0685822029397045e-05,1
0.462,2.1489001057189435e-05,1
0.464,2.1870242319065772e-05,1
0.466,2.1803373347520825e-05,1
0.468,2.127209892050022e-05,1
0.47,2.027106479936194e-05,1
0.472,1.880657822403013e-05,1
0.474,1.6897009670737465e-05,1
0.476,1.4572897715994972e-05,1
0.478,1.1876733916629072e-05,1
0.48,8.862352336310925e-06,1
0.482,5.593829173524718e-06,1
0.484,2.1438264310040043e-06,1
0.486,-1.4086201599532167e-06,1
0.488,-4.980782617893669e-06,1
0.49,-8.489224173100028e-06,1
0.492,-1.1852873617148132e-05,1
0.494,-1.4995991593464541e-05,1
0.496,-1.7850880391973123e-05,1
0.498,-2.0360238143824784e-05,1
0.5,-2.2479080827868056e-05,1
0.502,-2.4176153666286456e-05,1
0.504,-2.5434745578028567e-05,1
0.506,-2.625282849457016e-05,1
0.508,-2.6642484894953607e-05,1
0.51,-2.662865879615153e-05,1
0.512,-2.62473390124566e-05,1
0.514,-2.554332755290167e-05,1
0.516,-2.4567751343129687e-05,1
0.518,-2.3375452220359076e-05,1
0.52,-2.202235449307476e-05,1
0.522,-2.056288256340377e-05,1
0.524,-1.9047507686546912e-05,1
0.526,-1.7520548661125916e-05,1
0.528,-1.6018404405626646e-05,1
0.53,-1.4568408402161992e-05,1
0.532,-1.3188443395374605e-05,1
0.534,-1.188735617564539e-05,1
0.536,-1.0666097876333648e-05,1
0.538,-9.519409880423984e-06,1
0.54,-8.43780219957365e-06,1
0.542,-7.4095554306000835e-06,1
0.544,-6.422528903901112e-06,1
0.546,-5.4656526920567935e-06,1
0.548,-4.530075505350078e-06,1
0.55,-3.6099994361645262e-06,1
0.552,-2.7032436039291427e-06,1
0.554,-1.811548473180248e-06,1
0.556,-9.405872127154985e-07,1
0.558,-9.963261484143424e-08,1
0.56,6.991316677628914e-07,1
0.562,1.4415831922458108e-06,1
0.564,2.1127684807476628e-06,1
0.566,2.697976077496111e-06,1
0.568,3.1836428463915966e-06,1
0.57,3.5580413281012785e-06,1
0.572,3.811781736429929e-06,1
0.574,3.938208350714334e-06,1
0.576,3.933744907270448e-06,1
0.578,3.798162497998491e-06,1
0.58,3.5346675703935926e-06,1
0.582,3.149695409989624e-06,1
0.584,2.6523553489983313e-06,1
0.586,2.0535703739101654e-06,1
0.588,1.365037388649109e-06,1
0.59,5.98170037117064e-07,1
0.592,-2.3684193099075327e-07,1
0.594,-1.131799995339147e-06,1
0.596,-2.0811121260350473e-06,1
0.598,-3.082302649453616e-06,1
0.6,-4.136422006773295e-06,1
0.602,-5.248286944940825e-06,1
0.604,-6.426425509586803e-06,1
0.606,-7.682602592248275e-06,1
0.608,-9.030870054619449e-06,1
0.61,-1.0486195129444504e-05,1
0.612,-1.2062822368622656e-05,1
0.614,-1.377257322926034e-05,1
0.616,-1.5623271413029027e-05,1
0.618,-1.7617423187033346e-05,1
0.62,-1.975121509945733e-05,1
0.622,-2.2013849137275665e-05,1
0.624,-2.4387238809094555e-05,1
0.626,-2.6846131001718544e-05,1
0.628,-2.9358751409362967e-05,1
0.63,-3.188804352440696e-05,1
0.632,-3.439347237436019e-05,1
0.634,-3.683323372736216e-05,1
0.636,-3.916660372115296e-05,1
0.638,-4.13561260033312e-05,1
0.64,-4.336938008725453e-05,1
0.642,-4.518018954958525e-05,1
0.644,-4.6769266352371696e-05,1
0.646,-4.812439264128612e-05,1
0.648,-4.9240276496941055e-05,1
0.65,-5.0118181404377194e-05,1
0.652,-5.076535329472216e-05,1
0.654,-5.119420560747419e-05,1
0.656,-5.142121645204984e-05,1
0.658,-5.146555306378185e-05,1
0.66,-5.134753448626284e-05,1
0.662,-5.108711529747132e-05,1
0.664,-5.0702574990972224e-05,1
0.666,-5.020952784136334e-05,1
0.668,-4.962026715117317e-05,1
0.67,-4.894337582034355e-05,1
0.672,-4.818350642824612e-05,1
0.674,-4.734126872398934e-05,1
0.676,-4.641324136821409e-05,1
0.678,-4.539220075934484e-05,1
0.68,-4.426768328397139e-05,1
0.682,-4.302695120417724e-05,1
0.684,-4.16563387663085e-05,1
0.686,-4.014285420613648e-05,1
0.688,-3.847584553829399e-05,1
0.69,-3.664853237367292e-05,1
0.692,-3.46592617603067e-05,1
0.694,-3.251242810323832e-05,1
0.696,-3.021906231047136e-05,1
0.698,-2.7797119139585043e-05,1
0.7,-2.527147287496156e-05,1
0.702,-2.267358751989765e-05,1
0.704,-2.004079391532161e-05,1
0.706,-1.741512255259925e-05,1
0.708,-1.4841722688186776e-05,1
0.71,-1.2367014223370832e-05,1
0.712,-1.0036803272390597e-05,1
0.714,-7.894591852541854e-06,1
0.716,-5.980223507008289e-06,1
0.718,-4.3288742305280565e-06,1
0.72,-2.970283947087957e-06,1
0.7219999999999999,-1.9280818072400334e-06,1
0.7239999999999999,-1.21911144121167e-06,1
0.7259999999999999,-8.527811447784456e-07,1
0.728,-8.305772573519886e-07,1
0.73,-1.145919390216422e-06,1
0.732,-1.784484212957401e-06,1
0.734,-2.7250112415299015e-06,1
0.736,-3.940485787449232e-06,1
0.738,-5.3995263942336764e-06,1
0.74,-7.067814369095445e-06,1
0.742,-8.909470420211513e-06,1
0.744,-1.0888351306069287e-05,1
0.746,-1.2969256992874222e-05,1
0.748,-1.5118994128404156e-05,1
0.75,-1.7307170930098325e-05,1
0.752,-1.950656775314628e-05,1
0.754,-2.1692982239551574e-05,1
0.756,-2.3844571118813704e-05,1
0.758,-2.594083758463028e-05,1
0.76,-2.7961484353581357e-05,1
0.762,-2.988534975378204e-05,1
0.764,-3.1689586454950155e-05,1
0.766,-3.334916385478016e-05,1
0.768,-3.483671187464621e-05,1
0.77,-3.6122706003870346e-05,1
0.772,-3.7176021438467366e-05,1
0.774,-3.796491308901389e-05,1
0.776,-3.845844979338516e-05,1
0.778,-3.862833154224687e-05,1
0.78,-3.845089524676116e-05,1
0.782,-3.79090356014615e-05,1
0.784,-3.6993772574118045e-05,1
0.786,-3.5705281744982804e-05,1
0.788,-3.405333347885663e-05,1
0.79,-3.205721267833717e-05,1
0.792,-2.974526246064914e-05,1
0.794,-2.7154184714274967e-05,1
0.796,-2.4328156060833088e-05,1
0.798,-2.1317735689895037e-05,1
0.8,-1.8178508675294043e-05,1
0.802,-1.496944682514454e-05,1
0.804,-1.1751057019969887e-05,1
0.806,-8.583475299517816e-06,1
0.808,-5.5247075498203285e-06,1
0.81,-2.629193647491492e-06,1
0.812,5.321219652127655e-08,1
0.8139999999999998,2.4778711208936205e-06,1
0.8159999999999998,4.605739383151256e-06,1
0.8179999999999998,6.403696951725872e-06,1
0.8199999999999998,7.844991279401389e-06,1
0.8219999999999998,8.909850590028214e-06,1
0.8239999999999998,9.586189210298745e-06,1
0.8259999999999998,9.870243787210478e-06,1
0.8279999999999998,9.766978172278195e-06,1
0.8299999999999998,9.290166782975411e-06,1
0.8319999999999999,8.462167507487503e-06,1
0.8339999999999999,7.313465346574999e-06,1
0.8359999999999999,5.882065300127516e-06,1
0.8379999999999999,4.212750943143064e-06,1
0.8399999999999999,2.356161505864092e-06,1
0.8419999999999999,3.6762324741463997e-07,1
0.8439999999999999,-1.6942925849240748e-06,1
0.8459999999999999,-3.769444176407004e-06,1
0.8479999999999999,-5.79791587591786e-06,1
0.8499999999999999,-7.721793060822412e-06,1
0.8519999999999999,-9.486790518154665e-06,1
0.854,-1.104366289738846e-05,1
0.856,-1.2349368117998788e-05,1
0.858,-1.3367961073757757e-05,1
0.86,-1.4071179328552147e-05,1
0.862,-1.443867485264895e-05,1
0.864,-1.4457865396537976e-05,1
0.866,-1.412342754449001e-05,1
0.868,-1.3436518499244433e-05,1
0.87,-1.2403871688797835e-05,1
0.872,-1.1036936005444864e-05,1
0.874,-9.351206209758706e-06,1
0.876,-7.365829906474659e-06,1
0.878,-5.103496213746958e-06,1
0.88,-2.5905397550507546e-06,1
0.882,1.428459718929337e-07,1
0.884,3.062394556899019e-06,1
0.886,6.12964482637832e-06,1
0.888,9.301992082370468e-06,1
0.89,1.2532990667915707e-05,1
0.892,1.577298140399856e-05,1
0.894,1.897009663219941e-05,1
0.896,2.2071651490534117e-05,1
0.898,2.502586697346705e-05,1
0.9,2.77838051316794e-05,1
0.902,3.0301350641187066e-05,1
