t_s,sinal_filtrado,janela
0.0,-9.724997393469375e-05,0
0.002,-9.031868307328496e-05,0
0.004,-8.288319479684014e-05,0
0.006,-7.513654276435441e-05,0
0.008,-6.726839183220924e-05,0
0.01,-5.9459897012282765e-05,0
0.012,-5.187952918421365e-05,0
0.014,-4.467979783931781e-05,0
0.016,-3.799469978466016e-05,0
0.018,-3.193773265203931e-05,0
0.02,-2.6600407874868103e-05,0
0.022,-2.2051311835584172e-05,0
0.024,-1.8335818264235568e-05,0
0.026,-1.5476510170028692e-05,0
0.028,-1.347425032702402e-05,0
0.03,-1.2309714502098697e-05,0
0.032,-1.1945140915360418e-05,0
0.034,-1.2326090190878448e-05,0
0.036,-1.3383140969219796e-05,0
0.038,-1.5033607051092313e-05,0
0.04,-1.7183469013359316e-05,0
0.042,-1.9729707478303436e-05,0
0.044,-2.2563107922221528e-05,0
0.046,-2.5571439653988694e-05,0
0.048,-2.86427820262452e-05,0
0.05,-3.166874478316745e-05,0
0.052,-3.4547413533575906e-05,0
0.054,-3.718598841886058e-05,0
0.056,-3.9503184969755005e-05,0
0.058,-4.143146409756391e-05,0
0.06,-4.291905347707886e-05,0
0.062,-4.393158507103896e-05,0
0.064,-4.445309495031323e-05,0
0.066,-4.44861640117904e-05,0
0.068,-4.405110655634136e-05,0
0.07,-4.318427072993977e-05,0
0.072,-4.1935618583792896e-05,0
0.07399999999999998,-4.036575596532791e-05,0
0.076,-3.8542509545024783e-05,0
0.078,-3.653708556937327e-05,0
0.08,-3.4419866870727284e-05,0
0.082,-3.225601816755954e-05,0
0.084,-3.010122108645495e-05,0
0.08599999999999998,-2.7997977105039728e-05,0
0.08799999999999998,-2.5972940750731436e-05,0
0.08999999999999998,-2.4035651857087927e-05,0
0.092,-2.2178841637058895e-05,0
0.094,-2.038025050974501e-05,0
0.096,-1.860569790570904e-05,0
0.098,-1.681305021690302e-05,0
0.1,-1.4956736513491824e-05,0
0.102,-1.2992488184341486e-05,0
0.104,-1.088196785759551e-05,0
0.106,-8.596921686361209e-06,0
0.108,-6.122497147114273e-06,0
0.11,-3.459449343135456e-06,0
0.112,-6.250980392493633e-07,0
0.114,2.346946140468115e-06,0
0.116,5.408138983290617e-06,0
0.118,8.497228558912336e-06,0
0.12,1.1543142965987223e-05,0
0.122,1.4468395095503935e-05,0
0.124,1.7192912994304627e-05,0
0.126,1.9638183918271127e-05,0
0.128,2.1731497221407452e-05,0
0.13,2.3409954001186353e-05,0
0.132,2.462386991102131e-05,0
0.134,2.533926679318691e-05,0
0.136,2.5539292504286824e-05,0
0.138,2.5224567312630458e-05,0
0.14,2.4412591436321843e-05,0
0.142,2.313644431305318e-05,0
0.144,2.1443044071524622e-05,0
0.146,1.9391193404640445e-05,0
0.148,1.704951703290358e-05,0
0.15,1.4494247415359136e-05,0
0.152,1.1806720845968792e-05,0
0.154,9.070461826502263e-06,0
0.156,6.367855286895405e-06,0
0.158,3.776577935794076e-06,0
0.16,1.3661042308017807e-06,0
0.162,-8.053490132867791e-07,0
0.164,-2.693150811723968e-06,0
0.166,-4.267736489738797e-06,0
0.168,-5.515299727246832e-06,0
0.17,-6.4378581172041445e-06,0
0.172,-7.052832737727441e-06,0
0.174,-7.392160997260726e-06,0
0.176,-7.50082830246896e-06,0
0.178,-7.434657404955115e-06,0
0.18,-7.2572792425122125e-06,0
0.182,-7.03638734398967e-06,0
0.184,-6.839560194420314e-06,0
0.186,-6.730036785014523e-06,0
0.188,-6.7628097304846445e-06,0
0.19,-6.981282661217269e-06,0
0.192,-7.414598435058105e-06,0
0.194,-8.075659540660337e-06,0
0.196,-8.959868941292755e-06,0
0.198,-1.0044696112619367e-05,0
0.2,-1.1290247956932427e-05,0
0.202,-1.2641021254976733e-05,0
0.204,-1.4028902714223112e-05,0
0.206,-1.5377297511188573e-05,0
0.208,-1.6606075466374106e-05,0
0.21,-1.763689140931179e-05,0
0.212,-1.839840309314927e-05,0
0.214,-1.8830975830114045e-05,0
0.216,-1.8890581683827333e-05,0
0.218,-1.8551703132810848e-05,0
0.22,-1.780909329885802e-05,0
0.222,-1.6678248421292965e-05,0
0.224,-1.519448145755891e-05,0
0.226,-1.3410597006150852e-05,0
0.228,-1.1393342226428918e-05,0
0.23,-9.218989095133183e-06,0
0.232,-6.968532946101334e-06,0
0.234,-4.7230297545233e-06,0
0.236,-2.5595214859568585e-06,0
0.238,-5.478306918538256e-07,0
0.24,1.2517058981179765e-06,0
0.242,2.7896776137557547e-06,0
0.244,4.028414115104434e-06,0
0.246,4.942339716709639e-06,0
0.248,5.51791891079007e-06,0
0.25,5.7531424597247205e-06,0
0.252,5.656497805988864e-06,0
0.254,5.245468880460748e-06,0
0.256,4.5447553799723965e-06,0
