t_s,sinal_filtrado,janela,classificacao
0.0,-7.389748786416835e-05,1,0
0.002,-8.338939836524323e-05,1,0
0.004,-9.232143313952253e-05,1,0
0.006,-0.0001006431016524,1,0
0.008,-0.0001083136959194,1,0
0.01,-0.0001153036376029,1,0
0.012,-0.0001215953857674,1,0
0.014,-0.0001271836587278,1,0
0.016,-0.0001320748224499,1,0
0.018,-0.0001362854855071,1,0
0.02,-0.0001398405351366,1,0
0.022,-0.0001427709616856,1,0
0.024,-0.0001451118003442,1,0
0.026,-0.0001469003834582,1,0
0.028,-0.0001481749153967,1,0
0.03,-0.0001489732496527,1,0
0.032,-0.0001493317320856,1,0
0.034,-0.0001492840762272,1,0
0.036,-0.0001488603911338,1,0
0.038,-0.000148086596233,1,0
0.04,-0.0001469844597045,1,0
0.042,-0.0001455723722388,1,0
0.044,-0.0001438667662175,1,0
0.046,-0.0001418839036576,1,0
0.048,-0.0001396416720151,1,0
0.05,-0.0001371610782221,1,0
0.052,-0.0001344672774502,1,0
0.054,-0.0001315901250808,1,0
0.056,-0.0001285643167692,1,0
0.058,-0.0001254291612448,1,0
0.06,-0.0001222279662382,1,0
0.062,-0.0001190069922318,1,0
0.064,-0.0001158139864111,1,0
0.066,-0.0001126964260259,1,0
0.068,-0.0001096997091251,1,0
0.07,-0.0001068655706511,1,0
0.072,-0.0001042309528062,1,0
0.0739999999999999,-0.000101827444375,1,0
0.076,-9.96812714454842e-05,1,0
0.078,-9.781371464038694e-05,1,0
0.08,-9.624177300615427e-05,1,0
0.082,-9.497890121135424e-05,1,0
0.084,-9.403569339499624e-05,1,0
0.0859999999999999,-9.342042556423776e-05,1,0
0.0879999999999999,-9.313936761997644e-05,1,0
0.0899999999999999,-9.319675892803392e-05,1,0
0.092,-9.359435803422056e-05,1,0
0.094,-9.433054750788668e-05,1,0
0.096,-9.539907662730132e-05,1,0
0.098,-9.678762524778988e-05,1,0
0.1,-9.847644687827144e-05,1,0
0.102,-0.0001004373727533,1,0
0.104,-0.0001026334105978,1,0
0.106,-0.0001050190582589,1,0
0.108,-0.0001075413153479,1,0
0.11,-0.0001101412713234,1,0
0.112,-0.0001127561160755,1,0
0.114,-0.0001153214589221,1,0
0.116,-0.0001177739013142,1,0
0.118,-0.0001200538095073,1,0
0.12,-0.0001221081414955,1,0
0.122,-0.0001238930505303,1,0
0.124,-0.0001253759188479,1,0
0.126,-0.0001265365392031,1,0
0.128,-0.0001273673410562,1,0
0.13,-0.0001278727671449,1,0
0.132,-0.0001280680502498,1,0
0.134,-0.0001279776630784,1,0
0.136,-0.0001276336214104,1,0
0.138,-0.0001270736784539,1,0
0.14,-0.0001263393446853,1,0
0.142,-0.000125473654121,1,0
0.144,-0.0001245186708611,1,0
0.146,-0.0001235128503256,1,0
0.148,-0.000122488488873,1,0
0.15,-0.000121469564159,1,0
0.152,-0.0001204702509995,1,0
0.154,-0.00011949429514,1,0
0.156,-0.0001185352817401,1,0
0.158,-0.0001175776988774,1,0
0.16,-0.0001165986077038,1,0
0.162,-0.0001155697086248,1,0
0.164,-0.0001144596267241,1,0
0.166,-0.0001132362920718,1,0
0.168,-0.0001118693226306,1,0
0.17,-0.000110332310568,1,0
0.172,-0.0001086048738255,1,0
0.174,-0.0001066742989117,1,0
0.176,-0.0001045366150234,1,0
0.178,-0.0001021970204003,1,0
0.18,-9.966969690738996e-05,1,0
0.182,-9.697715078229128e-05,1,0
0.184,-9.414928097947991e-05,1,0
0.186,-9.122239264072212e-05,1,0
0.188,-8.823833255442567e-05,1,0
0.19,-8.524382773219509e-05,1,0
0.192,-8.228998553053421e-05,1,0
0.194,-7.943180920651098e-05,1,0
0.196,-7.672753667601489e-05,1,0
0.198,-7.423763827493795e-05,1,0
0.2,-7.202339221274805e-05,1,0
0.202,-7.014504975007126e-05,1,0
0.204,-6.865966592182702e-05,1,0
0.206,-6.761870070397476e-05,1,0
0.208,-6.706552415562007e-05,1,0
0.21,-6.703302213771071e-05,1,0
0.212,-6.754157920021261e-05,1,0
0.214,-6.85977408233806e-05,1,0
0.216,-7.019376841769457e-05,1,0
0.218,-7.230810995901155e-05,1,0
0.22,-7.490659443828342e-05,1,0
0.222,-7.794400789063316e-05,1,0
0.224,-8.136568074854252e-05,1,0
0.226,-8.510881926276506e-05,1,0
0.228,-8.910349624485364e-05,1,0
0.23,-9.32733892017872e-05,1,0
0.232,-9.753645270446868e-05,1,0
0.234,-0.0001018057348553,1,0
0.236,-0.0001059905240456,1,0
0.238,-0.0001099979525395,1,0
0.24,-0.0001137350832935,1,0
0.242,-0.0001171113860113,1,0
0.244,-0.0001200414179467,1,0
0.246,-0.0001224475003996,1,0
0.248,-0.0001242622145069,1,0
0.25,-0.0001254305937048,1,0
0.252,-0.0001259119289361,1,0
0.254,-0.0001256811062764,1,0
0.256,-0.0001247293804729,1,0
0.258,-0.0001230645008135,1,0
0.26,-0.000120710180238,1,0
0.262,-0.0001177050060213,1,0
0.264,-0.0001141009665104,1,0
0.266,-0.0001099617754063,1,0
0.268,-0.0001053611239921,1,0
0.27,-0.0001003809142982,1,0
0.272,-9.51094455909133e-05,1,0
0.274,-8.963946109846486e-05,1,0
0.276,-8.406593572532126e-05,1,0
0.278,-7.848351411627566e-05,1,0
0.28,-7.29835830436968e-05,1,0
0.282,-6.765106155267137e-05,1,0
0.284,-6.256109792890996e-05,1,0
0.286,-5.777595196482883e-05,1,0
0.288,-5.334238226882673e-05,1,0
0.29,-4.9289827022773407e-05,1,0
0.292,-4.5629569762978896e-05,1,0
0.294,-4.235496014257385e-05,1,0
0.296,-3.9442659451850975e-05,1,0
0.298,-3.685481780556224e-05,1,0
0.3,-3.454204227540958e-05,1,0
0.302,-3.244695459772301e-05,1,0
0.304,-3.050806662804037e-05,1,0
0.306,-2.8663659963906342e-05,1,0
0.308,-2.685538435781448e-05,1,0
0.31,-2.5031389387820888e-05,1,0
0.312,-2.3148922708476617e-05,1,0
0.314,-2.1176399025483728e-05,1,0
0.316,-1.909494879957521e-05,1,0
0.318,-1.689943585658034e-05,1,0
0.32,-1.459893039220902e-05,1,0
0.322,-1.2216632130743076e-05,1,0
0.324,-9.789227740419283e-06,1,0
0.326,-7.365641310438656e-06,1,0
0.328,-5.005140080218432e-06,1,0
0.33,-2.7748142525710706e-06,1,0
0.332,-7.465309019557839e-07,1,0
0.334,1.0064780277979089e-06,1,0
0.336,2.413212222548739e-06,1,0
0.338,3.4085105166656206e-06,1,0
0.34,3.9365148495665535e-06,1,0
0.342,3.953838081701907e-06,1,0
0.344,3.432244456352757e-06,1,0
0.346,2.360592438746076e-06,1,0
0.348,7.457765674550767e-07,1,0
0.35,-1.38751428955963e-06,1,0
0.352,-3.998253348783566e-06,1,0
0.354,-7.031623402594123e-06,1,0
0.356,-1.042242026969981e-05,1,0
0.358,-1.4099004052475716e-05,1,0
0.36,-1.7987430687171567e-05,1,0
0.362,-2.201535422016993e-05,1,0
0.364,-2.6115303820249544e-05,1,0
0.366,-3.0227038624047625e-05,1,0
0.368,-3.429885018445017e-05,1,0
0.37,-3.828785833199817e-05,1,0
0.372,-4.21594766747751e-05,1,0
0.374,-4.588629415778185e-05,1,0
0.376,-4.944665229307456e-05,1,0
0.378,-5.282321605967312e-05,1,0
0.38,-5.600182414941276e-05,1,0
0.382,-5.897081507496272e-05,1,0
0.384,-6.172084570963062e-05,1,0
0.386,-6.424501904965867e-05,1,0
0.388,-6.653903187548521e-05,1,0
0.39,-6.860109085863345e-05,1,0
0.392,-7.0431473984168e-05,1,0
0.394,-7.203173927842788e-05,1,0
0.396,-7.340365184058669e-05,1,0
0.398,-7.454792319043328e-05,1,0
0.4,-7.546287390316434e-05,1,0
0.402,-7.614316275698147e-05,1,0
0.404,-7.657875374510759e-05,1,0
0.406,-7.675428190544861e-05,1,0
0.408,-7.66489263814703e-05,1,0
0.41,-7.623683920877479e-05,1,0
0.412,-7.548814387304929e-05,1,0
0.414,-7.43705048371412e-05,1,0
0.416,-7.285124573795526e-05,1,0
0.418,-7.089993156715637e-05,1,0
0.42,-6.849122997059714e-05,1,0
0.422,-6.560776716294642e-05,1,0
0.424,-6.22426511999404e-05,1,0
0.426,-5.840137752561815e-05,1,0
0.428,-5.4102931847151496e-05,1,0
0.43,-4.9380015864753824e-05,1,0
0.432,-4.427842490849008e-05,1,0
0.434,-3.8855711664306925e-05,1,0
0.436,-3.317936538206185e-05,1,0
0.438,-2.7324778067800423e-05,1,0
0.44,-2.1373223692006057e-05,1,0
0.442,-1.5409951178569828e-05,1,0
0.444,-9.522332899573328e-06,1,0
0.446,-3.797885311358585e-06,1,0
0.448,1.6780470920638208e-06,1,0
0.45,6.825055040446628e-06,1,0
0.452,1.1570805086374983e-05,1,0
0.454,1.5854311448329116e-05,1,0
0.456,1.9629001652160303e-05,1,0
0.458,2.286525922540669e-05,1,0
0.46,2.555221763568168e-05,1,0
0.462,2.769867085474183e-05,1,0
0.464,2.933302529750917e-05,1,0
0.466,3.050226395268949e-05,1,0
0.468,3.126994677553501e-05,1,0
0.47,3.171332566057222e-05,1,0
0.472,3.19196975912654e-05,1,0
0.474,3.198216350252312e-05,1,0
0.476,3.199501522914186e-05,1,0
0.478,3.204902983325996e-05,1,0
0.48,3.222697579986789e-05,1,0
0.482,3.25995991995551e-05,1,0
0.484,3.3222263694506526e-05,1,0
0.486,3.413230179379173e-05,1,0
0.488,3.534704630543786e-05,1,0
0.49,3.6862499211730073e-05,1,0
0.492,3.865267809221599e-05,1,0
0.494,4.066981496917626e-05,1,0
0.496,4.2845678413790565e-05,1,0
0.498,4.509427008081622e-05,1,0
0.5,4.731600924252613e-05,2,0
0.502,4.940333243998285e-05,2,0
