t_s,sinal_filtrado,janela
0.0,0.00010722668192309486,1
0.002,9.809791219109061e-05,1
0.004,8.857392809368268e-05,1
0.006,7.889502406870835e-05,1
0.008,6.928761460854151e-05,1
0.01,5.995728554303343e-05,1
0.012,5.108349131782272e-05,1
0.014,4.28158719855873e-05,1
0.016,3.527198816843849e-05,1
0.018,2.853623594405641e-05,1
0.02,2.2659791257563524e-05,1
0.022,1.7661568724409515e-05,1
0.024,1.3530265287100499e-05,1
0.026,1.0227531126589904e-05,1
0.028,7.692171443566585e-06,1
0.03,5.845098561953341e-06,1
0.032,4.594616627552144e-06,1
0.034,3.841603499291811e-06,1
0.036,3.4842700496204588e-06,1
0.038,3.4223697957343414e-06,1
0.04,3.5609038009160686e-06,1
0.042,3.8134325684797474e-06,1
0.044,4.10504393409378e-06,1
0.046,4.374880608152229e-06,1
0.048,4.577992705666371e-06,1
0.05,4.686234452636498e-06,1
0.052,4.688007834854572e-06,1
0.054,4.58683785479976e-06,1
0.056,4.398958558666384e-06,1
0.058,4.150208060667961e-06,1
0.06,3.872545255168388e-06,1
0.062,3.600460219864e-06,1
0.064,3.367532665960452e-06,1
0.066,3.20342603534364e-06,1
0.068,3.1316388522768897e-06,1
0.07,3.168293674923997e-06,1
0.072,3.322098426272269e-06,1
0.07399999999999998,3.5954030673533742e-06,1
0.076,3.986064265303388e-06,1
0.078,4.4896783854246085e-06,1
0.08,5.101682534138996e-06,1
0.082,5.8188682406391485e-06,1
0.084,6.639996394004094e-06,1
0.08599999999999998,7.565418335319347e-06,1
0.08799999999999998,8.595847688525726e-06,1
0.08999999999999998,9.730621145246185e-06,1
0.092,1.0965865368781144e-05,1
0.094,1.229292395519099e-05,1
0.096,1.36972313570069e-05,1
0.098,1.515763633992883e-05,1
0.1,1.6646061818957237e-05,1
0.102,1.8127381272798565e-05,1
0.104,1.9559475453784626e-05,1
0.106,2.089354580233792e-05,1
0.108,2.2074831484928245e-05,1
0.11,2.3043856818038208e-05,1
0.112,2.3738223289292728e-05,1
0.114,2.4094804046739897e-05,1
0.116,2.405207922852087e-05,1
0.118,2.3552341862042124e-05,1
0.12,2.2543625053606164e-05,1
0.122,2.098139220204208e-05,1
0.124,1.8830185281430783e-05,1
0.126,1.6065450755268712e-05,1
0.128,1.267563757561764e-05,1
0.13,8.664447254609847e-06,1
0.132,4.052920253383529e-06,1
0.134,-1.1190341050246935e-06,1
0.136,-6.791975623446143e-06,1
0.138,-1.2887254629513203e-05,1
0.14,-1.9308226305727147e-05,1
0.142,-2.594215615508936e-05,1
0.144,-3.2662638767059646e-05,1
0.146,-3.933245919996466e-05,1
0.148,-4.580691274763447e-05,1
0.15,-5.1937603010850645e-05,1
0.152,-5.757669422315084e-05,1
0.154,-6.25815733020742e-05,1
0.156,-6.6819887291019e-05,1
0.158,-7.017488935562762e-05,1
0.16,-7.255088678986093e-05,1
0.162,-7.387837270677996e-05,1
0.164,-7.411826839581447e-05,1
0.166,-7.32647287322254e-05,1
0.168,-7.134618041084211e-05,1
0.17,-6.842456277564508e-05,1
0.172,-6.459298653894905e-05,1
0.174,-5.9972150312978814e-05,1
0.176,-5.470587824570998e-05,1
0.178,-4.8956113706910814e-05,1
0.18,-4.289764738956267e-05,1
0.182,-3.671277179123745e-05,1
0.184,-3.058595359059293e-05,1
0.186,-2.4698545818099387e-05,1
0.188,-1.922355692979569e-05,1
0.19,-1.432054493735804e-05,1
0.192,-1.0130775191517603e-05,1
0.194,-6.772840000304614e-06,1
0.196,-4.338971630216199e-06,1
0.198,-2.8922713646132274e-06,1
0.2,-2.4650080529889848e-06,1
0.202,-3.0580155894478046e-06,1
0.204,-4.641084713961986e-06,1
0.206,-7.154161612058787e-06,1
0.208,-1.05091724450185e-05,1
0.21,-1.4592382224459162e-05,1
0.212,-1.9267320507665933e-05,1
0.214,-2.437839985479333e-05,1
0.216,-2.975536324562641e-05,1
0.218,-3.521861104097265e-05,1
0.22,-4.058531159731477e-05,1
0.222,-4.56760468731892e-05,1
0.224,-5.032161294091659e-05,1
0.226,-5.436947845500068e-05,1
0.228,-5.768931439571856e-05,1
0.23,-6.0177016504605845e-05,1
0.232,-6.175682088494756e-05,1
0.234,-6.238144327978992e-05,1
0.236,-6.203052935092616e-05,1
0.238,-6.070794826873849e-05,1
0.24,-5.84385321767072e-05,1
0.242,-5.526478549062581e-05,1
0.244,-5.124392625448119e-05,1
0.246,-4.6445434325361205e-05,1
0.248,-4.0949111787021226e-05,1
0.25,-3.4843552515485354e-05,1
0.252,-2.8224894812447598e-05,1
0.254,-2.119577223507563e-05,1
0.256,-1.3864429963206369e-05,1
0.258,-6.343993404132649e-06,1
0.26,1.2481522195721805e-06,1
0.262,8.790977820538365e-06,1
0.264,1.6160601062712397e-05,1
0.266,2.3231466721530837e-05,1
0.268,2.98780972941837e-05,1
0.27,3.5977489873604515e-05,1
0.272,4.141209458657322e-05,1
0.274,4.607318464747659e-05,1
0.276,4.986436723789893e-05,1
0.278,5.2705001907842615e-05,1
0.28,5.4533354993917984e-05,1
0.282,5.5309372175998965e-05,1
0.284,5.501695994661808e-05,1
0.286,5.3665622346472874e-05,1
0.288,5.129123183815703e-05,1
0.29,4.795568635460498e-05,1
0.292,4.374527163717711e-05,1
0.294,3.8767704192812335e-05,1
0.296,3.314801838650715e-05,1
0.298,2.7023617624504364e-05,1
0.3,2.053889702216755e-05,1
0.302,1.3839854627373037e-05,1
0.304,7.069049037432431e-06,1
0.306,3.611558951335356e-07,1
0.308,-6.160735259074552e-06,1
0.31,-1.238801120240934e-05,1
0.312,-1.822854859733112e-05,1
0.314,-2.360777492710087e-05,1
0.316,-2.8468728101964983e-05,1
0.318,-3.27711498084631e-05,1
0.32,-3.648975334433135e-05,1
0.322,-3.961189740044855e-05,1
0.324,-4.213495960684016e-05,1
0.326,-4.406373125904259e-05,1
0.328,-4.540813619294236e-05,1
0.33,-4.618150584556029e-05,1
0.332,-4.63995301831941e-05,1
0.334,-4.607988048344359e-05,1
0.336,-4.524240168417657e-05,1
0.338,-4.390972268596713e-05,1
0.34,-4.210812978763957e-05,1
0.342,-3.9868565557548633e-05,1
0.344,-3.7227621029345294e-05,1
0.346,-3.422836716068882e-05,1
0.348,-3.092084008651734e-05,1
0.35,-2.7362001851172956e-05,1
0.352,-2.361508208767986e-05,1
0.354,-1.97483515578424e-05,1
0.356,-1.5833521807365684e-05,1
0.358,-1.1944039477622244e-05,1
0.36,-8.153519626674817e-06,1
0.362,-4.534460687274122e-06,1
0.364,-1.1572584908328031e-06,1
0.366,1.9105627882017447e-06,1
0.368,4.605039815742043e-06,1
0.37,6.866528099783102e-06,1
0.372,8.64064927492071e-06,1
0.374,9.87948666243364e-06,1
0.376,1.054301314620044e-05,1
0.378,1.0600676118580672e-05,1
0.38,1.0033041198801617e-05,1
0.382,8.83340662267003e-06,1
0.384,7.009320880563614e-06,1
0.386,4.5839416246459275e-06,1
0.388,1.5971485734998952e-06,1
0.39,-1.8937281044814373e-06,1
0.392,-5.813748097612666e-06,1
0.394,-1.0070953754455414e-05,1
0.396,-1.4557840175146504e-05,1
0.398,-1.9153734301562248e-05,1
0.4,-2.3728021134962447e-05,1
0.402,-2.814408152417284e-05,1
0.404,-3.226376282893382e-05,1
0.406,-3.5952195263760765e-05,1
0.408,-3.908278015096562e-05,1
0.41,-4.154217832757668e-05,1
0.412,-4.32350884201628e-05,1
0.414,-4.4088539162218285e-05,1
0.416,-4.405538432920892e-05,1
0.418,-4.311673073601351e-05,1
0.42,-4.1283140155164734e-05,1
0.422,-3.859457346018533e-05,1
0.424,-3.5119146049985786e-05,1
0.426,-3.095082627261397e-05,1
0.428,-2.620623832344259e-05,1
0.43,-2.102073473418625e-05,1
0.432,-1.5543894523924422e-05,1
0.434,-9.934598750160158e-06,1
0.436,-4.355843356340175e-06,1
0.438,1.0305301040240808e-06,1
0.44,6.068976702157022e-06,1
0.442,1.061504139271149e-05,1
0.444,1.4539617025512777e-05,1
0.446,1.7732558281649895e-05,1
0.448,2.010560751740937e-05,1
0.45,2.1594599010126823e-05,1
0.452,2.2160878551011605e-05,1
0.454,2.1791851887141404e-05,1
0.456,2.050059472696933e-05,1
0.458,1.8324525112982048e-05,1
0.46,1.5323228856941436e-05,1
0.462,1.1575599981988003e-05,1
0.464,7.1764916830952305e-06,1
0.466,2.2330826117757365e-06,1
0.468,-3.1388313716757784e-06,1
0.47,-8.818408444485473e-06,1
0.472,-1.4683004659006831e-05,1
0.474,-2.061095893619261e-05,1
0.476,-2.6483880544455185e-05,1
0.478,-3.218850313952752e-05,1
0.48,-3.761824836301351e-05,1
0.482,-4.2674669799536817e-05,1
0.484,-4.72689232114556e-05,1
