t_s,sinal_filtrado,janela,classificacao
0.0,9.426697867998816e-05,1,0
0.002,0.0001030176188406,1,0
0.004,0.0001112110431748,1,0
0.006,0.0001188025949891,1,0
0.008,0.0001257536438913,1,0
0.01,0.000132033141509,1,0
0.012,0.0001376190972883,1,0
0.014,0.000142499765975,1,0
0.016,0.0001466743010912,1,0
0.018,0.000150152679788,1,0
0.02,0.0001529548502802,1,0
0.022,0.0001551092402607,1,0
0.024,0.0001566509098834,1,0
0.026,0.000157619671886,1,0
0.028,0.0001580584230244,1,0
0.03,0.0001580117795056,1,0
0.032,0.0001575249618115,1,0
0.034,0.0001566428055423,1,0
0.036,0.0001554088170281,1,0
0.038,0.0001538643142884,1,0
0.04,0.0001520478170606,1,0
0.042,0.0001499948941137,1,0
0.044,0.0001477386045455,1,0
0.046,0.0001453105045381,1,0
0.048,0.0001427420011182,1,0
0.05,0.0001400657024285,1,0
0.052,0.0001373163941899,1,0
0.054,0.0001345313591632,1,0
0.056,0.0001317498938951,1,0
0.058,0.0001290120088627,1,0
0.06,0.0001263564168894,1,0
0.062,0.0001238180489909,1,0
0.064,0.0001214254875152,1,0
0.066,0.0001191988079726,1,0
0.068,0.0001171482835149,1,0
0.07,0.0001152742046635,1,0
0.072,0.0001135677795378,1,0
0.0739999999999999,0.000112012830843,1,0
0.076,0.000110587882409,1,0
0.078,0.0001092682474801,1,0
0.08,0.0001080278573924,1,0
0.082,0.0001068407423035,1,0
0.084,0.0001056822317446,1,0
0.0859999999999999,0.0001045300269128,1,0
0.0879999999999999,0.0001033652770789,1,0
0.0899999999999999,0.0001021736843709,1,0
0.092,0.0001009465273241,1,0
0.094,9.96814072531436e-05,1,0
0.096,9.838252496098792e-05,1,0
0.098,9.706038326256032e-05,1,0
0.1,9.573094039566997e-05,1,0
0.102,9.44143579920824e-05,1,0
0.104,9.313355528774092e-05,1,0
0.106,9.191277961904896e-05,1,0
0.108,9.077633765114204e-05,1,0
0.11,8.974753301610529e-05,1,0
0.112,8.884776724080536e-05,1,0
0.114,8.809571874149308e-05,1,0
0.116,8.750653430231086e-05,1,0
0.118,8.709103320274476e-05,1,0
0.12,8.685499536684971e-05,1,0
0.122,8.679863944813331e-05,1,0
0.124,8.69163759958402e-05,1,0
0.126,8.719685678235783e-05,1,0
0.128,8.762326600777056e-05,1,0
0.13,8.817374916326275e-05,1,0
0.132,8.882187752436819e-05,1,0
0.134,8.953710167478169e-05,1,0
0.136,9.0285226162783e-05,1,0
0.138,9.102899472259423e-05,1,0
0.14,9.172888008202971e-05,1,0
0.142,9.23441232612436e-05,1,0
0.144,9.283399043998264e-05,1,0
0.146,9.315914810470758e-05,1,0
0.148,9.328303102464368e-05,1,0
0.15,9.317310413769328e-05,1,0
0.152,9.28019811795733e-05,1,0
0.154,9.214842139286923e-05,1,0
0.156,9.119824422974384e-05,1,0
0.158,8.994516719542316e-05,1,0
0.16,8.839150282370611e-05,1,0
0.162,8.65485916406814e-05,1,0
0.164,8.443684237911678e-05,1,0
0.166,8.2085308809206e-05,1,0
0.168,7.953082515636483e-05,1,0
0.17,7.681680625683651e-05,1,0
0.172,7.399186219974101e-05,1,0
0.174,7.110836666362047e-05,1,0
0.176,6.822106039072035e-05,1,0
0.178,6.538569178916203e-05,1,0
0.18,6.265763099296435e-05,1,0
0.182,6.009037327408003e-05,1,0
0.184,5.773388292140989e-05,1,0
0.186,5.5632800345466006e-05,1,0
0.188,5.3824605746615226e-05,1,0
0.19,5.2337869655719e-05,1,0
0.192,5.119071308250257e-05,1,0
0.194,5.038956106150905e-05,1,0
0.196,4.992823264636843e-05,1,0
0.198,4.9787399568279054e-05,1,0
0.2,4.993447561583524e-05,1,0
0.202,5.0324040273320006e-05,1,0
0.204,5.089890292638792e-05,1,0
0.206,5.159185652722588e-05,1,0
0.208,5.232807744800174e-05,1,0
0.21,5.3028037586661e-05,1,0
0.212,5.3610723718202856e-05,1,0
0.214,5.399691960964668e-05,1,0
0.216,5.411231522209748e-05,1,0
0.218,5.3890268844428274e-05,1,0
0.22,5.327413898251429e-05,1,0
0.222,5.2219183023364086e-05,1,0
0.224,5.069405679475926e-05,1,0
0.226,4.868193501024756e-05,1,0
0.228,4.618122348466676e-05,1,0
0.23,4.3205782383158135e-05,1,0
0.232,3.9784561669581325e-05,1,0
0.234,3.596058615899512e-05,1,0
0.236,3.178930876079508e-05,1,0
0.238,2.73364418111516e-05,1,0
0.24,2.267543979065495e-05,1,0
0.242,1.788482218287456e-05,1,0
0.244,1.3045497947056228e-05,1,0
0.246,8.238207165655491e-06,1,0
0.248,3.541158145417797e-06,1,0
0.25,-9.720811938970217e-07,1,0
0.252,-5.234396842723336e-06,1,0
0.254,-9.186641111916386e-06,1,0
0.256,-1.2778878838152756e-05,1,0
0.258,-1.597141497393487e-05,1,0
0.26,-1.8735611704775896e-05,1,0
0.262,-2.1054420871739937e-05,1,0
0.264,-2.2922471809589124e-05,1,0
0.266,-2.434552338976164e-05,1,0
0.268,-2.533915942595192e-05,1,0
0.27,-2.592676621779214e-05,1,0
0.272,-2.6136996572326057e-05,1,0
0.274,-2.6001012763663126e-05,1,0
0.276,-2.554980153914009e-05,1,0
0.278,-2.481181427829016e-05,1,0
0.28,-2.3811137587010188e-05,1,0
0.282,-2.256633634459324e-05,1,0
0.284,-2.1090024693018392e-05,1,0
0.286,-1.938913700147715e-05,1,0
0.288,-1.7465824618167993e-05,1,0
0.29,-1.5318895780855726e-05,1,0
0.292,-1.2945716612433304e-05,1,0
0.294,-1.0344470896103106e-05,1,0
0.296,-7.516619933640275e-06,1,0
0.298,-4.469324731457689e-06,1,0
0.3,-1.2175410776688249e-06,1,0
0.302,2.2144747579474334e-06,1,0
0.304,5.792408076486911e-06,1,0
0.306,9.471909783173247e-06,1,0
0.308,1.3199342260857888e-05,1,0
0.31,1.691312466428834e-05,1,0
0.312,2.054550608022656e-05,1,0
0.314,2.4024563832060216e-05,1,0
0.316,2.7276239516702225e-05,1,0
0.318,3.022629893027933e-05,1,0
0.32,3.280220218396125e-05,1,0
0.322,3.493494552743996e-05,1,0
0.324,3.656096295501199e-05,1,0
0.326,3.762416682502337e-05,1,0
0.328,3.8078178907702e-05,1,0
0.33,3.788875977984832e-05,1,0
0.332,3.703639001827245e-05,1,0
0.334,3.551889709758773e-05,1,0
0.336,3.3353950968522594e-05,1,0
0.338,3.0581163861997685e-05,1,0
0.34,2.7263449977170013e-05,1,0
0.342,2.34872793398504e-05,1,0
0.344,1.936153521295128e-05,1,0
0.346,1.5014842729631268e-05,1,0
0.348,1.0591423204263657e-05,1,0
0.35,6.245694438043187e-06,1,0
0.352,2.135959365909341e-06,1,0
0.354,-1.5824079996661728e-06,1,0
0.356,-4.763863802332792e-06,1,0
0.358,-7.2793091621791745e-06,1,0
0.36,-9.022112171775972e-06,1,0
0.362,-9.913293947728329e-06,1,0
0.364,-9.905667597679328e-06,1,0
0.366,-8.986723244067434e-06,1,0
0.368,-7.180071295242933e-06,1,0
0.37,-4.545320182770329e-06,1,0
0.372,-1.1763539388725844e-06,1,0
0.374,2.8019440769964983e-06,1,0
0.376,7.238401732872925e-06,1,0
0.378,1.1961497373814251e-05,1,0
0.38,1.6786228430993977e-05,1,0
0.382,2.152154443808232e-05,1,0
0.384,2.597796350051569e-05,1,0
0.386,2.997500016905948e-05,1,0
0.388,3.3348029402521006e-05,1,0
0.39,3.595420430694102e-05,1,0
0.392,3.767708763542864e-05,1,0
0.394,3.8429782461314784e-05,1,0
0.396,3.815652590062964e-05,1,0
0.398,3.683287673158293e-05,1,0
0.4,3.44647437782367e-05,1,0
0.402,3.108656543333426e-05,1,0
0.404,2.6758966945617e-05,1,0
0.406,2.156618773314772e-05,1,0
0.408,1.5613484599531646e-05,1,0
0.41,9.024588662272898e-06,1,0
0.412,1.9391539739295503e-06,1,0
0.414,-5.489967935659775e-06,1,0
0.416,-1.3099822558961533e-05,1,0
0.418,-2.072096099710513e-05,1,0
0.42,-2.8181603160188977e-05,1,0
0.422,-3.53122782112939e-05,1,0
0.424,-4.195077832307447e-05,1,0
0.426,-4.794722398107138e-05,1,0
0.428,-5.316902289344743e-05,1,0
0.43,-5.750547706207088e-05,1,0
0.432,-6.087176702149152e-05,1,0
0.434,-6.32120660507562e-05,1,0
0.436,-6.450162665739318e-05,1,0
0.438,-6.474779316218e-05,1,0
0.44,-6.398996954351767e-05,1,0
0.442,-6.229859833801713e-05,1,0
0.444,-5.977321945502196e-05,1,0
0.446,-5.65397055696698e-05,1,0
0.448,-5.274679587064881e-05,1,0
0.45,-4.856203627401041e-05,1,0
0.452,-4.416717939733436e-05,1,0
0.454,-3.975303709699083e-05,1,0
0.456,-3.551374910381273e-05,1,0
0.458,-3.164045566278515e-05,1,0
0.46,-2.8314453134085484e-05,1,0
0.462,-2.5700058711599054e-05,1,0
0.464,-2.3937560001324417e-05,1,0
0.466,-2.313670157258492e-05,1,0
0.468,-2.3371124144299157e-05,1,0
0.47,-2.4674055061116617e-05,1,0
0.472,-2.7035425349973784e-05,1,0
0.474,-3.0400505922571117e-05,1,0
0.476,-3.467010212303744e-05,1,0
0.478,-3.970229597708724e-05,1,0
0.48,-4.531569558564676e-05,1,0
0.482,-5.129418235906701e-05,1,0
0.484,-5.739322991553828e-05,1,0
0.486,-6.334791532443615e-05,1,0
0.488,-6.888264660846048e-05,1,0
0.49,-7.372235079231419e-05,1,0
0.492,-7.760448385322867e-05,1,0
0.494,-8.029091149826798e-05,1,0
0.496,-8.157862925892852e-05,1,0
0.498,-8.130847886388766e-05,1,0
0.5,-7.937137406905261e-05,2,0
0.502,-7.571192015144365e-05,2,0
0.504,-7.032958651191214e-05,2,0
0.506,-6.327773947217803e-05,2,0
0.508,-5.466089004732214e-05,2,0
0.51,-4.46305031588816e-05,2,0
0.512,-3.337967844399472e-05,2,0
0.514,-2.113695929394475e-05,2,0
0.516,-8.159468111769104e-06,2,0
0.518,5.274475060746273e-06,2,0
0.52,1.88731005082306e-05,2,0
0.522,3.2339149251171016e-05,2,0
0.524,4.53779324702142e-05,2,0
0.526,5.770548029817358e-05,2,0
0.528,6.90568506587466e-05,2,0
0.53,7.919458945181162e-05,2,0
0.532,8.791706076177822e-05,2,0
0.534,9.506603544118489e-05,2,0
0.536,0.0001005327363419,2,0
0.538,0.0001042615994641,2,0
0.54,0.0001062512958071,2,0
0.542,0.0001065529511473,2,0
0.544,0.0001052658664525,2,0
0.546,0.0001025312896648,2,0
0.548,9.852489570116304e-05,2,0
0.55,9.344861743265113e-05,2,0
0.552,8.752237014594454e-05,2,0
0.554,8.097606075468456e-05,2,0
0.556,7.404211239487987e-05,2,0
0.558,6.694860849884452e-05,2,0
0.56,5.9913099190873e-05,2,0
0.562,5.3137120883864506e-05,2,0
0.564,4.6801527480338245e-05,2,0
0.566,4.1062768699670046e-05,2,0
0.568,3.6050237672912176e-05,2,0
0.57,3.1864742218212345e-05,2,0
0.572,2.857806403097928e-05,2,0
0.574,2.623349088229244e-05,2,0
0.576,2.484714603175187e-05,2,0
0.578,2.4409893898125767e-05,2,0
0.58,2.4889586744735448e-05,2,0
0.582,2.6233456144819217e-05,2,0
0.584,2.8370543930653944e-05,2,0
0.586,3.121417691847688e-05,2,0
0.588,3.4664572679875735e-05,2,0
0.59,3.861168853749674e-05,2,0
0.592,4.2938390187930246e-05,2,0
0.594,4.752394611030504e-05,2,0
0.596,5.224778758452759e-05,2,0
0.598,5.699343200804991e-05,2,0
0.6,6.165243295393345e-05,2,0
0.602,6.612816296726014e-05,2,0
0.604,7.033915450910269e-05,2,0
0.606,7.422167136596364e-05,2,0
0.608,7.773122203182788e-05,2,0
0.61,8.084287158309883e-05,2,0
0.612,8.355039927807265e-05,2,0
0.614,8.586450242005887e-05,2,0
0.616,8.781031461295148e-05,2,0
0.618,8.942448387460739e-05,2,0
0.62,9.07519733802034e-05,2,0
0.622,9.18426617561636e-05,2,0
0.624,9.27477814074796e-05,2,0
0.626,9.351625110745483e-05,2,0
0.628,9.419100735006991e-05,2,0
0.63,9.480549004180053e-05,2,0
0.632,9.538047989037747e-05,2,0
0.634,9.592151704831308e-05,2,0
0.636,9.641714804644772e-05,2,0
0.638,9.683823291573944e-05,2,0
0.64,9.71384844857324e-05,2,0
0.642,9.72563186035563e-05,2,0
0.644,9.711799021535616e-05,2,0
0.646,9.664188863587573e-05,2,0
0.648,9.57437613405065e-05,2,0
0.65,9.434251356719153e-05,2,0
0.652,9.236609403092392e-05,2,0
0.654,8.975688153990017e-05,2,0
0.656,8.64760150104237e-05,2,0
0.658,8.250628199470345e-05,2,0
0.66,7.785342418707518e-05,2,0
0.662,7.254592810067908e-05,2,0
0.664,6.663349831821137e-05,2,0
0.666,6.0184484194632825e-05,2,0
0.668,5.328258826521012e-05,2,0
0.67,4.6023228607330416e-05,2,0
0.672,3.850992747146161e-05,2,0
0.674,3.085102934007998e-05,2,0
0.676,2.315692077774725e-05,2,0
0.678,1.5537771755187545e-05,2,0
0.68,8.101694132855648e-06,2,0
0.682,9.531527660171216e-07,2,0
0.684,-5.808525047749091e-06,2,0
0.686,-1.2090633788329548e-05,2,0
0.688,-1.7808580539026566e-05,2,0
0.69,-2.288733824854648e-05,2,0
0.692,-2.7262805736738476e-05,2,0
