t_s,sinal_filtrado,janela
0.0,-0.0004378163174983595,1
0.002,-0.0005184944676915206,1
0.004,-0.0005955714430242395,1
0.006,-0.000668215477323487,1
0.008,-0.000735695859628953,1
0.01,-0.0007974078166583393,1
0.012,-0.0008528913915308367,1
0.014,-0.0009018426096064915,1
0.016,-0.0009441161841925753,1
0.018,-0.000979720307518908,1
0.02,-0.00100880520326403,1
0.022,-0.0010316476313369724,1
0.024,-0.0010486332670714175,1
0.026,-0.0010602380402386746,1
0.028,-0.001067008601407956,1
0.03,-0.0010695415885598402,1
0.032,-0.001068461550176652,1
0.034,-0.0010643981112592796,1
0.036,-0.0010579638015078387,1
0.038,-0.0010497343888933135,1
0.04,-0.0010402332809401856,1
0.042,-0.0010299206520144083,1
0.044,-0.0010191868464769739,1
0.046,-0.0010083488285873255,1
0.048,-0.0009976483645623311,1
0.05,-0.0009872512274123097,1
0.052,-0.0009772476397258759,1
0.054,-0.0009676548742613376,1
0.056,-0.00095842300321798,1
0.058,-0.0009494441584182992,1
0.06,-0.0009405646535016538,1
0.062,-0.0009315984568712761,1
0.064,-0.0009223402497781875,1
0.066,-0.000912576794365128,1
0.068,-0.0009020963083027352,1
0.07,-0.000890696474080705,1
0.072,-0.0008781921061073679,1
0.07399999999999998,-0.0008644231582650616,1
0.076,-0.0008492629031966855,1
0.078,-0.0008326253059815028,1
0.08,-0.0008144703971592627,1
0.082,-0.0007948069692874153,1
0.084,-0.0007736928092959877,1
0.08599999999999998,-0.0007512333555509436,1
0.08799999999999998,-0.0007275797618042513,1
0.08999999999999998,-0.0007029268848343253,1
0.092,-0.000677511029817297,1
0.094,-0.000651606835459508,1
0.096,-0.0006255227312868288,1
0.098,-0.000599594808515324,1
0.1,-0.0005741792749388227,1
0.102,-0.0005496436623292507,1
0.104,-0.0005263568081312431,1
0.106,-0.0005046776536643843,1
0.108,-0.0004849431620474522,1
0.11,-0.00046745601128324907,1
0.112,-0.0004524729667627545,1
0.114,-0.00044019486637490024,1
0.116,-0.00043075898152797375,1
0.118,-0.00042423422883909465,1
0.12,-0.00042061933355581134,1
0.122,-0.00041984365748666926,1
0.124,-0.00042177020948622944,1
0.126,-0.0004262005200968197,1
0.128,-0.0004328814290262303,1
0.13,-0.0004415140133070657,1
0.132,-0.0004517646462198377,1
0.134,-0.0004632776404095945,1
0.136,-0.0004756883618261506,1
0.138,-0.0004886353369244885,1
0.14,-0.0005017699243518557,1
0.142,-0.0005147627186347005,1
0.144,-0.0005273068463300755,1
0.146,-0.0005391192481490355,1
0.148,-0.0005499414813994975,1
0.15,-0.0005595414289817341,1
0.152,-0.0005677167451250614,1
0.154,-0.0005743001154643683,1
0.156,-0.0005791656391078544,1
0.158,-0.0005822350914735485,1
0.16,-0.0005834827218471168,1
0.162,-0.0005829375590453111,1
0.164,-0.0005806826711910509,1
0.166,-0.0005768511924846768,1
0.168,-0.000571619111587146,1
0.17,-0.0005651948932061801,1
0.172,-0.0005578061906725747,1
0.174,-0.0005496844073091779,1
0.176,-0.0005410485889574735,1
0.178,-0.0005320906824950352,1
0.18,-0.0005229642365377615,1
0.182,-0.0005137781426221832,1
0.184,-0.0005045962322409903,1
0.186,-0.0004954426473371401,1
0.188,-0.0004863120013387852,1
0.19,-0.00047718258398087954,1
0.192,-0.0004680304109376325,1
0.194,-0.0004588419020548068,1
0.196,-0.00044962344333034765,1
0.198,-0.0004404069798432534,1
0.2,-0.0004312517846493149,1
0.202,-0.00042224319475373434,1
0.204,-0.0004134891748695908,1
0.206,-0.0004051152924602052,1
0.208,-0.00039725851681935646,1
0.21,-0.0003900603852291711,1
0.212,-0.0003836602710571788,1
0.214,-0.00037818943168146767,1
0.216,-0.0003737661878116693,1
0.218,-0.0003704921592676185,1
0.22,-0.0003684491116562056,1
0.222,-0.00036769583195711217,1
0.224,-0.0003682647261000366,1
0.226,-0.00037015845034933615,1
0.228,-0.0003733474659736436,1
0.23,-0.0003777695545650301,1
0.232,-0.00038333197746263394,1
0.234,-0.0003899163172089345,1
0.236,-0.0003973853567389452,1
0.238,-0.000405590835728542,1
0.24,-0.0004143807726558418,1
0.242,-0.00042360537414513856,1
0.244,-0.00043312121340514486,1
0.246,-0.0004427939712887968,1
0.248,-0.000452500322310124,1
0.25,-0.0004621294770396,1
0.252,-0.0004715845318119256,1
0.254,-0.00048078325467399807,1
0.256,-0.0004896575066625446,1
0.258,-0.0004981504712151945,1
0.26,-0.0005062113806548915,1
0.262,-0.000513788275140889,1
0.264,-0.0005208200371633119,1
0.266,-0.0005272291525906867,1
0.268,-0.0005329163778747305,1
0.27,-0.0005377579885642556,1
0.272,-0.0005416057054281622,1
0.274,-0.0005442888510152552,1
0.276,-0.0005456180438157536,1
0.278,-0.0005453900088529754,1
0.28,-0.0005433936694004654,1
0.282,-0.0005394180630197299,1
0.284,-0.0005332624681658361,1
0.286,-0.0005247485421879305,1
0.288,-0.000513733566901816,1
0.29,-0.0005001233364070213,1
0.292,-0.0004838830293266948,1
0.294,-0.0004650447537491721,1
0.296,-0.00044371124981170383,1
0.298,-0.0004200560858556639,1
0.3,-0.0003943211496773005,1
0.302,-0.00036681215389255056,1
0.304,-0.0003378924725994312,1
0.306,-0.0003079753253844322,1
0.308,-0.0002775143393475683,1
0.31,-0.0002469926962531655,1
0.312,-0.00021691114172504912,1
0.314,-0.000187774993051842,1
0.316,-0.0001600800288821491,1
0.318,-0.0001342970227010538,1
0.32,-0.00011085495522172747,1
0.322,-9.012361599389752e-05,1
0.324,-7.239700639771835e-05,1
0.326,-5.787922109013713e-05,1
0.328,-4.667419065799642e-05,1
0.33,-3.8780086814216085e-05,1
0.332,-3.408865092605239e-05,1
0.334,-3.2389313600692836e-05,1
0.336,-3.337766389986953e-05,1
0.338,-3.6667589477644194e-05,1
0.34,-4.180635751794515e-05,1
0.342,-4.829207716961182e-05,1
0.344,-5.559316089919072e-05,1
0.346,-6.316932373597942e-05,1
0.348,-7.049333464139923e-05,1
0.35,-7.707239353040974e-05,1
0.352,-8.24678418955648e-05,1
0.354,-8.631197675156825e-05,1
0.356,-8.832100870097936e-05,1
0.358,-8.830365621532531e-05,1
0.36,-8.616541182377004e-05,1
0.362,-8.190897146180622e-05,1
0.364,-7.563153969066386e-05,1
0.366,-6.751970063074609e-05,1
0.368,-5.7842328356641234e-05,1
0.37,-4.694168505767694e-05,1
0.372,-3.522261111004367e-05,1
0.374,-2.3139737712014116e-05,1
0.376,-1.1182881407983144e-05,1
0.378,1.3907542922822634e-07,1
0.38,1.0315565599298112e-05,1
0.382,1.8852730510693957e-05,1
0.384,2.5292278388264827e-05,1
0.386,2.922981116833941e-05,1
