t_s,sinal_filtrado,janela,classificacao,class_bin
0.0,2.651666599767864e-06,1,0,0
0.002,1.6945778141314735e-06,1,0,0
0.004,7.236394214946487e-07,1,0,0
0.006,-2.4114696081632885e-07,1,0,0
0.008,-1.1808839394139228e-06,1,0,0
0.01,-2.078344453045148e-06,1,0,0
0.012,-2.918427361327913e-06,1,0,0
0.014,-3.688495231454572e-06,1,0,0
0.016,-4.378598397972442e-06,1,0,0
0.018,-4.981595127333756e-06,1,0,0
0.02,-5.493177186730448e-06,1,0,0
0.022,-5.911805906786856e-06,1,0,0
0.024,-6.2385608618328e-06,1,0,0
0.026,-6.476905331861377e-06,1,0,0
0.028,-6.632379630821726e-06,1,0,0
0.03,-6.71224183402767e-06,1,0,0
0.032,-6.72508150575524e-06,1,0,0
0.034,-6.680432962257952e-06,1,0,0
0.036,-6.588409357821588e-06,1,0,0
0.038,-6.459369016374624e-06,1,0,0
0.04,-6.303615360134648e-06,1,0,0
0.042,-6.131126324563356e-06,1,0,0
0.044,-5.951310087054915e-06,1,0,0
0.046,-5.7727891414172174e-06,1,0,0
0.048,-5.603220078237334e-06,1,0,0
0.05,-5.449158243505858e-06,1,0,0
0.052,-5.315973369425548e-06,1,0,0
0.054,-5.207815874825209e-06,1,0,0
0.056,-5.127627446328872e-06,1,0,0
0.058,-5.077186978851764e-06,1,0,0
0.06,-5.057184596767974e-06,1,0,0
0.062,-5.06732028519757e-06,1,0,0
0.064,-5.10642677112275e-06,1,0,0
0.066,-5.172616469246223e-06,1,0,0
0.068,-5.263448579361335e-06,1,0,0
0.07,-5.376105764283338e-06,1,0,0
0.072,-5.507563560007707e-06,1,0,0
0.0739999999999999,-5.65473410110495e-06,1,0,0
0.076,-5.814571239195966e-06,1,0,0
0.078,-5.984134933047076e-06,1,0,0
0.08,-6.160623943430186e-06,1,0,0
0.082,-6.341392161901871e-06,1,0,0
0.084,-6.523962450462119e-06,1,0,0
0.0859999999999999,-6.706043680291185e-06,1,0,0
0.0879999999999999,-6.885546771836392e-06,1,0,0
0.0899999999999999,-7.060590195059588e-06,1,0,0
0.092,-7.229487385672363e-06,1,0,0
0.094,-7.390715490806674e-06,1,0,0
0.096,-7.54287216134788e-06,1,0,0
0.098,-7.684631384943673e-06,1,0,0
0.1,-7.814709101866254e-06,1,0,0
0.102,-7.931844463702291e-06,1,0,0
0.104,-8.034794893261947e-06,1,0,0
0.106,-8.122336438771195e-06,1,0,0
0.108,-8.193259217847561e-06,1,0,0
0.11,-8.246352230528577e-06,1,0,0
0.112,-8.280380093089097e-06,1,0,0
0.114,-8.294061952322345e-06,1,0,0
0.116,-8.28606607066583e-06,1,0,0
0.118,-8.255030583652794e-06,1,0,0
0.12,-8.199612990983537e-06,1,0,0
0.122,-8.118561875922367e-06,1,0,0
0.124,-8.010798419817651e-06,1,0,0
0.126,-7.875494564847317e-06,1,0,0
0.128,-7.712138018474057e-06,1,0,0
0.13,-7.52057852863079e-06,1,0,0
0.132,-7.301052074928754e-06,1,0,0
0.134,-7.054179000870274e-06,1,0,0
0.136,-6.780930617653985e-06,1,0,0
0.138,-6.482559960743995e-06,1,0,0
0.14,-6.160498528615067e-06,1,0,0
0.142,-5.81623104945109e-06,1,0,0
0.144,-5.451170515910478e-06,1,0,0
0.146,-5.066560877066643e-06,1,0,0
0.148,-4.663431833506353e-06,1,0,0
0.15,-4.242619559258976e-06,1,0,0
0.152,-3.804851979177753e-06,1,0,0
0.154,-3.350881792670031e-06,1,0,0
0.156,-2.881639308798288e-06,1,0,0
0.158,-2.3983738259586503e-06,1,0,0
0.16,-1.9027574749155832e-06,1,0,0
0.162,-1.3969365712666916e-06,1,0,0
0.164,-8.835279120454319e-07,1,0,0
0.166,-3.655663584677949e-07,1,0,0
0.168,1.535870194438679e-07,1,0,0
0.17,6.703684734334792e-07,1,0,0
0.172,1.1811602408908527e-06,1,0,0
0.174,1.6824547335817196e-06,1,0,0
0.176,2.171017834020793e-06,1,0,0
0.178,2.644029118750672e-06,1,0,0
0.18,3.099177125341973e-06,1,0,0
0.182,3.5346956726485407e-06,1,0,0
0.184,3.949340034554078e-06,1,0,0
0.186,4.342314271804368e-06,1,0,0
0.188,4.71316846549288e-06,1,0,0
0.19,5.061685215268985e-06,1,0,0
0.192,5.387770280921174e-06,1,0,0
0.194,5.691355831086475e-06,1,0,0
0.196,5.972319025842425e-06,1,0,0
0.198,6.230415367701825e-06,1,0,0
0.2,6.465226565177922e-06,1,0,0
0.202,6.676126289089549e-06,1,0,0
0.204,6.862271531335037e-06,1,0,0
0.206,7.022628404549536e-06,1,0,0
0.208,7.15603689572695e-06,1,0,0
0.21,7.261310501054755e-06,1,0,0
0.212,7.337357482913181e-06,1,0,0
0.214,7.383304696692973e-06,1,0,0
0.216,7.398605334675328e-06,1,0,0
0.218,7.383118792372862e-06,1,0,0
0.22,7.337160926149987e-06,1,0,0
0.222,7.261530885093275e-06,1,0,0
0.224,7.157522785363391e-06,1,0,0
0.226,7.02692714610446e-06,1,0,0
0.228,6.872021374282696e-06,1,0,0
0.23,6.695544054916054e-06,1,0,0
0.232,6.500647032421025e-06,1,0,0
0.234,6.290823476575728e-06,1,0,0
0.236,6.069817351618785e-06,1,0,0
0.238,5.841525003237782e-06,1,0,0
0.24,5.609898929603574e-06,1,0,0
0.242,5.378857693879472e-06,1,0,0
0.244,5.15219867576408e-06,1,0,0
0.246,4.933506764512156e-06,1,0,0
0.248,4.72605457283762e-06,1,0,0
0.25,4.5326969283192845e-06,1,0,0
0.252,4.355770078023506e-06,1,0,0
0.254,4.197010088693013e-06,1,0,0
0.256,4.0575035683178e-06,1,0,0
0.258,3.937677846708151e-06,1,0,0
0.26,3.837329480571045e-06,1,0,0
0.262,3.755682344215253e-06,1,0,0
0.264,3.691462305910292e-06,1,0,0
0.266,3.642976055551885e-06,1,0,0
0.268,3.608186579286552e-06,1,0,0
0.27,3.584784531499337e-06,1,0,0
0.272,3.5702596235754654e-06,1,0,0
0.274,3.561976210203768e-06,1,0,0
0.276,3.557252475619775e-06,1,0,0
0.278,3.5534363019662143e-06,1,0,0
0.28,3.547967574224351e-06,1,0,0
