t_s,sinal_filtrado,janela,classificacao,class_bin
39.334,3.5316052832876727e-06,217,1,1
39.336,5.448072630839398e-06,217,1,1
39.338,7.4648320005533405e-06,217,1,1
39.34,9.541544105796176e-06,217,1,1
39.342,1.163707874151984e-05,217,1,1
39.344,1.3710539150846716e-05,217,1,1
39.346,1.5722077009435754e-05,217,1,1
39.348,1.763357605963597e-05,217,1,1
39.35,1.9409286400722487e-05,217,1,1
39.352,2.101645382476276e-05,217,1,1
39.354,2.2425935887484104e-05,217,1,1
39.356,2.3612767153694025e-05,217,1,1
39.358,2.4556646795817016e-05,217,1,1
39.36,2.5242350497218007e-05,217,1,1
39.362,2.566008095179916e-05,217,1,1
39.364,2.580576452039312e-05,217,1,1
39.366,2.5681299337118047e-05,217,1,1
39.368,2.5294764030604658e-05,217,1,1
39.37,2.466058017880932e-05,217,1,1
39.372,2.379957694537052e-05,217,1,1
39.374,2.2738863403446e-05,217,1,1
39.376,2.151141224378277e-05,217,1,1
39.378,2.0155303811982166e-05,217,1,1
39.38,1.8712639149815217e-05,217,1,1
39.382,1.7228176242612794e-05,217,1,1
39.384,1.5747778304317245e-05,217,1,1
39.386,1.431679345428292e-05,217,1,1
39.388,1.2978497471570126e-05,217,1,1
39.39,1.1772712983365515e-05,217,1,1
39.392,1.0734676128991392e-05,217,1,1
39.394,9.894168092075954e-06,217,1,1
39.396,9.274876877292589e-06,217,1,1
39.398,8.893925530422692e-06,217,1,1
39.4,8.76151333256933e-06,217,1,1
39.402,8.880652070915462e-06,217,1,1
39.404,9.247004269293625e-06,217,1,1
39.406,9.848830228052349e-06,217,1,1
39.408,1.0667049798315688e-05,217,1,1
39.41,1.16754478503201e-05,217,1,1
39.412,1.2841086680781652e-05,217,1,1
39.414,1.4124997821010948e-05,217,1,1
39.416,1.548319432004947e-05,217,1,1
39.418,1.686799061988696e-05,217,1,1
39.42,1.8229570407809214e-05,217,1,1
39.422,1.9517727454930027e-05,217,1,1
39.424,2.068372619624724e-05,217,1,1
39.426,2.168226204695112e-05,217,1,1
39.428,2.247350557636929e-05,217,1,1
39.43,2.3025174980895568e-05,217,1,1
39.432,2.3314523473171867e-05,217,1,1
39.434,2.3330093283202155e-05,217,1,1
39.436,2.307309755216925e-05,217,1,1
39.438,2.2558333259225805e-05,217,1,1
39.44,2.181457817013737e-05,217,1,1
39.442,2.0884471178177928e-05,217,1,1
39.444,1.982390809821989e-05,217,1,1
39.446,1.8700983725553945e-05,217,1,1
39.448,1.7594469946661377e-05,217,1,1
39.45,1.6591766941786247e-05,217,1,1
39.452,1.5786248121845164e-05,217,1,1
39.454,1.5273975439812278e-05,217,1,1
39.456,1.5149878691517256e-05,217,1,1
39.458,1.5503608007708807e-05,217,1,1
39.46,1.6415321781315384e-05,217,1,1
39.462,1.7951653285282016e-05,217,1,1
39.464,2.0162041090201728e-05,217,1,1
39.466,2.307555098111132e-05,217,1,1
39.468,2.669829179948372e-05,217,1,1
39.47,3.1011545420157394e-05,217,1,1
39.472,3.597076618313628e-05,217,1,1
39.474,4.150561126809604e-05,217,1,1
39.476,4.7521117579252285e-05,217,1,1
39.478,5.390005614283081e-05,217,1,1
39.48,6.050639551719329e-05,217,1,1
39.482,6.7189708045863e-05,217,1,1
39.484,7.379027466125027e-05,217,1,1
39.486,8.01446040432243e-05,217,1,1
39.488,8.609108261189337e-05,217,1,1
39.49,9.147549556680142e-05,217,1,1
39.492,9.615618634881032e-05,217,1,1
39.494,0.0001000086441275,217,1,1
39.496,0.0001029293319019,217,1,1
39.498,0.0001048386097401,217,1,1
39.5,0.0001056826809708,217,1,1
39.502,0.0001054345752218,217,1,1
39.504,0.0001040942426501,217,1,1
39.506,0.0001016878507961,217,1,1
39.508,9.826636394927192e-05,217,1,1
39.51,9.390346810313458e-05,217,1,1
39.512,8.869290099733606e-05,217,1,1
39.514,8.27452726582626e-05,217,1,1
39.516,7.618451894000711e-05,217,1,1
39.518,6.914418724070546e-05,217,1,1
39.52,6.176376142370414e-05,217,1,1
39.522,5.418517088255462e-05,217,1,1
39.524,4.654952428902509e-05,217,1,1
39.526,3.899402220847399e-05,217,1,1
39.528,3.164898856746851e-05,217,1,1
39.53,2.463502176000303e-05,217,1,1
39.532,1.8060346964646243e-05,217,1,1
39.534,1.2018493843662369e-05,217,1,1
39.536,6.586417571187707e-06,217,1,1
39.538,1.8231498165191467e-06,217,1,1
39.54,-2.2309707144114727e-06,217,1,1
39.542,-5.554476225534321e-06,217,1,1
39.544,-8.14438080278695e-06,217,1,1
39.546,-1.0015279594593474e-05,217,1,1
39.548,-1.1198010404004247e-05,217,1,1
39.55,-1.1737956274826772e-05,217,1,1
39.552,-1.1693059967591188e-05,217,1,1
39.554,-1.1131609225265368e-05,217,1,1
39.556,-1.012984394057964e-05,217,1,1
39.558,-8.769436955161854e-06,217,1,1
39.56,-7.134907814605728e-06,217,1,1
39.562,-5.311038690998044e-06,217,1,1
39.564,-3.380368591948019e-06,217,1,1
39.566,-1.42084203851338e-06,217,1,1
39.568,4.963184148885629e-07,217,1,1
39.57,2.30845496503468e-06,217,1,1
39.572,3.9629740315489006e-06,217,1,1
39.574,5.418435394350916e-06,217,1,1
39.576,6.645153447958596e-06,217,1,1
39.578,7.62524404022282e-06,217,1,1
39.58,8.352101395139407e-06,217,1,1
39.582,8.829366492710555e-06,217,1,1
39.584,9.069512957880047e-06,217,1,1
39.586,9.092205446439758e-06,217,1,1
39.588,8.922582861245307e-06,217,1,1
39.59,8.589597306340094e-06,217,1,1
39.592,8.124508160654115e-06,217,1,1
39.594,7.559596274443785e-06,217,1,1
39.596,6.927133675749876e-06,217,1,1
39.598,6.258623722500968e-06,217,1,1
39.6,5.5843132377738126e-06,217,1,1
39.602,4.932964196958343e-06,217,1,1
39.604,4.331850296172932e-06,217,1,1
39.606,3.806911049217956e-06,217,1,1
39.608,3.382958783069256e-06,217,1,1
39.61,3.08380807970258e-06,217,1,1
39.612,2.93220716869168e-06,217,1,1
39.614,2.949509270458151e-06,217,1,1
39.616,3.1551064122134155e-06,217,1,1
39.618,3.565714253921744e-06,217,1,1
39.62,4.194618932845014e-06,217,1,1
39.622,5.050984046403671e-06,217,1,1
39.624,6.139287133864016e-06,217,1,1
39.626,7.458923929859395e-06,217,1,1
39.628,9.00399308210363e-06,217,1,1
39.63,1.0763258249150844e-05,217,1,1
39.632,1.272027765570116e-05,217,1,1
39.634,1.4853686854496717e-05,217,1,1
39.636,1.713761007474916e-05,217,1,1
39.638,1.9542155034721708e-05,217,1,1
39.64,2.2033924540834177e-05,217,1,1
39.642,2.4576479489285485e-05,217,1,1
39.644,2.713072988909292e-05,217,1,1
39.646,2.9655297500685646e-05,217,1,1
39.648,3.210694557295843e-05,217,1,1
39.65,3.444118299668068e-05,217,1,1
39.652,3.661312622036284e-05,217,1,1
39.654,3.8578656196200725e-05,217,1,1
39.656,4.029584779623333e-05,217,1,1
39.658,4.1726582344339193e-05,217,1,1
39.66,4.283819471282212e-05,217,1,1
39.662,4.3604979266808456e-05,217,1,1
39.664,4.400940360210741e-05,217,1,1
39.666,4.4042950411116e-05,217,1,1
39.668,4.370659401305077e-05,217,1,1
39.67,4.3010978023017895e-05,217,1,1
39.672,4.19763672422645e-05,217,1,1
39.674,4.063240463647147e-05,217,1,1
39.676,3.901764784280728e-05,217,1,1
39.678,3.717883118881664e-05,217,1,1
39.68,3.5169818033141105e-05,217,1,1
39.682,3.305025309780113e-05,217,1,1
39.684,3.088395377239339e-05,217,1,1
39.686,2.873707781949361e-05,217,1,1
39.688,2.66760994975578e-05,217,1,1
39.69,2.476564810407748e-05,217,1,1
39.692,2.306630611552465e-05,217,1,1
39.694,2.1632495594838807e-05,217,1,1
39.696,2.0510584608972497e-05,217,1,1
39.698,1.9737330350458253e-05,217,1,1
39.7,1.9338755114117034e-05,217,1,1
39.702,1.932952602234837e-05,217,1,1
39.704,1.971287620391256e-05,217,1,1
39.706,2.0481065097459062e-05,217,1,1
39.708,2.161633397169829e-05,217,1,1
39.71,2.3092275861778965e-05,217,1,1
39.712,2.487551110673077e-05,217,1,1
39.714,2.6927540302407464e-05,217,1,1
39.716,2.9206631762086063e-05,217,1,1
39.718,3.166959107405559e-05,217,1,1
39.72,3.427326925849735e-05,217,1,1
39.722,3.697570560879701e-05,217,1,1
39.724,3.9736858531138346e-05,217,1,1
39.726,4.251892627034302e-05,217,1,1
39.728,4.5286298660066255e-05,217,1,1
39.73,4.8005230908766167e-05,217,1,1
39.732,5.0643386350432206e-05,217,1,1
39.734,5.316942366469293e-05,217,1,1
39.736,5.5552785805261673e-05,217,1,1
39.738,5.776379582698218e-05,217,1,1
39.74,5.977410184060441e-05,217,1,1
39.742,6.155745022000872e-05,217,1,1
39.744,6.309070215725696e-05,217,1,1
39.746,6.43549460589718e-05,217,1,1
39.748,6.533651421654219e-05,217,1,1
39.75,6.60277101159055e-05,217,1,1
39.752,6.642710405884885e-05,217,1,1
39.754,6.653935321597248e-05,217,1,1
39.756,6.63746218183341e-05,217,1,1
39.758,6.594777134771035e-05,217,1,1
39.76,6.527752006672533e-05,217,1,1
39.762,6.438573709031863e-05,217,1,1
39.764,6.329696675201655e-05,217,1,1
39.766,6.20381961412393e-05,217,1,1
39.768,6.063879650724248e-05,217,1,1
39.77,5.91305099223468e-05,217,1,1
39.772,5.754733602534372e-05,217,1,1
39.774,5.592519523808067e-05,217,1,1
39.776,5.4301285922168456e-05,217,1,1
